,Leaf.C.per.dry.mass,Leaf.C.to.N.ratio,Leaf.weight.ratio,Lamina.thickness,Leaf.N.per.dry.mass,Leaf.N.to.P.ratio,Leaf.P.per.dry.mass,Leaf.physical.strength,Leaf.K.per.dry.mass,SLA,Photosynthesis.per.leaf.dry.mass,RGR,Rooting.depth,Seed.mass,Seed.number.per.reproduction.unit,Seed.protein.content.per.mass,SSD,Stomata.conductance.per.leaf.area
Plotter Kill N,NA,24.98333333,0.67,190.75,4.124,11.562,1773.772,451.7,1.01,126.472,69.40333333,0.07,34.5,136400.958,NA,NA,132.026,360.8333333
Potic Creek N,NA,27.85,0.66,190.75,2.75,12.5275,1295.59,NA,0.8875,116.9325,114.33,0.08,28,1221.14,NA,NA,144.9533333,104.94
Quacken Kill N,46.21,24.3125,0.67,182.565,6.53375,10.08125,2016.465,NA,1.014285714,108.5628571,66.7225,0.07,32.625,17658.95,NA,28.5,101.6114286,288.66
Robbs Creek N,54.47,19.16,NA,NA,3.44,15.3,1551.74,NA,1.03,117.83,NA,0.07,29.25,391486.585,NA,16.2,127.815,NA
Roeliff Jansen Kill N,NA,NA,NA,NA,5.4575,10.46,1381.115,NA,1.21,72.14333333,162.15,NA,30,19348.76,NA,43.2,0.586666667,297
Saw Kill N,NA,25.675,0.65,190.75,4.266,11.62,1668.666,NA,0.915,138.6216667,33.745,0.126666667,33,12883.95333,NA,25.2,72.76166667,180.1
Sherriff Lake Outlet N,54.47,23.03,NA,NA,2.873333333,13.54833333,1359.448333,NA,0.895,91.25,125.82,0.07,27.08333333,300256.0317,NA,16.2,51.456,NA
Snook Kill N,46.9925,21.008,5.375,NA,5.287142857,13.57,1587.58,451.7,0.8425,293.0114286,90.92333333,0.14,27.5,122460.5843,63461.625,27.21666667,128.36,221.62
Sprout Creek N,NA,23.5,NA,NA,4.383333333,10.18333333,913.9633333,NA,0.97,118.5533333,45.32,NA,29.5,27924.276,NA,17.9,63.80333333,365.8
Steele Creek N,NA,23.5,NA,NA,5.388571429,10.85,1393.061667,NA,1.21,131.4616667,45.32,NA,30.16666667,16136.28714,NA,25.2,0.508333333,365.8
Sterling Creek N,41.89,22.08,5.42,NA,6.50375,8.967142857,1921.714286,NA,0.92,148.3085714,60.83,0.21,19.875,19536.83333,126922.25,16.65,0.556666667,70.82
Stewart Creek N,44.97,27.85,0.65,190.75,4.587142857,12.01285714,1771.667143,NA,0.838,117.8014286,43.4375,0.126666667,29.25,10649.0625,NA,35.6,87.124,87.25
Stony Creek N,NA,26.18333333,0.67,190.75,6.7825,12.2625,1523.59,NA,0.7675,122.4625,73.17666667,0.07,29.33333333,1523.796667,NA,17.7,108.9025,199.65
Timmerman Creek N,48.18,20.62,10.18,NA,7.3025,11.04666667,1861.353333,NA,0.64,202.86,92.38,0.14,17.625,57434.3975,126922.25,16.425,127.925,0.64
Trout Brook N,48.55,23.8025,0.665,182.565,6.282857143,12.71166667,1690.065,NA,0.725,116.9385714,53.7725,0.116666667,29.21428571,28151.63143,NA,27.2,160.935,175.16
Valatie Kill N,44.97,25.675,0.665,190.75,6.95,11.38166667,1754.32,NA,0.854,154.4166667,44.89666667,0.14,28.57142857,7185.005714,NA,26.3,87.166,180.1
Wappinger Creek N,NA,NA,NA,NA,2.21,NA,NA,NA,NA,250.42,NA,NA,18,4121.18,NA,NA,0.48,NA
Wharton Hollow Creek N,54.47,23.50333333,0.67,190.75,4.068,13.58,1401.874,NA,0.725,111.4,84.22,0.07,27.7,232521.442,NA,20.7,172.535,199.65
Alplaus Kill I,43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,46.77,45.08,0.08,NA,13.465,NA,NA,237.05,440
Ballston Creek I,43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,46.77,45.08,0.08,NA,13.465,NA,NA,237.05,440
Battenkill I,NA,NA,NA,NA,NA,NA,0.35,NA,8.5,62,NA,NA,18,1513.723333,NA,20.5,NA,NA
Beaver Kill I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2261.94,NA,NA,NA,NA
Big Brook I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Cedar River I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
Chester Creek I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
Cobleskill Creek I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
Fawn Lake I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,1.55,49581.33,NA,119.41,NA
Fishkill Creek I,NA,NA,NA,NA,17.37,NA,NA,NA,NA,NA,NA,NA,18,1515.426667,NA,NA,320.33,NA
Four Mile Brook I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
Green River I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Hans Creek I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
Indian Brook I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2261.94,NA,NA,NA,NA
Indian Kill I,43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,46.77,45.08,0.08,NA,23.95,NA,NA,237.05,440
Jassup River I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
Kennyetto Creek I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Kinderhook Creek I,NA,NA,NA,NA,17.37,NA,NA,NA,NA,NA,NA,NA,NA,12.69,NA,NA,320.33,NA
Landsman Kill I,NA,NA,NA,NA,NA,NA,0.35,NA,8.5,62,NA,NA,NA,17.29,NA,20.5,NA,NA
Lansing Kill I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Mill Brook I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4520.9,NA,NA,NA,NA
Mill Creek I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA
Minots Corner Road I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Mohawk River I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
New Pond Brook I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
North Branch West Stony Creek I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
Paragon Brook I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Quacken Kill I,43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,46.77,45.08,0.08,NA,13.465,NA,NA,237.05,440
Robbs Creek I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,1.33,49581.33,NA,119.41,NA
Roeliff Jansen Kill I,466.34,NA,NA,NA,29.06,NA,1.68,NA,NA,39.94,NA,NA,12,2250000.14,56840.4,NA,NA,NA
Sherriff Lake Outlet I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,1.33,49581.33,NA,119.41,NA
Snook Kill I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Steele Creek I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Sterling Creek I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Stony Creek I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
Timmerman Creek I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
Valatie Kill I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2261.94,NA,NA,NA,NA
Wharton Hollow Creek I,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
