"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Sherriff Lake Outlet",44.155,14.875,0.68,NA,2.77,11.5,0.3,NA,NA,NA,1818.78,NA,0.26,0.38,24,1.9125,33691.31,24.165,59.88,NA,NA
"Snook Kill",41.4425,18.2275,10.2075,0.325,8.03,10.695,1036.35,0.855,NA,25.5,1059.546,180.04,0.225,1.41333333333333,4,14013.4683333333,90216.056,16.8333333333333,0.263333333333333,127.246666666667,38.135
"Sprout Creek",41.0933333333333,27.03,26.82,0.286666666666667,9.74,16.27,0.845,0.883333333333333,NA,25.5,77.32,180.04,0.205,2.34,9,25017.7175,95410.58,17.7,0.29,133.94,37.5066666666667
"Steele Creek",40.75,15.35,43.905,0.37,5,9.345,2409.855,0.69,10.29,NA,684.145,NA,0.23,1.52,NA,2.722,17767.0333333333,NA,0.15,113.86,12.72
"Sterling Creek",211.464285714286,14.75,19.3914285714286,0.222,14.5325,11.6733333333333,782.068571428571,1.628,17.43,25.5,415.228888888889,260.78,0.203333333333333,1.49,8,8967.114,794400.75,22.6875,0.26,91.565,36.22
"Stewart Creek",38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.31,6953.1,NA,NA,NA,12.72
"Stony Creek",146.626666666667,23.5566666666667,21.87,0.21,15.59,15.18,65.66,1.41,NA,25.5,67.19,260.78,0.155,2.225,10,17604.8883333333,1386859.67,28.125,0.23,91.565,39.2466666666667
"Timmerman Creek",122.1375,13.415,33.4233333333333,0.213333333333333,11.7783333333333,13.926,615.626666666667,1.44666666666667,17.43,NA,332.825,NA,0.18,2.11,17.3333333333333,2322.44,17538.065,31.06,39.9433333333333,65.25,37.13
"Trout Brook",43.98,13.88,0.68,NA,2.98,11.5,0.35,NA,NA,NA,2569.29,NA,0.26,0.38,NA,1.68,17801.29,15.1,0.35,NA,NA
"Valatie Kill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6433333333333,NA,NA,NA,14,3706.624,3424740.09,21,NA,NA,NA
"Wappinger Creek",43.86,21.78,27.34,0.37,4.54,6.68,1280.75,0.53,NA,NA,65.9766666666667,99.3,0.23,NA,NA,2.81333333333333,101732.423333333,16.3,0.29,150,56.32
"Wharton Hollow Creek",249.021428571429,13.65,24.546,0.211666666666667,14.5722222222222,12.916,782.53375,6.20833333333333,17.43,NA,221.182,NA,0.1825,1.59,15,4607.905,36564.384,26.795,30.0425,139.315,41.6433333333333
