"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Cobleskill Creek",NA,21.2,NA,NA,3.94,11.08,1893.8,NA,1.19,10.1,83.55,81.08,NA,NA,24,50000.92,NA,NA,0.43,595,NA
"Daly Creek",54.47,23.505,0.67,190.75,3.55,12.2633333333333,1966.73666666667,NA,0.76,6.48,144.336666666667,60.09,0.07,9.59,24.125,50082.7975,NA,16.2,229.753333333333,33.5,NA
"Evas Kill",46.21,24.5833333333333,0.665,182.565,4.64333333333333,12.785,1391.47166666667,NA,0.945,7.265,83.71,62.7125,0.14,7.24,29.6666666666667,31725.885,NA,31.8,142.054,232.46,NA
"Fawn Lake",46.21,25.35,0.645,182.565,5.934,11.48,1730.342,NA,0.7325,13.285,167.4875,46.525,0.085,11.13,26,15557.3742857143,NA,25.0333333333333,177.535,186.546666666667,NA
"Fishkill Creek",NA,22.35,NA,NA,6.814,9.588,1603.74,NA,1.1925,10.0333333333333,91.704,63.2,NA,NA,34.2,12044.442,NA,25.2,0.51,480.4,NA
"Four Mile Brook",54.47,19.16,NA,NA,2.685,15.715,1101.625,NA,0.966666666666667,NA,111.96,149.5,0.07,NA,20.625,445744.0175,NA,16.2,127.815,NA,NA
"Green River",NA,NA,NA,NA,7.84,11.4433333333333,1872.15333333333,NA,1.21333333333333,9.69,104.06,NA,NA,NA,35.6666666666667,211365.273333333,NA,NA,0.46,NA,NA
"Hans Creek",49.72,26.1275,0.65,190.75,4.498,12.721,1559.982,NA,0.8375,9.92333333333333,103.174545454545,60.235,0.1125,14.25,31.6818181818182,112718.121818182,NA,25.6666666666667,77.0144444444445,166.575,NA
"Hudson River",50.34,27.34,0.64,174.38,6.48714285714286,11.0171428571429,1700.18857142857,NA,0.616666666666667,8.695,66.722,74.565,0.055,11.245,22.9285714285714,185195.15,NA,24,304.7425,161.78,NA
"Indian Brook",NA,27.85,0.67,190.75,7.65666666666667,12.9666666666667,890.443333333333,NA,0.95,11.285,87.1733333333333,111.12,0.07,9.59,26.5,4154.85,NA,43.2,217.12,165.25,NA
"Indian Kill",46.21,24.1,NA,174.38,6.47285714285714,10.5,1886.82333333333,NA,0.916,10.1,124.413333333333,62.86,NA,4.89,27.8571428571429,8001.66857142857,NA,28.5,46.3483333333333,263.07,NA
"Jassup River",150.3,21.905,59.91,NA,3.8825,13.7475,1588.41,NA,1,NA,81.3875,221.235,0.07,NA,22.625,296223.3975,2581.49,11.8,127.895,NA,40.09
"Kayaderosseras Creek",46.21,22.95,NA,174.38,5.0075,11.535,1161.0275,NA,0.923333333333333,10.2,90.855,80.74,NA,4.89,29.5,169214.5925,NA,31.8,69.1575,377.67,NA
