Trait,Alliaria petiolata,Arctium lappa,Artemisia vulgaris,Barbarea vulgaris,Berberis thunbergii,Brassica nigra,Centaurea jacea,Centaurea nigrescens,Centaurea stoebe,Chelidonium majus,Commelina communis,Dactylis glomerata,Daucus carota,Dianthus armeria,Digitaria sanguinalis,Elymus repens,Epipactis helleborine,Euonymus alatus,Galium mollugo,Glechoma hederacea,Hemerocallis fulva,Hypericum perforatum,Leonurus cardiaca,Leucanthemum vulgare,Linaria vulgaris,Lithospermum officinale,Lonicera japonica,Lonicera morrowii,Lotus corniculatus,Lysimachia nummularia,Lythrum salicaria,Malus pumila,Melilotus officinalis,Myosotis scorpioides,Phleum pratense,Plantago lanceolata,Plantago major,Polygonum cuspidatum,Polygonum hydropiper,Polygonum persicaria,Potentilla recta,Rhamnus cathartica,Rosa multiflora,Rubus phoenicolasius,Rumex crispus,Rumex obtusifolius,Salix alba,Salix pentandra,Saponaria officinalis,Securigera varia,Silene vulgaris,Solanum dulcamara,Sonchus oleraceus,Tanacetum vulgare,Trifolium aureum,Trifolium pratense,Trifolium repens,Tussilago farfara,Verbascum thapsus,Vinca minor
Leaf carbon/nitrogen (C/N) ratio,11.48,NA,NA,NA,NA,NA,15.21,NA,NA,NA,NA,17.45,22.52666667,NA,NA,14.04428571,NA,NA,14.59,15.6275,NA,NA,NA,NA,27.154,NA,NA,NA,14.09857143,NA,21.78125,NA,NA,NA,28.2,20.8,21.616,NA,19.888,37.688,NA,21.6,NA,NA,13.88,NA,15.87,NA,NA,NA,NA,11.36,NA,25.26571429,NA,11.35571429,10.672,15.068,NA,NA
Leaf density,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,0.403333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,0.469,NA,NA,NA,NA
Leaf dry mass,213.94,1564.205333,132.955,150.325,NA,261.0466667,0.426832298,NA,28.23888889,240.15,NA,5.305396825,0.862264151,13.75666667,8.62,82.64583333,82.75,NA,0.110619469,15.85,NA,2.465,NA,22.54857143,1.02,42.65,NA,NA,0.179625,9.35,10.40809524,NA,46.89,13.88833333,1.556375,32.91173913,63.75714286,NA,10.4,25.57888889,81.37409091,47.894,288.7933333,NA,239.7,924.2216667,60.4,55.602,108.265,NA,63.76,65.95444444,341.135,142.0788889,12.18166667,14.14709677,1.636603774,826.0671429,1350.0075,21.86
Leaf dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.39,0.36,NA,NA,NA,NA,NA,NA,NA,NA,1.526,NA,NA,1.118,NA,NA,NA,1.016,NA,4.492,NA,NA,NA,0.24,NA,1.68,NA,2.436,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.066,NA,1.09,0.636,37.622,NA,NA
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,0.521428571,5.52,NA,NA,0.44,NA,NA,NA,0.53,NA,21.85666667,NA,0.71,25.622,NA,NA,NA,18.38,NA,27.33857143,NA,NA,NA,5.436875,0.616153846,12.2825,NA,14.804,40.842,NA,0.43,NA,NA,0.675,0.6,NA,NA,NA,NA,NA,0.5,0.8,28.76285714,NA,12.49125,27.81166667,87.278,0.58,NA
Leaf dry matter content (LDMC),161.3333333,194.3322222,250.6842857,174,NA,128.92,18.51823529,NA,165.4733333,186.5,NA,106.8011392,37.06779661,189.1066667,171.2566667,273.33,183.723,NA,16.71940678,160,NA,198.2716667,NA,134.5354545,68.94772727,213.5,NA,NA,39.2196875,223.0642857,44.40857143,NA,237.6666667,144.3511111,82.70505376,113.3410345,52.5096875,NA,96.11909091,81.568,207.0170833,3.148709677,280.17,NA,105,146.6166667,297.635,250.1766667,199.5,NA,166,38.85953846,118.5,88.547,234.8261538,146.8051111,94.87068966,61.88,183.1771429,195
Leaf fresh mass,NA,NA,NA,NA,NA,NA,0.200566038,NA,NA,NA,NA,0.248163265,0.256938776,NA,NA,NA,NA,NA,0.031775701,NA,NA,0.035714286,NA,NA,0.110714286,NA,NA,NA,0.047662338,NA,0.488,NA,NA,NA,0.111176471,0.285,4.531666667,NA,0.28,0.398,0.22125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.642,NA,0.49,0.1025,37.6,NA,NA
Leaf lamina thickness,0.15,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,0.146666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185,NA,NA,NA,NA,NA,NA,0.205,NA,0.37,NA,NA,0.18,NA,0.273333333,0.28,NA,NA,0.21,NA,0.2,NA,NA,NA,0.26,NA,NA,NA,NA,NA,0.13,0.22,NA,NA,0.14,0.16,0.37,NA,NA
Leaf lifespan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836666667,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,2.04,1.166,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,NA,NA,NA
Leaf nitrogen (N) content,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,0.235,0.05,NA,NA,0.75,NA,NA,0.06,0.3,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1.52,NA,NA,NA,NA,NA,6.575,NA,NA,NA,18.08,NA,NA,NA,NA,NA,1.44,NA,5.315,NA,1.635,0.41,NA,17.05,NA
