Trait,abies_balsamea,acer_negundo,acer_pensylvanicum,acer_rubrum,acer_saccharinum,acer_saccharum,acer_spicatum,alnus_incana,betula_alleghaniensis,betula_papyrifera,carpinus_caroliniana,carya_cordiformis,carya_ovata,cephalanthus_occidentalis,cornus_amomum,cornus_canadensis,cornus_rugosa,cornus_sericea,corylus_cornuta,fagus_grandifolia,fraxinus_americana,fraxinus_nigra,fraxinus_pennsylvanica,hamamelis_virginiana,juglans_cinerea,juglans_nigra,lindera_benzoin,myrica_gale,oenothera_biennis,ostrya_virginiana,pinus_strobus,platanus_occidentalis,populus_deltoides,prunus_americana,prunus_serotina,prunus_virginiana,quercus_alba,quercus_velutina,rhamnus_alnifolia,rhus_typhina,robinia_pseudoacacia,rosa_palustris,rubus_allegheniensis,rubus_hispidus,rubus_idaeus,rubus_occidentalis,rubus_odoratus,salix_nigra,spiraea_alba,thuja_occidentalis,tilia_americana,tsuga_canadensis,ulmus_americana,ulmus_rubra,viburnum_acerifolium,viburnum_dentatum,viburnum_lantanoides
Dispersal syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit dry mass,NA,41.21,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit length,NA,30.13333333,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,2.186666667,NA,NA,NA,NA,NA,NA,7.575,7.25,NA,NA,NA,NA,NA,NA,NA,NA,7.47,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit thickness,NA,2.3,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.366666667,NA,NA,NA,NA,NA,NA,7.425,6.125,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit width,NA,12.2,NA,NA,NA,NA,NA,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,NA,NA,NA,NA,1.986666667,NA,NA,NA,NA,NA,NA,7.425,6.625,NA,NA,NA,NA,NA,NA,NA,NA,6.685,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination requirement,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf phosphorus (P) content per area,NA,0.06,0.05,0.11,NA,0.1,NA,NA,0.08,0.15,0.1,0.14,0.12,NA,NA,NA,NA,NA,NA,0.085,0.23,0.09,0.18,NA,0.24,NA,NA,NA,NA,0.09,NA,NA,0.17,NA,0.08,0.1,0.125,0.13,NA,0.26,0.08,NA,NA,0.09,NA,NA,NA,0.07,0.09,NA,0.2,NA,0.12,0.11,NA,NA,NA
Leaf phosphorus (P) content per dry mass,1211.970938,1274.88375,1786.00125,1416.5605,0.33,1530.148696,2840.04,1770.058889,1463.47,2323.722083,1179.81,1649.886667,1753.81,NA,NA,2800,2225.0275,NA,2575,1170.242308,1841.533333,1199.924,1857.195455,NA,2766.635,2055.08,0.23,500.04,NA,1588.972222,1181.281333,900.03,1893.797778,NA,1681.381429,2057.088571,1542.872222,1091.631667,NA,2233.331667,1140.948333,NA,2600,615.1975,1912.58125,2400,0.14,1333.421667,687.822,771.796,2299.86,1525,1878.162727,1983.175,NA,NA,NA
Leaf physical strength,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.7,NA,NA,NA,NA
Leaf porosity,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf potassium (K) content per area,NA,0.39,0.22,0.4,NA,0.42,NA,NA,0.3,0.58,0.24,0.38,0.48,NA,NA,NA,NA,NA,NA,0.355,0.64,0.76,1.04,NA,0.62,NA,NA,NA,NA,0.24,NA,NA,0.84,NA,0.28,0.52,0.6,0.88,NA,0.83,0.56,NA,NA,0.8,NA,NA,NA,0.58,0.58,NA,0.73,NA,0.535,0.77,NA,NA,NA
Leaf potassium (K) content per dry mass,NA,1.06,1.1,0.545,NA,0.755,NA,NA,0.65,5.58,0.45,0.86,0.93,NA,NA,NA,NA,NA,NA,0.55,0.97,1.06,1.19,NA,1.02,NA,NA,NA,NA,0.64,4.84,NA,1.19,NA,0.47,0.62,0.89,0.84,NA,1.26,1.14,NA,NA,1.15,NA,NA,NA,1.03,0.72,0.58,1.33,NA,0.805,1.28,NA,NA,NA
Leaf respiration per dry mass,4.204251497,NA,NA,10.29758242,NA,6.478369565,NA,NA,26.04555556,18.76090226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31,NA,13.556,NA,NA,NA,NA,NA,NA,6.91,5.51865942,6.05875,10.10444444,NA,17.055,5.711276596,10.97247934,8.805,NA,NA,16.08882353,NA,NA,NA,NA,NA,NA,NA,NA,7.0925,9.689137931,2.181111111,NA,NA,NA,NA,NA
Leaf specific area (SLA),67.29,1290.076154,194.11,56.18,44.68571429,125.9269811,27.2,56.66222222,290.7447619,163.3479412,109.6,63.89428571,68.635,NA,NA,NA,NA,250.42,302.32,107.902,197.0996429,54.34857143,87.734,65.06666667,164,76.41428571,32.79,29.698,149.6725581,402.25,59.44842105,113.866,83.5475,NA,44.74526316,48.33428571,57.22125,66.5975,NA,163.38,102.799375,NA,NA,144.47,132.2406977,NA,NA,179,67.7125,76.65111111,64.23916667,83.95111111,80.502,68.94142857,NA,NA,NA
Leaf texture (sclerophylly),NA,0.36,0.28,0.24,NA,0.23,NA,NA,0.28,0.215,0.33,0.37,0.25,NA,NA,NA,NA,NA,NA,0.3,0.285,0.31,0.48,NA,0.45,NA,0.08,NA,NA,0.18,NA,NA,0.37,NA,0.35,0.29,0.32,NA,NA,0.42,0.05,NA,NA,NA,0.03,NA,NA,0.41,NA,NA,0.206666667,NA,0.21,0.33,NA,NA,NA
Leaf thickness,NA,139.3975,NA,120.8535714,113.7,126.605,118.8666667,0.14,138.5,160.5,94,86.17333333,NA,NA,NA,NA,NA,NA,NA,111.77,131.9775,124.77,150.1714286,134,NA,108.595,126.9157143,NA,126.2333333,55,NA,NA,231.362,NA,147.8033333,89,138,138.74,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,112.932,NA,126.48,151.8433333,NA,NA,NA
