Trait,Acalypha rhomboidea,Acer negundo,Acer platanoides,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Adiantum pedatum,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Agrostis scabra,Alisma subcordatum,Alliaria petiolata,Ambrosia artemisiifolia,Ambrosia trifida,Amelanchier arborea,Amphicarpaea bracteata,Anemone canadensis,Apios americana,Arctium lappa,Arisaema triphyllum,Asarum canadense,Athyrium filix-femina,Berberis thunbergii,Betula alleghaniensis,Betula lenta,Betula populifolia,Bidens connata,Bidens frondosa,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Calystegia sepium,Carpinus caroliniana,Carya cordiformis,Carya ovata,Catalpa speciosa,Caulophyllum thalictroides,Cephalanthus occidentalis,Chamaesyce maculata,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Cornus amomum,Cornus rugosa,Cornus sericea,Cryptotaenia canadensis,Cynodon dactylon,Cyperus compressus,Cyperus strigosus,Dactylis glomerata,Daucus carota,Decodon verticillatus,Dichanthelium clandestinum,Digitaria cognata,Digitaria sanguinalis,Dryopteris carthusiana,Dryopteris marginalis,Echinochloa muricata,Echinocystis lobata,Eleocharis intermedia,Elymus canadensis,Elymus virginicus,Epilobium hirsutum,Euonymus alatus,Eupatorium purpureum,Fagus grandifolia,Fallopia japonica,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Galium aparine,Galium asprellum,Galium boreale,Galium palustre,Galium triflorum,Geranium maculatum,Geum laciniatum,Glechoma hederacea,Glyceria borealis,Hamamelis virginiana,Helianthus giganteus,Helianthus strumosus,Heliopsis helianthoides,Hemerocallis fulva,Hieracium paniculatum,Hypericum mutilum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Laportea canadensis,Leersia oryzoides,Lobelia cardinalis,Ludwigia palustris,Lycopus uniflorus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia vulgaris,Lythrum salicaria,Maianthemum canadense,Maianthemum racemosum,Malus pumila,Marrubium vulgare,Matteuccia struthiopteris,Menispermum canadense,Mimulus ringens,Mitchella repens,Muhlenbergia mexicana,Muhlenbergia schreberi,Myosotis laxa,Myosoton aquaticum,Oenothera biennis,Onoclea sensibilis,Ostrya virginiana,Oxalis stricta,Panicum capillare,Panicum dichotomiflorum,Parthenocissus quinquefolia,Pastinaca sativa,Peltandra virginica,Penthorum sedoides,Petasites frigidus,Phytolacca americana,Pilea pumila,Pinus strobus,Plantago major,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum lapathifolium,Polygonum persicaria,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Populus tremuloides,Potentilla simplex,Prunella vulgaris,Prunus serotina,Prunus virginiana,Quercus alba,Quercus macrocarpa,Quercus rubra,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Ribes americanum,Ribes rubrum,Robinia pseudoacacia,Rosa multiflora,Rubus allegheniensis,Rubus hispidus,Rubus occidentalis,Rubus odoratus,Rubus pubescens,Rumex obtusifolius,Salix alba,Salix nigra,Sambucus nigra,Scutellaria lateriflora,Solanum dulcamara,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Tilia americana,Toxicodendron radicans,Trifolium pratense,Trifolium repens,Tsuga canadensis,Ulmus rubra,Urtica dioica,Veronica americana,Viburnum acerifolium,Vitis riparia,Xanthium strumarium
Leaf thickness,NA,0.139398276,0.128151568,0.120853625,0.11370069,0.126605,0.118866667,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1385,0.135344828,NA,NA,NA,NA,NA,NA,NA,0.094,0.086172414,NA,0.219333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11177,NA,NA,0.131977155,0.124770115,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.16,NA,NA,NA,0.2,NA,0.16,NA,NA,NA,NA,NA,0.248333333,NA,0.055,0.08,0.13375,NA,NA,NA,NA,0.105,NA,NA,NA,NA,0.263,NA,NA,0.2645,0.17,NA,NA,NA,0.231362105,0.1445,0.11,0.1988,0.147803736,0.089,0.138,0.125235632,0.139456833,NA,NA,0.130919445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181660606,0.1175,0.121614815,NA,0.12,NA,NA,NA,NA,NA,0.112932759,NA,0.14,NA,NA,0.151844828,NA,NA,NA,NA,NA
"pH, Maximum",NA,7,7.2,7.1,4,7.3,7,6.6,NA,7,7.5,8,7,NA,NA,NA,7.5,NA,NA,7.5,NA,7,NA,7,7.2,6.9,6.8,6,7.1,7.2,7,NA,7.5,NA,7.4,7.4,6.7,7,7,8.5,NA,NA,NA,8.5,NA,6.8,7,7.8,7.5,NA,8,6.5,7,7.5,NA,7.2,7.5,NA,NA,NA,NA,NA,NA,NA,7.9,7,NA,NA,NA,6.5,NA,NA,7.5,6,7.2,7,7.2,NA,NA,NA,7,NA,8.5,6.2,NA,NA,6.8,NA,NA,7.2,7.4,7.4,7,NA,8.8,7.8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5,NA,NA,7,NA,7.6,NA,NA,7,7.5,NA,9.5,7,NA,8,NA,6.5,7.3,7.5,8,NA,8.5,8.5,NA,NA,6.75,9,NA,8,8,8.2,6.8,7.5,6.5,NA,8.25,NA,7.5,NA,8.2,NA,7.5,7,7.5,6.5,NA,NA,7.8,8,7.25,NA,NA,NA,7.5,7,8,NA,7,NA,7.35,NA,7.5,7.5,5.7,7,NA,7.5,7.5,8.5,NA
"pH, Minimum",NA,5.2,5.2,5.4,5.2,3.7,5.8,4.6,NA,4.5,5.5,6,5,NA,NA,NA,5.5,NA,NA,6,NA,4.8,NA,4.5,5.5,4.6,4.8,3.5,5.2,5.2,5.1,NA,5.5,NA,4,6.5,4,5.5,4.5,5.3,NA,NA,NA,4,NA,5,5,6.4,4.8,NA,5,5,6.4,5,NA,5.2,4,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,4.1,NA,NA,5,4.2,5.4,5,5,NA,NA,NA,5,NA,5,4.5,NA,NA,5.6,NA,NA,4.8,6.4,6.8,6,NA,5.1,5.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4.5,NA,NA,5,NA,4.2,NA,NA,4.8,5,NA,5.2,5,NA,4.7,NA,4,4.8,5,4.5,NA,4,4,NA,NA,4.8,6,NA,5.4,6,5.35,4.5,4.5,4.3,NA,4.25,NA,5,NA,4.6,NA,4.6,4.5,5.2,4.5,NA,NA,4.5,4.8,4.95,NA,NA,NA,4.8,5.3,4,NA,4,NA,5.1,NA,6,6,4.2,5.5,NA,5.7,4.8,6.1,NA
Photosynthesis leaf intercellular CO2 concentration,NA,NA,136.5555789,207.0291586,NA,239.7553572,NA,NA,NA,NA,NA,125.2001754,NA,NA,152.8183768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,NA,120.2261709,NA,139.4107998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.2313223,NA,292,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,NA,290.3636364,NA,NA,NA,NA,NA,314.0681818,NA,NA,NA,136.7235498,NA,NA,NA,NA,315.7348485,132.2646828,NA,NA,170.9081967,273.5266667,NA,NA,303,NA,NA,NA,NA,117.4359846,122.0702589,NA,254,297.5377765,NA,NA,115.8432432,238.7392153,NA,NA,118.8837048,NA,NA,126.5697028,NA,NA,NA,NA,NA,NA,258.875,NA,NA,NA,257.7575758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.125,215.375,132.9381194,NA,281.875,NA,NA,NA,338
Photosynthesis net assimilation rate (NAR),NA,0.0012,0.000433,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004835,0.0008,0.000783,NA,0.003657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000934114,0.0003168,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001245,0.0007485,0.00108,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,0.0018,NA,NA,NA,0.000985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0009555,0.000678,NA,NA,NA,NA,0.00084,0.0016235,NA,NA,NA,NA,NA,NA,0.0015,NA,NA,NA,0.000881,NA,0.002076111,NA,NA,NA,0.001785,NA,NA,NA,NA,NA,NA,NA,NA,0.000364419,0.001776467,NA,NA,0.003781,NA,NA,NA,NA,NA,0.000958167,NA,0.001429,NA,NA,NA,0.000452,0.000527,NA,NA,0.0005595,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001106,NA,NA,0.0007105,NA,0.000875,NA,0.002269,NA,NA,NA,NA,NA,NA,NA,0.002201333,0.00121,0.0016,NA,0.001046,NA,NA,NA,NA
Photosynthesis per leaf area,NA,NA,6.449100175,7.672569942,NA,7.504388889,NA,NA,NA,NA,NA,31.7,NA,NA,20.92333333,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,NA,7.204807301,NA,5.46,NA,NA,9.479137457,NA,NA,NA,8.31,10,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.490310831,15.52689576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.472,NA,NA,10.31068847,NA,2.4,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52,NA,NA,NA,NA,NA,NA,8.21,NA,7.666666667,NA,NA,NA,NA,13.69016095,NA,NA,NA,NA,NA,7.381969697,NA,NA,NA,11.625,NA,NA,NA,NA,5.694090909,11.8,NA,NA,8.523,11.85523932,NA,NA,11.81,NA,NA,NA,NA,14.7825,12.40724539,NA,5.025,10.50496787,NA,23,15.185,11.50444974,NA,NA,10.84666667,NA,NA,9.336666667,NA,NA,10.50384124,NA,NA,NA,5.9875,NA,NA,NA,3.715454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.025,11.51655538,5.46,NA,3.3875,NA,NA,NA,6.95
Photosynthesis per leaf dry mass,NA,NA,103.7411249,109.8407499,NA,118.7766218,NA,NA,NA,NA,NA,374.06,NA,NA,308.74,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,NA,122.8126686,NA,89.2,NA,NA,160.2498167,NA,NA,NA,90.33333333,120,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.639036,275.7576687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.3870968,NA,NA,130.943692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.4,NA,NA,NA,NA,NA,NA,99.3,NA,169.6583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.375,NA,NA,NA,179.595,NA,NA,NA,NA,NA,156,NA,NA,56.03967074,260.7759126,NA,NA,86.2,NA,NA,NA,NA,161,196.3445051,NA,82.56666667,188.2759007,NA,229,157.296,139.2047895,NA,NA,128.3333333,NA,NA,242.0666667,NA,NA,151.7497124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.1739261,42.6,NA,NA,NA,NA,NA,55.5
Plant height generative,NA,1150,2250,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,70,138,119,NA,NA,NA,NA,107.75,NA,NA,65,NA,NA,NA,NA,57.5,71.5,NA,84.07272727,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,200,NA,23.8,NA,NA,82.78720239,51.56545455,NA,NA,NA,37.5,37.5,NA,NA,350,NA,NA,NA,115,NA,NA,NA,NA,14.58333333,NA,NA,86.66666667,NA,42.36666667,28.68,NA,NA,NA,20,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,100,NA,2,NA,NA,30,61.55714286,85,NA,NA,NA,45,90,NA,NA,NA,NA,NA,28.33333333,67.5,98.33333333,NA,NA,25,NA,NA,1000,65,NA,NA,NA,NA,NA,2800,17.5,47.5,NA,56.66666667,48.33333333,NA,NA,NA,NA,NA,NA,15.35,900,NA,NA,NA,2500,NA,NA,NA,NA,140,NA,150,NA,NA,NA,150,NA,82.5,1800,NA,500,NA,115,NA,150,NA,150,NA,NA,55,NA,NA,27.7875,23.06354167,2000,NA,98.74652778,NA,NA,NA,45
Plant height vegetative,NA,1387.152076,2503.5,2901.666667,2662,2891.52,942.9333333,39.624,NA,179.832,106.68,76.2,15.24,37,121,108.3333333,1062,NA,NA,30.48,107.3333333,47.86,1,73.81333333,188.5866667,2465,1798.533333,1219.2,75.018,79.305,118.872,98.92857143,82.71,113.9666667,989.28,2592.48,2407.6,1812.8,68.58,606.4,NA,NA,NA,149.352,30.5625,457.2,259.08,289.56,446.0666667,NA,19.17528395,30.48,97.536,46.58157492,47.16056338,243.84,60.96,NA,19,48.75,NA,NA,350,NA,91.44,76.2,158.5714286,NA,NA,1905,288.2,11.8125,1985.6,1849.333333,72.5332,179.832,35.13176471,40.35294118,NA,60,94.488,41.44117647,149.352,666.7,NA,NA,121.92,52.5,NA,79.248,146.8971765,249.936,2116,NA,149.352,179.832,9.516,NA,NA,45,85.29285714,71.50625,10.06,NA,1000,35,93.53333333,NA,NA,NA,91.44,97.536,19.3,33.33333333,94.03333333,60.3,1027.066667,18.53076923,33.585,100.584,1015.24,60,70.104,79.248,20,240.8346667,NA,4362.836364,13.96713043,90.92628571,NA,82.5,46.88114286,89.87090909,NA,NA,3029.142857,1504.342857,NA,55.1430303,1902.866667,656.4,1905,1980,1789.973077,NA,495.3,603.3333333,274.32,127.6,2373.45,150,163.5866667,60.96,167.64,151.6,NA,37.233375,1739.563636,2957.333333,611.6064516,NA,187.84,NA,81.05190939,91.44,193.718,NA,45.72,55,2514.6,3000,39.13412568,18.16603571,2478.493333,2320.8,97.85393519,24.384,182.88,575.64,49
Plant lifespan,NA,100,275,150,128.3333333,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,150,NA,600,400,450,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,162.5,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,1000,200,NA,NA,NA,NA,NA
Plant relative growth rate (RGR),NA,0.14,0.076,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,0.14,0.257,NA,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1915625,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1545,0.1455,0.2686,NA,NA,NA,NA,NA,NA,NA,0.1225,NA,NA,0.18,NA,NA,NA,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19225,0.073,NA,NA,0.211,NA,0.223,0.22625,NA,NA,NA,NA,NA,NA,0.276,NA,NA,NA,0.232,NA,0.205888889,NA,NA,NA,0.2175,NA,NA,NA,NA,0.299,1,NA,NA,0.033333333,0.180263158,NA,NA,0.199285714,NA,NA,NA,NA,NA,0.200384615,NA,0.1385,NA,NA,NA,0.027,0.09,NA,NA,0.0774,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160166667,NA,NA,0.111923077,0.232,0.227,NA,0.183,NA,NA,NA,NA,NA,NA,NA,0.1245,0.104166667,0.21,NA,0.1505,NA,NA,NA,0.155
Plant tolerance to frost,NA,43,43,38,38,43,28,38,NA,43,33,38,33,NA,NA,NA,33,NA,NA,23,NA,18,NA,38,28,38,33,33,47,47,33,NA,3,NA,33,23,43,38,33,33,NA,NA,NA,33,NA,38,38,28,36.5,NA,8,37,33,33,NA,23,33,NA,NA,NA,NA,NA,NA,NA,32,23,NA,NA,NA,42,NA,NA,34,38,52,33,33,NA,NA,NA,23,NA,33,28,NA,NA,18,NA,NA,23,32,32,33,NA,33,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,NA,NA,28,NA,38,NA,NA,43,28,NA,23,28,NA,33,NA,33,38,52,32,NA,32,13,NA,NA,43,38,NA,38,28,40.5,43,38,28,NA,11.5,NA,30,NA,33,NA,28,38,28,38,NA,NA,33,33,33,NA,NA,NA,43,18,33,NA,28,NA,23,NA,24,39,33,43,NA,38,28,33,NA
Plant tolerance to planting density,NA,1200,700,1200,700,700,1100,4800,NA,11000,NA,NA,4800,NA,NA,NA,1700,NA,NA,10000,NA,11000,NA,2700,700,700,700,1200,NA,NA,NA,NA,NA,NA,1200,700,700,1200,11000,2700,NA,NA,NA,19000,NA,2700,4800,2700,3775,NA,125000,11000,4800,NA,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,4800,2700,NA,NA,NA,NA,NA,7000,NA,NA,800,NA,19360,10912,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43560,NA,NA,NA,NA,1200,NA,NA,NA,19000,NA,19000,NA,NA,NA,NA,1200,18000,NA,NA,NA,NA,NA,NA,NA,800,1200,NA,NA,800,2714,800,800,800,NA,2365,NA,5120,NA,1200,NA,4800,3450,4800,1200,NA,NA,300,1200,2575,NA,NA,NA,10000,2700,NA,NA,10912,NA,800,NA,NA,NA,1200,800,NA,11000,4800,300,NA
Reproductive dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,1.49,1.428333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609313,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.472,0.606,NA,0.0414,0.8993,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.306,1.646,NA,NA,0.3071552,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,0.892,0.4,NA,NA,NA,NA,NA,NA,NA
Root nitrogen (N) content per dry mass,NA,16.7,NA,4.895388839,NA,9.614676829,8.2,NA,NA,NA,NA,12.309765,NA,NA,15.05595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.91071429,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,12.64,NA,NA,NA,10.15714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.685785,NA,NA,NA,NA,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.17413,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,19.73543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.368529171,31.0651558,NA,NA,NA,NA,NA,NA,NA,NA,20.49285714,NA,5.87871,NA,NA,8.355,9.876275,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.69193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.07704,21.66035,NA,NA,14.78053,NA,NA,NA,NA
Rooting depth,NA,101.6,101.6,76.2,81.28,101.6,81.28,25.4,NA,15.24,20.32,30.48,20.32,NA,NA,NA,50.8,NA,NA,20.32,NA,20.32,NA,30.48,45.72,76.2,71.12,45.72,20.32,20.32,35.56,NA,40.64,NA,50.8,127,121.92,50.8,40.64,35.56,NA,NA,NA,40.64,NA,35.56,40.64,45.72,45.72,NA,35.56,20.32,40.64,33.74,NA,25.4,40.64,NA,NA,NA,NA,NA,NA,NA,40.64,40.64,NA,NA,NA,81.28,NA,NA,101.6,101.6,10.16,35.56,15.24,NA,NA,NA,30.48,NA,35.56,50.8,NA,NA,25.4,NA,NA,20.32,35.56,35.56,101.6,NA,35.56,30.48,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.32,5.08,NA,NA,25.4,NA,40.64,NA,NA,15.24,40.64,NA,40.64,35.56,30,40.64,NA,101.6,10.16,15.24,25.4,NA,35.56,15.24,NA,NA,60.96,90.64,NA,25.4,60.96,55.88,121.92,71.12,91.44,NA,30.48,NA,30.48,NA,91.44,NA,30.48,30.48,30.48,40.64,NA,NA,60.96,81.28,35.56,NA,NA,NA,30.48,20.32,40.64,NA,15.24,NA,88.9,NA,30.48,30.48,71.12,101.6,NA,15.24,35.56,40.64,NA
Seed length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,NA,5.05,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,2.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,1.25,1.44,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,NA,7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,5.5,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,1.17,NA,NA,NA,NA,NA,NA,NA
Seed mass,0.7,30.62464548,126.4562568,22.97162911,196.0933605,55.60061842,20.22683944,2.233,0.16,11.428592,0.078899667,0.05954368,0.549808485,2.46625,3.99,11.5266,5.674346369,29.72666667,2.677,2.233,11.97934,24.38089091,8.897,2.233,17.02914201,0.934393162,0.70151935,0.096286341,2.820778205,5.615041396,0.439133538,1.29212381,4.14925,28.13427273,24.88887333,2813.297289,4455.086111,19.55760938,198.625,2.623125,0.068,0.503,2.0125,0.502,2.190966667,2.841243056,34.55423888,42.63071053,26.64024729,2.223333333,0.189571813,0.36,0.367,0.86727994,1.108058846,0.73,1.295977143,0.55,0.5172,2.233,2.233,2.233,237.452,0.156,4.214443381,4.945615,0.115857143,17.28833333,0.45,255.5331818,2.065,7.893313548,38.68624615,53.85173944,8.685673217,0.907184,0.707865932,0.938818182,0.759666667,6.07,1.13398,0.637857143,0.334,116.1576061,3.228,5.27,4.513875311,27.9,0.323,2.233,4.804579292,0.647988571,14182.46762,2.233333333,1.136266667,0.040541657,0.038857143,0.21675,1.248,0.28,0.277333333,0.127464,9.162857143,29.1425,22.3999,0.83876,2.233,68.74,0.027714286,3.51802,0.452957867,0.604789333,0.17925,0.202872727,0.416144486,2.233,16.31374667,0.2225,0.278588235,0.64502449,25.7406701,3.493047619,2.233,0.015019956,1.38275,6.606443966,1.146,16.82363229,0.219141805,2.099684394,2.6237472,1.812175,2.01427515,2.554304,5.313333333,2.233,1.086262866,0.116199778,2.233,3.501533999,99.19922969,74.04944646,3051.53875,6132.736667,2717.508322,0.626,10.96861374,23.95364,1.164025103,9.162,19.29489744,7.796,2.290609597,2.8985,1.372801194,0.912012982,2.233,1.50845,0.12,0.0903592,17.79556335,0.327,33.59462012,0.0878,0.085352476,0.502662857,0.201226939,1.67,0.342333585,2.233,108.6104075,16.652,1.588359944,0.544286077,2.613005698,11.0766439,0.141821429,0.427493333,29.0090687,67.07055173,181.184
Seed number per reproduction unit,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47031.91667,15420.32,409.055,NA,NA,NA,NA,14196.66667,NA,NA,1856092.5,NA,NA,NA,NA,1076.91,22084.83389,NA,3593.3,NA,531.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491.458333,NA,NA,NA,NA,NA,37533.33333,NA,NA,92513.26667,33886.57143,NA,NA,NA,90411.66667,NA,NA,NA,NA,NA,NA,NA,455223.385,NA,NA,NA,NA,7744.308334,NA,NA,2992.466666,NA,91,249.1,NA,NA,NA,46341,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,18789.41667,NA,NA,8156.666667,22938.65,297033.5958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.875,692356.75,126922.2445,NA,NA,65200,NA,NA,85.95,71375,NA,NA,NA,NA,NA,NA,81747.72223,13362.38095,NA,10171,2854,NA,NA,NA,NA,NA,NA,6692.710145,1,NA,NA,NA,NA,NA,NA,NA,NA,28.03333333,NA,7,NA,NA,NA,NA,NA,17415.28205,49581.33333,NA,5,NA,18705.82259,NA,8499.428571,NA,899445,NA,NA,NA,NA,NA,216.452381,17445.98966,NA,NA,10056.43077,NA,NA,NA,19
