"year","region","mtype","Agriades.glandon","Anthocharis.sara.stella","Boloria.freija","Boloria.frigga","Boloria.kriemhild","Boloria.montinus","Boloria.selene","Callophrys.sheridanii","Cercyonis.oetus","Cercyonis.sthenele","Chlosyne.palla","Coenonympha.haydenii","Coenonympha.tullia.inornata","Colias.alexandra","Colias.christina","Colias.eurytheme","Colias.gigantea","Colias.pelidne","Colias.philodice","Danaus.plexippus","Erebia.epipsodea","Euchloe.sp.","Euphilotes.enoptes.ancilla","Euphydryas.chalcedona","Euphydryas.editha","Euphydryas.gillettii","Glaucopsyche.lygdamus","Glaucopsyche.piasus","Limenitis.weidemeyerii","Lycaeides.idas","Lycaeides.melissa","Lycaena.cupreus","Lycaena.dione","Lycaena.editha","Lycaena.helloides","Lycaena.heteronea","Lycaena.hyllus","Lycaena.mariposa","Lycaena.nivalis","Nymphalis.antiopa","Nymphalis.californica","Nymphalis.milberti","Oeneis.chryxus.chryxus","Oeneis.uhleri","Papilio.eurymedon","Papilio.machaon","Papilio.rutulus","Papilio.zelicaon","Parnassius.clodius","Parnassius.phoebus.smintheus","Phyciodes.campestris","Phyciodes.mylitta","Phyciodes.selenis","Phyciodes.tharos","Pieris.napi.marginalis","Pieris.napi.oleracea","Pieris.rapae","Plebejus.icarioides","Plebejus.lupini","Plebejus.saepiolus","Plebejus.shasta","Polygonia.faunus","Polygonia.gracilis","Polygonia.satyrus","Pontia.beckerii","Pontia.occidentalis","Pontia.protodice","Satyrium.titus","Speyeria.atlantis.hesperis","Speyeria.callippe","Speyeria.cybele","Speyeria.egleis","Speyeria.hydaspe","Speyeria.mormonia","Speyeria.zerene","Vanessa.cardui","Callophrys.dumetorum","Cercyonis.pegala","Colias.interior","Euptoieta.claudia","Lycaena.phlaeas","Lycaena.rubidus","Oeneis.jutta","Papilio.canadensis","Satyrium.sylvinus","Speyeria.edwardsii","Vanessa.annabella","Vanessa.atalanta"
1997,"T",6,0,0,0,0,0,0,0,10,0,0,0,0,33,0,0,0,0,0,0,0,0,24,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,"G",1,1,1,0,0,10,0,0,0,0,0,6,41,2,0,0,0,0,0,0,0,26,1,0,0,0,0,14,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,9,0,0,4,4,27,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0
1998,"G",2,0,0,0,1,4,0,3,0,1,0,0,33,3,0,0,0,1,0,0,0,34,2,1,0,0,4,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,2,0,0,18,0,46,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"G",3,1,0,0,0,4,0,1,0,1,0,0,73,0,0,0,0,0,0,1,0,36,3,0,0,0,1,8,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,3,0,0,13,2,6,0,0,0,0,0,0,3,0,6,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1998,"G",4,5,4,1,0,2,0,0,1,0,0,0,70,0,0,0,0,0,0,0,0,8,4,0,0,0,0,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,1,0,2,0,0,58,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1998,"G",5,2,0,0,0,1,0,0,0,7,0,0,41,9,0,0,0,0,0,5,0,10,1,0,0,0,0,29,0,0,0,2,0,0,1,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,14,3,0,0,0,1,0,0,47,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1998,"G",6,0,0,0,0,0,0,0,0,17,0,0,47,13,0,1,0,0,0,3,0,5,0,0,1,0,0,10,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,2,0,0,0,0,37,1,8,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,"T",1,0,0,0,3,5,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,3,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,"T",2,0,1,0,0,6,0,4,0,2,0,0,2,1,0,0,0,0,0,1,0,14,0,0,1,0,0,2,0,0,1,0,0,0,4,23,1,17,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,1,2
1998,"T",3,3,1,0,0,4,0,0,0,26,0,0,5,0,0,0,0,1,0,1,0,11,5,0,0,0,0,4,0,0,3,6,0,0,0,51,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,4,1,12,0,0,0,0,0,0,2,0,0,0,0,0,0,48,0,4,0,0,0,0,0,0,0,0,1,0,0,0
