,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Phenology: reproductive,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant height generative,Plant height vegetative,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass
polygonum_cuspidatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.29,NA,144.36,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
polygonum_hydropiper,NA,NA,NA,NA,544.34,NA,45.32,19.89,NA,10.4,2.44,14.8,96.12,0.28,NA,NA,NA,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,199.13,NA,NA,NA,NA,NA,NA,NA,0.48,79.43,NA,NA,86,NA,NA,42,NA,6.25,NA,1.65,NA,6,NA,11460.37,13362.38,NA,NA,NA,NA,12.26,NA,NA,NA,NA,75.89
polygonum_persicaria,NA,NA,NA,NA,538.37,NA,44.3,37.69,NA,25.58,0.52,40.84,81.57,0.4,0.21,NA,NA,NA,1.22,NA,NA,NA,0.94,NA,NA,NA,NA,68.86,NA,0.17,NA,NA,NA,NA,NA,0.48,32.01,NA,NA,71,NA,NA,37,NA,6.25,NA,0.31,NA,14,NA,15987.84,2854,NA,NA,NA,NA,0.49,NA,NA,NA,NA,36.25
potentilla_recta,0.26,1.31,0.57,0.95,1301.88,NA,NA,NA,NA,81.37,NA,NA,207.02,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.41,NA,NA,6.5,NA,NA,NA,NA,0.43,19.93,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,54337.75,17.5,NA,NA,2,NA,NA,NA,NA,NA,NA
rosa_multiflora,NA,NA,NA,NA,5598.67,NA,NA,NA,NA,288.79,NA,NA,280.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.11,0.03,NA,6.5,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
rumex_crispus,2.43,3.59,3.19,3.29,6290,NA,43.98,13.88,NA,239.7,NA,0.68,105,NA,NA,NA,NA,NA,2.98,11.5,NA,0.35,NA,11,NA,NA,NA,2569.29,NA,NA,7,NA,0,NA,NA,24.35,0.55,0.26,NA,NA,3,NA,NA,NA,NA,NA,NA,0.38,NA,NA,1.68,17801.29,15.1,NA,NA,4,NA,NA,0.76,0.35,NA,NA
rumex_obtusifolius,1.25,2.29,1.27,1.4,21959.22,NA,285.55,NA,NA,924.22,NA,0.6,146.62,NA,0.26,NA,18.08,1.34,13.88,NA,NA,4.14,29.41,NA,NA,NA,NA,48.77,0.32,NA,88.2,258.88,0,5.99,NA,0.83,24.49,0.16,NA,NA,2,NA,NA,NA,NA,NA,NA,1.07,NA,NA,1.51,17415.28,12.7,NA,NA,3,NA,NA,1.33,NA,213.38,NA
saponaria_officinalis,NA,NA,NA,NA,2165.5,NA,NA,NA,NA,108.27,NA,NA,199.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.35,NA,NA,7.5,NA,NA,NA,NA,0.58,0.9,NA,NA,56,4,3750,38.5,NA,6,NA,NA,NA,10,1.92,9616.92,29080.55,16.6,0.65,1.58,2,NA,NA,NA,NA,NA,NA
securigera_varia,4.78,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3.71,3.31,NA,33.23,1.1,1.42,3,NA,NA,NA,NA,NA,NA
silene_vulgaris,NA,NA,NA,NA,1179.5,NA,NA,NA,NA,63.76,NA,NA,166,NA,NA,NA,NA,NA,2.64,11.73,NA,0.23,NA,NA,NA,NA,NA,20.48,NA,NA,7,NA,NA,NA,NA,0.48,0.27,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.42,1.31,2066.02,18.1,0.87,1.22,4,NA,NA,NA,NA,NA,NA
solanum_dulcamara,NA,10,NA,10,1414.89,NA,45.07,11.36,0.14,65.95,NA,0.5,38.86,NA,0.13,NA,1.44,1.02,18.87,11.14,0.08,581.37,1.54,14,0.6,17.43,NA,748.93,0.1,89.65,5.88,NA,0,NA,NA,1.15,31.58,0.23,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2.13,33.6,18705.82,NA,0.4,2.08,4,57.98,119.06,NA,0.19,NA,NA
sonchus_oleraceus,0.36,4.07,0.25,0.91,7607.67,NA,NA,NA,NA,341.14,NA,0.8,118.5,NA,0.22,NA,NA,NA,19.2,10.09,NA,1731.73,0.47,NA,NA,NA,NA,71.01,NA,NA,8,NA,0,NA,NA,0.78,20.83,0.21,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.31,40193.6,18.8,NA,NA,4,NA,NA,NA,NA,NA,NA
tanacetum_vulgare,0.11,1.9,NA,0.78,1991.32,NA,46.82,25.27,NA,142.08,2.07,28.76,88.55,2.64,NA,NA,5.32,1.28,2.24,NA,NA,0.38,NA,25,NA,NA,NA,813.93,NA,NA,8,NA,0,NA,NA,0.73,86.78,0.02,NA,NA,2,NA,NA,NA,NA,NA,0.49,NA,NA,NA,0.17,273721.48,28.9,NA,NA,4,2.69,NA,NA,0.42,NA,50.47
trifolium_aureum,NA,5.67,NA,NA,410.82,NA,NA,NA,NA,12.18,NA,NA,234.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.06,NA,NA,84.33,NA,NA,NA,NA,0.35,4.87,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.18,0.34,82470.83,NA,0.68,0.92,2,NA,NA,NA,NA,NA,NA
trifolium_pratense,NA,3.75,NA,1.65,74.21,NA,360.46,11.36,0.47,14.15,1.09,12.49,146.81,0.49,0.14,NA,1.64,1.6,24.92,14.09,NA,131.13,2.11,NA,NA,NA,NA,81.05,NA,0.14,143.32,189.13,0,5.03,NA,17.31,35.9,0.13,NA,48,2,NA,48.5,NA,6.75,NA,0.89,2.11,12,1.94,5555.84,216.45,37.15,0.97,1.4,4,3.33,NA,1.68,0.23,65.25,61.54
trifolium_repens,NA,4.38,NA,1.35,35.3,68.67,396.84,10.67,NA,1.64,0.64,27.81,94.87,0.1,0.16,2.01,0.41,1.6,30.97,NA,NA,2.03,4.39,NA,NA,NA,NA,50.89,NA,NA,130.9,215.38,0,11.52,456.17,53.11,30.93,0.11,NA,55.5,3,NA,47,NA,6.75,NA,0.4,2.17,12,1.17,13379.84,17445.99,35.08,0.73,1.02,7,0.9,NA,2.91,0.19,139.5,47.55
tussilago_farfara,0.22,12.06,0.29,0.45,14599.04,NA,38.69,15.07,NA,826.07,37.62,87.28,61.88,37.6,0.37,NA,NA,NA,2.54,10.36,NA,2200,0.69,NA,NA,NA,NA,58.84,NA,NA,3.5,NA,NA,NA,NA,0.16,42.87,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,6953.1,NA,NA,NA,4,5.7,NA,NA,NA,NA,12.72
verbascum_thapsus,NA,NA,NA,NA,13033.82,NA,46.28,NA,NA,1350.01,NA,0.58,183.18,NA,NA,NA,17.05,1.02,2.24,NA,0.17,0.25,NA,NA,NA,NA,NA,64.79,NA,NA,95,NA,0,NA,NA,1.1,19.69,0.23,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.09,652624.85,NA,0.42,0.48,4,NA,NA,NA,NA,NA,NA
vinca_minor,NA,NA,NA,NA,565,NA,NA,NA,NA,21.86,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.44,NA,NA,4.5,NA,NA,NA,NA,0.18,0.49,NA,NA,48.5,2,10850,45,NA,6.6,NA,NA,NA,8,NA,6.13,2.5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
