"Dispersal syndrome","Dispersal unit dry mass","Dispersal unit length","Dispersal unit thickness","Dispersal unit width","Germination efficiency","Germination requirement","Leaf area","Leaf carbon (C) content per area","Leaf carbon (C) content per dry mass","Leaf carbon/nitrogen (C/N) ratio","Leaf density","Leaf dry mass","Leaf dry mass per plant","Leaf dry mass per plant dry mass (leaf weight ratio, LWR)","Leaf dry matter content (LDMC)","Leaf fresh mass","Leaf lamina thickness","Leaf lifespan","Leaf nitrogen (N) content","Leaf nitrogen (N) content per area","Leaf nitrogen (N) content per dry mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf phosphorus (P) content per area","Leaf phosphorus (P) content per dry mass","Leaf physical strength","Leaf porosity","Leaf potassium (K) content per area","Leaf potassium (K) content per dry mass","Leaf respiration per dry mass","Leaf specific area (SLA)","Leaf texture (sclerophylly)","Leaf thickness","Leaf type","Metamorphoses and morphological adaptations: seed or dispersal unit","Mycorrhizal type","Nitrogen fixation capacity","Phenology: reproductive","Phenology: vegetative","Photosynthesis leaf intercellular CO2 concentration","Photosynthesis net assimilytion rate (NAR)","Photosynthesis per leaf area","Photosynthesis per leaf dry mass","Plant age of maturity (first flowering)","Plant growth form","Plant height generative","Plant height vegetative","Plant lifespan","Plant relative growth rate (RGR)","Plant tolerance to drought","Plant tolerance to frost","Plant tolerance to human impact","Plant tolerance to planting density","Plant tolerance to precipitation","Plant tolerance to shade","Plant tolerance to soil pH","Plant tolerance to waterlogging","Reproductive dry mass per plant","Root nitrogen (N) content per dry mass","Rooting depth","Seed length","Seed mass","Seed number per ramet","Seed number per reproducton unit","Seed protein content per mass","Seed thickness","Seed width","Seedbank lifespan","Species distribution: number of floristic zones","Stem dry mass per plant","Stem length (height)","Stem nitrogen (N) content per dry mass","Stem specific density (SSD)","Stomata conductance per leaf area","Wood dry mass per plant dry mass","Woodiness"
"Hypericum.perforatum",NA,NA,NA,NA,NA,NA,NA,38.07,NA,497,NA,NA,2.465,1.526,21.85666667,198.2716667,0.035714286,0.185,NA,NA,NA,22.3,NA,NA,NA,2.6175,NA,NA,NA,NA,77.0872093,NA,0.08,NA,NA,NA,NA,140.2857143,NA,NA,0,NA,NA,NA,NA,0.59,40.284,NA,0.21,NA,NA,5,NA,NA,NA,NA,NA,1.57,NA,NA,1.16,0.139756098,NA,163298.8588,19.4,0.37,0.42,NA,4,3.538,NA,NA,NA,NA,50.672,NA
"Leonurus.cardiaca",NA,1.08,2.39,0.84,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,0.65,0.65,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961111111,NA,69732,17,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Leucanthemum.vulgare",NA,0.38,2.45,NA,0.83,NA,NA,403.42,NA,459.2925,NA,NA,22.54857143,NA,0.71,134.5354545,NA,NA,NA,0.33,0.93,15.544,NA,NA,1.41,NA,NA,NA,NA,NA,38.015,NA,NA,NA,NA,NA,NA,137.7,NA,NA,0,NA,NA,NA,NA,16.975,26.62888889,NA,0.22,NA,51,2,NA,40,NA,6.1,NA,NA,NA,8,NA,8000.3804,NA,1773.192,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Linaria.vulgaris",NA,NA,NA,NA,NA,NA,NA,26.77888889,NA,46.156,27.154,NA,1.02,1.118,25.622,68.94772727,0.110714286,NA,NA,NA,NA,4.026666667,15.32,NA,730.73,NA,NA,NA,NA,NA,57.92230769,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,0.526666667,44.375,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1.094,NA,NA,1.633333333,0.160454545,NA,74545.22333,NA,0.35,1.353333333,NA,4,2.146,NA,NA,NA,NA,49.186,NA
"Lithospermum.officinale",NA,NA,3.13,2,2,NA,NA,957.5,NA,NA,NA,NA,42.65,NA,NA,213.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.85,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0.65,0.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.32428571,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Lonicera.japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,58.5,NA,7900,42,NA,6.35,NA,NA,NA,10,NA,14001.44,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonicera.morrowii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus.corniculatus",NA,NA,NA,NA,NA,NA,NA,7.665454545,NA,482.7911111,14.09857143,NA,0.179625,1.016,18.38,39.2196875,0.047662338,0.205,0.41,NA,1.48,25.59409091,15.365,NA,236.4623529,1.2225,NA,NA,NA,NA,35.45587786,NA,NA,NA,NA,NA,NA,126.0833333,NA,211.875,0,5.975,NA,NA,NA,5.342222222,33.14206349,NA,0.1075,NA,28.5,3,NA,46.5,NA,6.35,NA,1.192,2.12,14,1.48,5521.230896,NA,9324.727273,36.18,1.05,1.22,NA,4,2.992,NA,2.29,0.311428571,92.375,57.146,NA
"Lysimachia.nummularia",NA,NA,NA,NA,NA,NA,NA,273.288,NA,NA,NA,NA,9.35,NA,NA,223.0642857,NA,NA,NA,NA,NA,1.71,6.68,NA,2560,NA,NA,NA,NA,NA,30.86333333,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0.3,0.45,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.28,NA,8156.67,NA,0.65,1.25,NA,2,NA,NA,NA,NA,NA,NA,NA
"Lythrum.salicaria",NA,NA,NA,NA,NA,NA,NA,260.4545833,NA,43.862,21.78125,0.559,10.40809524,4.492,27.33857143,44.40857143,0.488,0.37,NA,NA,83.27,7.37,NA,NA,1.5,0.525,NA,NA,NA,NA,128.9616129,NA,0.15,NA,NA,NA,NA,8,NA,352,0,8.21,99.3,NA,NA,0.85,40.785625,NA,0.2275,NA,NA,2,NA,NA,NA,NA,NA,0.61,NA,NA,1.03,0.35952381,NA,297033.595,16.3,0.29,0.4,NA,6,6.096,NA,NA,0.29,150,56.324,NA
