River,Species,Presence
Hans Creek,fraxinus_americana,1
Indian Kill,fraxinus_americana,1
Kinderhook Creek,fraxinus_americana,1
Lansing Kill,fraxinus_americana,1
Minots Corner Road,fraxinus_americana,1
North Branch West Stony Creek,fraxinus_americana,1
Quacken Kill,fraxinus_americana,1
Saw Kill,fraxinus_americana,1
Sprout Creek,fraxinus_americana,1
Steele Creek,fraxinus_americana,1
Stony Creek,fraxinus_americana,1
Trout Brook,fraxinus_americana,1
Valatie Kill,fraxinus_americana,1
Wharton Hollow Creek,fraxinus_americana,1
Stewart Creek,fraxinus_nigra,1
Potic Creek,fraxinus_pennsylvanica,1
Cadman Creek,galium_asprellum,1
Daly Creek,galium_asprellum,1
Four Mile Brook,galium_asprellum,1
Hudson River,galium_asprellum,1
Mill Brook,galium_asprellum,1
Mill Creek,galium_asprellum,1
Paragon Brook,galium_asprellum,1
Sherriff Lake Outlet,galium_asprellum,1
Timmerman Creek,galium_asprellum,1
Beaver Kill,galium_boreale,1
Wappinger Creek,galium_boreale,1
Wharton Hollow Creek,galium_boreale,1
Alplaus Kill,galium_palustre,1
Ballston Creek,galium_palustre,1
Battenkill,galium_palustre,1
Beaver Kill,galium_palustre,1
Cedar River,galium_palustre,1
Chester Creek,galium_palustre,1
Jassup River,galium_palustre,1
Kennyetto Creek,galium_palustre,1
Kinderhook Creek,galium_palustre,1
Landsman Kill,galium_palustre,1
Mohawk River,galium_palustre,1
Potic Creek,galium_palustre,1
Quacken Kill,galium_palustre,1
Roeliff Jansen Kill,galium_palustre,1
Stony Creek,galium_palustre,1
Wharton Hollow Creek,galium_palustre,1
Roeliff Jansen Kill,galium_triflorum,1
Landsman Kill,geum_canadense,1
Mohawk River,geum_canadense,1
Roeliff Jansen Kill,geum_canadense,1
Snook Kill,geum_canadense,1
Ballston Creek,glyceria_striata,1
Cadman Creek,glyceria_striata,1
Daly Creek,glyceria_striata,1
Four Mile Brook,glyceria_striata,1
Four Mile Brook,glyceria_striata,1
Indian Kill,glyceria_striata,1
Keyser Kill,glyceria_striata,1
Mill Brook,glyceria_striata,1
Mill Creek,glyceria_striata,1
New Pond Brook,glyceria_striata,1
New Pond Brook,glyceria_striata,1
North Branch West Stony Creek,glyceria_striata,1
Robbs Creek,glyceria_striata,1
Sherriff Lake Outlet,glyceria_striata,1
Timmerman Creek,glyceria_striata,1
Ballston Creek,hamamelis_virginiana,1
Hans Creek,hamamelis_virginiana,1
Saw Kill,hamamelis_virginiana,1
Sterling Creek,hamamelis_virginiana,1
Battenkill,helianthus_strumosus,1
Valatie Kill,helianthus_strumosus,1
Quacken Kill,helianthus_tuberosus,1
Robbs Creek,hypericum_mutilum,1
