Trait,Species,Value
Leaf nitrogen (N) content per dry mass,Fagus grandifolia,1.565
Leaf dry matter content (LDMC),Quercus rubra,1.566310143
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.568
Leaf respiration per dry mass,Pinus strobus,1.5696
Leaf respiration per dry mass,Pinus strobus,1.5696
Plant tolerance to drought,Populus deltoides,1.57
Leaf nitrogen (N) content per dry mass,Dactylis glomerata,1.57
Dispersal unit width,Rubus idaeus,1.57
Leaf nitrogen (N) content per dry mass,Betula papyrifera,1.57
Leaf nitrogen (N) content per dry mass,Quercus rubra,1.57
Leaf nitrogen (N) content per dry mass,Rubus occidentalis,1.57
Leaf nitrogen (N) content per dry mass,Vitis riparia,1.57
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.57
Leaf respiration per dry mass,Pinus strobus,1.57
Leaf area,Galium mollugo,1.57
Leaf phosphorus (P) content per dry mass,Plantago lanceolata,1.570500863
Stem nitrogen (N) content per dry mass,Glechoma hederacea,1.57645
Leaf nitrogen (N) content per area,Fraxinus pennsylvanica,1.578947368
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.58
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.58
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.58
Leaf nitrogen (N) content per dry mass,Pinus strobus,1.58
Leaf nitrogen (N) content per dry mass,Populus tremuloides,1.58
Dispersal unit width,Rumex crispus,1.58
Seed width,Saponaria officinalis,1.58
Seed width,Saponaria officinalis,1.58
Leaf nitrogen (N) content per dry mass,Galium boreale,1.58
Leaf nitrogen (N) content per dry mass,Phleum pratense,1.58
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.58
Leaf nitrogen (N) content per area,Quercus rubra,1.58
Leaf fresh mass,Asclepias syriaca,1.58
Leaf area,Euthamia graminifolia,1.58
Leaf nitrogen (N) content per dry mass,Asclepias syriaca,1.58058095
Leaf nitrogen (N) content per dry mass,Tsuga canadensis,1.581420182
Leaf area,Galium boreale,1.581824545
Seed mass,Rumex obtusifolius,1.583
Seed mass,Rumex obtusifolius,1.583
Seed mass,Rumex obtusifolius,1.583
Leaf phosphorus (P) content per dry mass,Dactylis glomerata,1.583708888
Leaf dry matter content (LDMC),Acer saccharum,1.583877599
Leaf nitrogen (N) content per dry mass,Daucus carota,1.584120154
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.585
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.585
Leaf nitrogen (N) content per area,Juglans cinerea,1.585365854
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.586666667
Leaf nitrogen (N) content per dry mass,Tsuga canadensis,1.58778179
Stem nitrogen (N) content per dry mass,Taraxacum officinale,1.588649
Plant tolerance to shade,Alnus incana,1.59
Seed mass,Lotus corniculatus,1.59
Leaf fresh mass,Asclepias syriaca,1.59
Leaf nitrogen (N) content per dry mass,Plantago major,1.590245008
Leaf nitrogen (N) content per dry mass,Dactylis glomerata,1.591335
Leaf nitrogen (N) content per dry mass,Bromus inermis,1.59197737
Leaf nitrogen (N) content per dry mass,Maianthemum canadense,1.593811035
Seed mass,Solanum dulcamara,1.595
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.596666667
Leaf nitrogen (N) content per dry mass,Achillea millefolium,1.59678526
Leaf respiration per dry mass,Pinus strobus,1.5971
Leaf respiration per dry mass,Pinus strobus,1.5971
Leaf phosphorus (P) content per dry mass,Quercus rubra,1.5975
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.6
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.6
Seed mass,Betula alleghaniensis,1.6
Seed mass,Myrica gale,1.6
Seed mass,Myrica gale,1.6
Seed mass,Plantago lanceolata,1.6
Seed mass,Trifolium pratense,1.6
Seed mass,Plantago lanceolata,1.6
Leaf phosphorus (P) content per dry mass,Galium boreale,1.6
Seed mass,Lotus corniculatus,1.6
Dispersal unit length,Myosotis scorpioides,1.6
Dispersal unit length,Myosotis scorpioides,1.6
Leaf nitrogen (N) content per dry mass,Acer pensylvanicum,1.6
Leaf nitrogen (N) content per dry mass,Betula alleghaniensis,1.6
Leaf nitrogen (N) content per dry mass,Betula papyrifera,1.6
Leaf nitrogen (N) content per dry mass,Carpinus caroliniana,1.6
Leaf nitrogen (N) content per dry mass,Carpinus caroliniana,1.6
Leaf nitrogen (N) content per dry mass,Fraxinus americana,1.6
Leaf nitrogen (N) content per area,Pinus strobus,1.6
Leaf nitrogen (N) content per area,Fraxinus americana,1.6
Plant height vegetative,Dryopteris cristata,1.6
Plant height vegetative,Lycopus rubellus,1.6
Plant height vegetative,Polygonum hydropiper,1.6
Stem nitrogen (N) content per dry mass,Acer rubrum,1.6
Leaf nitrogen (N) content per dry mass,Mitchella repens,1.6
Seed mass,Polygonum punctatum,1.6
Seed mass,Silene vulgaris,1.6
Seed mass,Polygonum punctatum,1.6
Seed mass,Silene vulgaris,1.6
Leaf physical strength,Clinopodium vulgare,1.6
Leaf area,Lotus corniculatus,1.6
Photosynthesis per leaf area,Urtica dioica,1.6
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.601666667
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.6025
Seed mass,Myrica gale,1.6032
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.603333333
Leaf nitrogen (N) content per area,Betula papyrifera,1.605839416
Leaf nitrogen (N) content per area,Betula papyrifera,1.606016105
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.61
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.61
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.61
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.61
Leaf nitrogen (N) content per dry mass,Populus tremuloides,1.61
Seed mass,Lotus corniculatus,1.61
Leaf dry mass,Onoclea sensibilis,1.61
Leaf dry mass per plant,Onoclea sensibilis,1.61
Leaf dry mass per plant,Panicum capillare,1.61
Stem dry mass per plant,Rubus idaeus,1.61
Leaf nitrogen (N) content per dry mass,Pinus strobus,1.61
Leaf nitrogen (N) content per dry mass,Maianthemum canadense,1.61
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.61
Leaf area,Galium mollugo,1.61
Leaf area,Galium mollugo,1.61
Leaf area,Lotus corniculatus,1.61
Leaf area,Galium mollugo,1.61
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.611666667
Leaf nitrogen (N) content per area,Trifolium pratense,1.612210755
Leaf nitrogen (N) content per dry mass,Erigeron annuus,1.612234473
Leaf area,Trifolium pratense,1.6124
Leaf phosphorus (P) content per dry mass,Lotus corniculatus,1.614896229
Leaf nitrogen (N) content per area,Prunus serotina,1.616766467
Leaf nitrogen (N) content per dry mass,Achillea millefolium,1.617059554
Leaf nitrogen (N) content per area,Quercus alba,1.617886179
Leaf nitrogen (N) content per area,Quercus rubra,1.617886179
Leaf area,Phleum pratense,1.62
Leaf nitrogen (N) content per dry mass,Quercus rubra,1.62
Leaf nitrogen (N) content per dry mass,Acer platanoides,1.62
Seed mass,Trifolium pratense,1.62
Seed mass,Daucus carota,1.62
Leaf dry mass,Asclepias syriaca,1.62
Leaf dry mass,Veronica scutellata,1.62
Leaf nitrogen (N) content per dry mass,Acer platanoides,1.62
Leaf nitrogen (N) content per dry mass,Prenanthes alba,1.62
Leaf nitrogen (N) content per dry mass,Phleum pratense,1.62
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.62
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.62
Leaf nitrogen (N) content per dry mass,Pinus strobus,1.62
Leaf nitrogen (N) content per dry mass,Quercus rubra,1.62
Leaf nitrogen (N) content per dry mass,Acer platanoides,1.62
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.62
Leaf nitrogen (N) content per dry mass,Acer platanoides,1.62
Leaf nitrogen (N) content per dry mass,Acer platanoides,1.62
Leaf area,Lotus corniculatus,1.62
Leaf nitrogen (N) content per dry mass,Onoclea sensibilis,1.620956063
Leaf nitrogen (N) content per dry mass,Fraxinus pennsylvanica,1.621
Seed mass,Saponaria officinalis,1.621333333
Seed mass,Saponaria officinalis,1.624
Seed mass,Saponaria officinalis,1.624
Leaf phosphorus (P) content per dry mass,Juncus articulatus,1.624319736
Seed mass,Trifolium pratense,1.625
Seed mass,Trifolium pratense,1.625
Seed mass,Trifolium pratense,1.625
Seed mass,Trifolium pratense,1.625
Seed mass,Trifolium pratense,1.625
Plant height vegetative,Phalaris arundinacea,1.626
Plant height vegetative,Phalaris arundinacea,1.626
Leaf physical strength,Plantago lanceolata,1.626297578
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.6275
Stem nitrogen (N) content per dry mass,Plantago major,1.629329
Leaf respiration per dry mass,Pinus strobus,1.6294
Leaf respiration per dry mass,Pinus strobus,1.6294
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.63
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.63
Leaf nitrogen (N) content per dry mass,Populus tremuloides,1.63
Leaf nitrogen (N) content per dry mass,Populus tremuloides,1.63
Seed thickness,Robinia pseudoacacia,1.63
Seed thickness,Robinia pseudoacacia,1.63
Leaf nitrogen (N) content per dry mass,Cornus canadensis,1.63
Leaf nitrogen (N) content per dry mass,Cornus canadensis,1.63
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.63
Leaf area,Trifolium repens,1.63
Leaf fresh mass,Asclepias syriaca,1.63
Leaf area,Galium boreale,1.636332857
Leaf dry matter content (LDMC),Acer rubrum,1.63738687
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.64
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.64
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.64
Seed mass,Rumex obtusifolius,1.64
Leaf phosphorus (P) content per dry mass,Clinopodium vulgare,1.64
Reproductive dry mass per plant,Hypericum perforatum,1.64
Reproductive dry mass per plant,Oenothera biennis,1.64
Seed mass,Solanum dulcamara,1.64
Leaf nitrogen (N) content per dry mass,Populus deltoides,1.64
Leaf nitrogen (N) content per dry mass,Populus deltoides,1.64
Leaf nitrogen (N) content per area,Acer saccharum,1.64
Leaf nitrogen (N) content per area,Robinia pseudoacacia,1.64
Leaf nitrogen (N) content per area,Robinia pseudoacacia,1.64
Leaf nitrogen (N) content per area,Robinia pseudoacacia,1.64
Leaf fresh mass,Asclepias syriaca,1.64
Leaf area,Lotus corniculatus,1.64
Leaf nitrogen (N) content per area,Robinia pseudoacacia,1.640151515
Leaf phosphorus (P) content per dry mass,Acer platanoides,1.643333333
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.64411474
Seed mass,Elymus repens,1.646
Seed mass,Elymus repens,1.646
Plant height vegetative,Fallopia japonica,1.646
Plant height vegetative,Fallopia japonica,1.646
Root nitrogen (N) content per dry mass,Plantago major,1.647033
Leaf nitrogen (N) content per area,Tilia americana,1.648351648
Leaf potassium (K) content per dry mass,Sambucus nigra,1.649166667
Leaf nitrogen (N) content per dry mass,Achillea millefolium,1.649921894
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.65
Leaf nitrogen (N) content per dry mass,Dactylis glomerata,1.65
Leaf nitrogen (N) content per dry mass,Phleum pratense,1.65
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.65
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.65
Seed mass,Polygonum hydropiper,1.65
Leaf nitrogen (N) content per dry mass,Ambrosia artemisiifolia,1.65
Plant height generative,Phalaris arundinacea,1.65
Seed mass,Lotus corniculatus,1.65
Seed mass,Lotus corniculatus,1.65
Dispersal unit width,Bromus inermis,1.65
Dispersal unit width,Trifolium pratense,1.65
Dispersal unit width,Trifolium pratense,1.65
Leaf nitrogen (N) content per dry mass,Populus tremuloides,1.65
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.65
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.65
Leaf fresh mass,Asclepias syriaca,1.65
Leaf area,Galium mollugo,1.65
Leaf area,Lotus corniculatus,1.65
Leaf physical strength,Lotus corniculatus,1.65039929
Leaf nitrogen (N) content per area,Rhamnus cathartica,1.652526408
Leaf respiration per dry mass,Pinus strobus,1.654855
Leaf respiration per dry mass,Pinus strobus,1.654855
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.655
Leaf respiration per dry mass,Abies balsamea,1.6551
Leaf respiration per dry mass,Abies balsamea,1.6551
Leaf nitrogen (N) content per dry mass,Polygonum sagittatum,1.657568574
Leaf nitrogen (N) content per dry mass,Tsuga canadensis,1.658591129
Seed mass,Pilea pumila,1.659
Seed mass,Pilea pumila,1.659
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.66
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.66
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.66
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.66
Leaf nitrogen (N) content per dry mass,Pinus strobus,1.66
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.66
Leaf nitrogen (N) content per dry mass,Populus tremuloides,1.66
Root nitrogen (N) content per dry mass,Taraxacum officinale,1.66
Leaf fresh mass,Oenothera biennis,1.66
Reproductive dry mass per plant,Plantago major,1.66
Stem dry mass per plant,Rubus idaeus,1.66
Dispersal unit length,Rubus odoratus,1.66
Leaf nitrogen (N) content per dry mass,Prenanthes alba,1.66
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.66
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.66
Leaf nitrogen (N) content per dry mass,Glechoma hederacea,1.66
Leaf nitrogen (N) content per dry mass,Phleum pratense,1.66
Leaf nitrogen (N) content per dry mass,Populus deltoides,1.66
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.66
Leaf respiration per dry mass,Pinus strobus,1.6607
Leaf respiration per dry mass,Pinus strobus,1.6607
Leaf nitrogen (N) content per area,Achillea millefolium,1.661903505
Leaf phosphorus (P) content per dry mass,Trifolium repens,1.663
Leaf nitrogen (N) content per area,Plantago lanceolata,1.666666667
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.6667
Seed mass,Lotus corniculatus,1.668
Seed mass,Lotus corniculatus,1.668
Leaf phosphorus (P) content per dry mass,Trifolium pratense,1.669
Leaf area,Dactylis glomerata,1.67
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.67
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.67
Leaf nitrogen (N) content per dry mass,Populus tremuloides,1.67
Seed mass,Lotus corniculatus,1.67
Seed mass,Lotus corniculatus,1.67
Seed mass,Lotus corniculatus,1.67
Seed mass,Lotus corniculatus,1.67
Leaf dry mass,Asclepias syriaca,1.67
Stem dry mass per plant,Bromus inermis,1.67
Reproductive dry mass per plant,Daucus carota,1.67
Leaf dry mass per plant,Hypericum perforatum,1.67
Stem dry mass per plant,Lythrum salicaria,1.67
Leaf dry mass per plant,Rubus idaeus,1.67
Dispersal unit width,Echinochloa muricata,1.67
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.67
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.67
Leaf nitrogen (N) content per area,Arisaema triphyllum,1.67
Leaf nitrogen (N) content per area,Arisaema triphyllum,1.67
Leaf area,Trifolium repens,1.67
Seed mass,Populus deltoides,1.67
Seed mass,Thalictrum pubescens,1.67
Seed mass,Populus deltoides,1.67
Leaf area,Galium mollugo,1.67
Leaf area,Galium mollugo,1.67
Leaf area,Euthamia graminifolia,1.67
Leaf fresh mass,Scirpus atrocinctus,1.6704
Leaf nitrogen (N) content per area,Populus tremuloides,1.672
Leaf nitrogen (N) content per dry mass,Maianthemum canadense,1.672551751
Leaf nitrogen (N) content per area,Arisaema triphyllum,1.673684211
Stem nitrogen (N) content per dry mass,Trifolium pratense,1.67598
Leaf phosphorus (P) content per dry mass,Lotus corniculatus,1.676
Leaf area,Rudbeckia hirta,1.6798
Leaf nitrogen (N) content per dry mass,Bromus ciliatus,1.679830849
Plant tolerance to waterlogging,Sambucus nigra,1.68
Leaf nitrogen (N) content per dry mass,Pinus strobus,1.68
Leaf phosphorus (P) content per dry mass,Salix pentandra,1.68
Leaf fresh mass,Eupatorium perfoliatum,1.68
Leaf dry mass per plant,Hypericum perforatum,1.68
Leaf dry mass,Veronica scutellata,1.68
Leaf dry mass,Veronica scutellata,1.68
Leaf fresh mass,Asclepias syriaca,1.68
Leaf fresh mass,Asclepias syriaca,1.68
Leaf area,Lotus corniculatus,1.68
Leaf phosphorus (P) content per dry mass,Lythrum salicaria,1.683068017
Leaf nitrogen (N) content per dry mass,Quercus alba,1.683333
Leaf nitrogen (N) content per dry mass,Panicum capillare,1.683398962
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.685
Leaf nitrogen (N) content per dry mass,Verbascum thapsus,1.68571347
Leaf nitrogen (N) content per dry mass,Plantago major,1.685899734
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.686666667
Leaf nitrogen (N) content per dry mass,Betula alleghaniensis,1.686666667
Leaf nitrogen (N) content per dry mass,Dactylis glomerata,1.687117
Leaf nitrogen (N) content per dry mass,Tanacetum vulgare,1.687490344
Leaf nitrogen (N) content per area,Spiraea alba,1.688544358
Leaf phosphorus (P) content per dry mass,Lotus corniculatus,1.689823252
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.69
Seed mass,Bidens frondosa,1.69
Reproductive dry mass per plant,Polygonum hydropiper,1.69
Leaf nitrogen (N) content per dry mass,Prunus virginiana,1.69
Dispersal unit dry mass,Oenanthe silaifolia,1.691
Dispersal unit dry mass,Oenanthe silaifolia,1.691
Seed mass,Cephalanthus occidentalis,1.6925
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.693333333
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.694
Leaf physical strength,Plantago major,1.694117647
Leaf nitrogen (N) content per area,Thuja occidentalis,1.694800012
Seed mass,Saponaria officinalis,1.6952
Seed mass,Saponaria officinalis,1.6952
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.696666667
Leaf nitrogen (N) content per dry mass,Betula alleghaniensis,1.696666667
Photosynthesis net assimilytion rate (NAR),Dactylis glomerata,1.698
Leaf phosphorus (P) content per dry mass,Juncus articulatus,1.698027187
Leaf nitrogen (N) content per area,Acer saccharum,1.7
Plant height vegetative,Rubus idaeus,1.7
Leaf nitrogen (N) content per dry mass,Pinus strobus,1.7
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.7
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.7
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.7
Leaf nitrogen (N) content per dry mass,Pinus strobus,1.7
Seed mass,Trifolium pratense,1.7
Seed mass,Melilotus officinalis,1.7
Seed mass,Geum canadense,1.7
Seed mass,Brassica nigra,1.7
Seed mass,Rubus idaeus,1.7
Seed mass,Brassica nigra,1.7
Seed mass,Rubus allegheniensis,1.7
Seed mass,Saponaria officinalis,1.7
Seed mass,Brassica nigra,1.7
Seed mass,Daucus carota,1.7
Seed mass,Rudbeckia laciniata,1.7
Seed mass,Rumex crispus,1.7
Seed mass,Trifolium pratense,1.7
Seed mass,Trifolium pratense,1.7
Plant height vegetative,Lotus corniculatus,1.7
Plant height generative,Lotus corniculatus,1.7
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.7
Dispersal unit length,Galium palustre,1.7
Dispersal unit length,Galium palustre,1.7
Seed length,Oenothera biennis,1.7
Seed length,Oenothera biennis,1.7
Leaf nitrogen (N) content per dry mass,Fraxinus americana,1.7
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.7
Leaf nitrogen (N) content per dry mass,Betula alleghaniensis,1.7
Leaf nitrogen (N) content per dry mass,Fraxinus nigra,1.7
Leaf nitrogen (N) content per dry mass,Ulmus rubra,1.7
Leaf nitrogen (N) content per dry mass,Juglans nigra,1.7
Leaf nitrogen (N) content per dry mass,Dactylis glomerata,1.7
Leaf nitrogen (N) content per area,Thuja occidentalis,1.7
Leaf nitrogen (N) content per area,Thuja occidentalis,1.7
Leaf nitrogen (N) content per area,Achillea millefolium,1.7
Stem nitrogen (N) content per dry mass,Pinus strobus,1.7
Photosynthesis per leaf area,Bromus inermis,1.7
Leaf nitrogen (N) content per dry mass,Rhus typhina,1.7
Leaf nitrogen (N) content per dry mass,Cornus rugosa,1.7
Seed mass,Saponaria officinalis,1.7
Seed mass,Saponaria officinalis,1.7
Photosynthesis per leaf area,Plantago major,1.7
Leaf nitrogen (N) content per area,Quercus rubra,1.700718436
Seed mass,Saponaria officinalis,1.702
Seed mass,Saponaria officinalis,1.702
Leaf nitrogen (N) content per area,Populus deltoides,1.70212766
Leaf nitrogen (N) content per dry mass,Daucus carota,1.703726411
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.705
Leaf respiration per dry mass,Pinus strobus,1.705584264
Root nitrogen (N) content per dry mass,Pinus strobus,1.705940815
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.706666667
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.706666667
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.708333333
Leaf physical strength,Cynodon dactylon,1.708823688
Leaf nitrogen (N) content per dry mass,Daucus carota,1.709743381
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.71
Leaf nitrogen (N) content per dry mass,Cornus canadensis,1.71
Leaf phosphorus (P) content per dry mass,Commelina communis,1.71
Leaf phosphorus (P) content per dry mass,Pteridium aquilinum,1.71
Leaf nitrogen (N) content per dry mass,Fragaria vesca,1.71
Leaf nitrogen (N) content per dry mass,Lysimachia nummularia,1.71
Leaf nitrogen (N) content per dry mass,Quercus alba,1.71
Leaf nitrogen (N) content per dry mass,Arisaema triphyllum,1.71
Leaf area,Lotus corniculatus,1.71
Leaf area,Galium mollugo,1.71
Leaf respiration per dry mass,Pinus strobus,1.710771
Leaf respiration per dry mass,Pinus strobus,1.710771
Leaf nitrogen (N) content per dry mass,Tsuga canadensis,1.711229947
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.7125
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.7143
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.715
Leaf nitrogen (N) content per dry mass,Achillea millefolium,1.718161702
Leaf nitrogen (N) content per dry mass,Solidago canadensis,1.718689561
Leaf nitrogen (N) content per dry mass,Achillea millefolium,1.719846725
Plant tolerance to shade,Robinia pseudoacacia,1.72
Leaf nitrogen (N) content per dry mass,Betula papyrifera,1.72
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.72
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.72
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.72
Seed mass,Alliaria petiolata,1.72
Leaf nitrogen (N) content per dry mass,Maianthemum canadense,1.72
Leaf nitrogen (N) content per dry mass,Galium aparine,1.72
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.72
Leaf nitrogen (N) content per area,Acer rubrum,1.72
Leaf nitrogen (N) content per dry mass,Galium aparine,1.72
Leaf respiration per dry mass,Abies balsamea,1.721575933
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.7225
Leaf respiration per dry mass,Abies balsamea,1.723994
Leaf respiration per dry mass,Abies balsamea,1.723994
Leaf phosphorus (P) content per dry mass,Achillea millefolium,1.727288849
Leaf nitrogen (N) content per area,Sambucus nigra,1.728343982
Plant tolerance to waterlogging,Ulmus rubra,1.73
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.73
Seed mass,Rubus allegheniensis,1.73
Seed length,Salix pentandra,1.73
Leaf nitrogen (N) content per dry mass,Rhamnus cathartica,1.73
Leaf nitrogen (N) content per dry mass,Thalictrum dioicum,1.73
Leaf nitrogen (N) content per dry mass,Quercus alba,1.73
Leaf nitrogen (N) content per dry mass,Quercus rubra,1.73
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.73
Leaf fresh mass,Asclepias syriaca,1.73
Leaf area,Galium mollugo,1.73
Seed mass,Melilotus officinalis,1.731
Seed mass,Melilotus officinalis,1.731
Plant height vegetative,Urtica dioica,1.732
Plant height vegetative,Urtica dioica,1.732
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.733333333
Leaf nitrogen (N) content per dry mass,Fagus grandifolia,1.733333333
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.734285714
Seed mass,Daucus carota,1.7352
Seed mass,Daucus carota,1.7352
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.736666667
Leaf nitrogen (N) content per dry mass,Rubus idaeus,1.738656998
Leaf area,Lobelia inflata,1.74
Seed mass,Bidens frondosa,1.74
Seed mass,Daucus carota,1.74
Seed mass,Daucus carota,1.74
Seed mass,Daucus carota,1.74
Leaf area,Lobelia inflata,1.74
Stem dry mass per plant,Onoclea sensibilis,1.74
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.74
Leaf fresh mass,Asclepias syriaca,1.74
Leaf area,Euthamia graminifolia,1.74
Leaf area,Galium mollugo,1.74
Leaf area,Galium mollugo,1.74
Leaf nitrogen (N) content per dry mass,Daucus carota,1.740025401
Seed mass,Plantago lanceolata,1.744
Seed mass,Plantago lanceolata,1.744
Seed mass,Plantago lanceolata,1.744
Seed mass,Plantago lanceolata,1.744
Seed mass,Plantago lanceolata,1.744
Seed mass,Plantago lanceolata,1.744
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.745
Seed mass,Melilotus officinalis,1.745
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.75
Seed mass,Melilotus officinalis,1.75
Seed mass,Trifolium pratense,1.75
Seed mass,Trifolium pratense,1.75
Seed mass,Trifolium pratense,1.75
Seed mass,Trifolium pratense,1.75
Seed mass,Trifolium pratense,1.75
Plant height vegetative,Helianthus tuberosus,1.75
Plant height generative,Helianthus tuberosus,1.75
Dispersal unit width,Leersia oryzoides,1.75
Dispersal unit width,Leersia oryzoides,1.75
Dispersal unit width,Daucus carota,1.75
Leaf nitrogen (N) content per dry mass,Cornus rugosa,1.75
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.75
Leaf fresh mass,Asclepias syriaca,1.75
Leaf area,Galium mollugo,1.75
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.751666667
Leaf nitrogen (N) content per dry mass,Linaria vulgaris,1.755607724
Leaf nitrogen (N) content per dry mass,Betula papyrifera,1.756666667
Leaf nitrogen (N) content per dry mass,Acer saccharum,1.756666667
Leaf phosphorus (P) content per dry mass,Prunella vulgaris,1.758
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.758333333
Leaf area,Trifolium pratense,1.7594
Leaf nitrogen (N) content per area,Asclepias syriaca,1.76
Plant tolerance to shade,Populus deltoides,1.76
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.76
Stem dry mass per plant,Hypericum perforatum,1.76
Leaf nitrogen (N) content per dry mass,Populus deltoides,1.76
Leaf nitrogen (N) content per dry mass,Acer rubrum,1.76
Leaf nitrogen (N) content per dry mass,Galium triflorum,1.76
Leaf nitrogen (N) content per dry mass,Asclepias syriaca,1.76
Leaf nitrogen (N) content per area,Asclepias syriaca,1.76
Leaf respiration per dry mass,Pinus strobus,1.76
Stem dry mass per plant,Linaria vulgaris,1.7609
Leaf nitrogen (N) content per area,Carya ovata,1.767857143
Leaf nitrogen (N) content per area,Betula papyrifera,1.768
Leaf physical strength,Sambucus nigra,1.768292683
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.768333333
Plant tolerance to drought,Populus tremuloides,1.77
Plant tolerance to waterlogging,Populus tremuloides,1.77
Plant tolerance to waterlogging,Ribes rubrum,1.77
Plant tolerance to drought,Salix nigra,1.77
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.77
Leaf nitrogen (N) content per dry mass,Abies balsamea,1.77
Leaf nitrogen (N) content per dry mass,Populus tremuloides,1.77
Seed mass,Lotus corniculatus,1.77
Stem dry mass per plant,Rubus idaeus,1.77
