River,Comm,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per total dry mass
Mohawk River,Mohawk River Inv,42.81,13.555,0.53,0.15,10.06666667,7.936666667,2643.436667,2.22,NA,NA,529.922,NA,0.23,1.52,NA,2.485,28657.904,NA,0.265,113.86,NA
New Pond Brook,New Pond Brook Inv,44.33,15.87,0.8,0.22,10.88,10.09,865.99,0.47,NA,NA,569.64,NA,0.21,NA,12.155,1.246666667,44887.465,26.015,119.41,NA,NA
North Branch West Stony Creek,North Branch West Stony Creek Inv,43.57,15.75,0.53,NA,5.01,8.33,1309.98,NA,NA,NA,1781.77,NA,0.23,1.52,24,0.38,47961.165,NA,59.78,113.86,NA
Paragon Brook,Paragon Brook Inv,356.0266667,19.78,13.26333333,0.165,18.95,10.65,899.465,2.365,NA,NA,76.44666667,139.01,0.18,1.55,11,8387.45,62257.82,25.73333333,0.325,65.25,63.34666667
Plotter Kill,Plotter Kill Inv,142.2483333,16.948,24.28,0.26,11.5025,13.2425,819.4314286,1.1775,10.78,NA,332.8433333,187.53,0.212,0.38,16,928.6044444,150525.1856,23.355,0.2875,283,44.72666667
Potic Creek,Potic Creek Inv,39.71,23.59666667,26.56,0.213333333,14.29333333,12.535,1375.395,1.446666667,NA,25.5,55.5675,260.78,0.18,2.34,9,25018.245,32910.16,19.1,0.38,117.88,28.1
Quacken Kill,Quacken Kill Inv,97.02571429,24.64857143,11.825,0.2275,11.16375,11.562,933.45,1.17,8.96,25.5,343.0363636,180.1575,0.17,1.616666667,7.662,11236.05231,58415.90909,20.73428571,47.634,223.9133333,49.928
Robbs Creek,Robbs Creek Inv,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,NA,1068.27,NA,NA,NA,24,1.33,49581.33,NA,119.41,NA,NA
Roeliff Jansen Kill,Roeliff Jansen Kill Inv,210.5075,16.63,9.506666667,0.26,14.716,8.8,551.634,10.72,NA,NA,53.47375,99.3,0.206666667,1.07,12,250002.9322,131382.1089,15.33333333,0.335,181.69,56.32
Saw Kill,Saw Kill Inv,42.005,15.48,51.04,0.26,9.45,10.59666667,1935.486667,1.455,NA,NA,76.29,NA,NA,NA,6,1913.361667,21821.466,NA,0.38,NA,44.305
Sherriff Lake Outlet,Sherriff Lake Outlet Inv,44.155,14.875,0.68,NA,2.77,11.5,0.3,NA,NA,NA,1818.78,NA,0.26,0.38,24,1.9125,33691.31,24.165,59.88,NA,NA
Snook Kill,Snook Kill Inv,41.4425,18.2275,8.326,0.29,9.891666667,10.574,1152.246667,0.726666667,NA,25.5,894.79,180.04,0.222,1.413333333,2.155,12011.58857,81878.98,17.325,0.263333333,127.2466667,38.135
Sprout Creek,Sprout Creek Inv,41.09333333,27.03,26.82,0.286666667,9.74,16.27,0.845,0.883333333,NA,25.5,77.32,180.04,0.205,2.34,9,25017.7175,95410.58,17.7,0.29,133.94,37.50666667
Steele Creek,Steele Creek Inv,40.75,15.35,43.905,0.37,5,9.345,2409.855,0.69,10.29,NA,684.145,NA,0.23,1.52,NA,2.722,17767.03333,NA,0.15,113.86,12.72
Sterling Creek,Sterling Creek Inv,217.095,15.86142857,17.6575,0.222,14.38888889,11.67333333,684.6275,1.628,14.105,25.5,345.6590909,268.27,0.212857143,1.49,8,7472.715833,660542.1955,22.968,0.234,91.565,42.004
Stewart Creek,Stewart Creek Inv,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.31,6953.1,NA,NA,NA,12.72
Stony Creek,Stony Creek Inv,146.6266667,20.5375,21.87,0.195,16.95,13.05333333,960.64,1.6125,NA,25.5,62.98333333,260.78,0.155,2.225,10,15090.25714,1163555.045,28.125,0.305,91.565,39.24666667
Timmerman Creek,Timmerman Creek Inv,122.1375,13.415,33.42333333,0.213333333,11.77833333,13.926,615.6266667,1.446666667,17.43,NA,332.825,NA,0.18,2.11,17.33333333,2322.44,17538.065,31.06,39.94333333,65.25,37.13
Trout Brook,Trout Brook Inv,43.98,13.88,0.68,NA,2.98,11.5,0.35,NA,NA,NA,2569.29,NA,0.26,0.38,NA,1.68,17801.29,15.1,0.35,NA,NA
Valatie Kill,Valatie Kill Inv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.64333333,NA,NA,NA,14,3706.624,3424740.09,21,NA,NA,NA
Wappinger Creek,Wappinger Creek Inv,43.86,16.63,27.34,0.26,10.03666667,7.74,1770.7,1.375,NA,NA,59.97,99.3,0.23,NA,NA,2.7275,88057.2975,16.3,0.335,150,56.32
Wharton Hollow Creek,Wharton Hollow Creek Inv,249.0214286,13.65,24.546,0.211666667,14.57222222,12.916,782.53375,6.208333333,17.43,NA,221.182,NA,0.1825,1.59,15,4607.905,36564.384,26.795,30.0425,139.315,41.64333333
Alplaus Kill,Alplaus Kill Nat,45.095,23.32142857,21.59875,95.42,6.403333333,8.79,1899.329,3.48,2.343333333,11.3625,447.1994444,113.648,0.18,12.875,20.75,117182.9776,406204.7529,24.275,72.69166667,231.125,55.034
Ballston Creek,Ballston Creek Nat,73.94285714,21.16375,17.09,95.42,5.336,9.277142857,1732.64875,3.48,2.00625,7.611666667,431.2591304,142.90375,0.168571429,5.95,20.9047619,120131.7719,3670.045714,19.12222222,39.89363636,229.2166667,57.918
Battenkill,Battenkill Nat,44.90166667,26.46666667,27.57333333,0.09,4.654545455,9.99875,1734.683333,3.48,0.88,8.57,118.7835714,45.32,0.195,NA,21.54545455,60775.96444,241245.0125,21.75,0.53,365.8,60.30333333
Beaver Kill,Beaver Kill Nat,116.695,25.988,13.01625,63.65333333,6.264,8.528,1538.75,5.455,0.76,6.48,175.8915385,105.565,0.175,5.26,14.16666667,43514.87222,164431.1517,14.8,433.56,76.75,68.384
Big Brook,Big Brook Nat,165.8285714,25.2275,7.89,0.16,5.207272727,8.584,1862.114545,1.97,2.854,8.01,551.2215385,72.36333333,0.1725,0.59,18.2,17266.15235,8016.618333,22.39222222,0.418,188.0325,50.64
Boreas River,Boreas River Nat,129.878,21.45333333,16.145,0.14,4.316,14.55375,1276.6325,3.3,0.875,NA,414.05,135.7733333,0.1675,0.59,16.625,110044.2606,196738.31,17.665,64.1125,151.5,68.01
