,Leaf.C.per.dry.mass,Leaf.C.to.N.ratio,Leaf.weight.ratio,Lamina.thickness,Leaf.N.per.dry.mass,Leaf.N.to.P.ratio,Leaf.P.per.dry.mass,Leaf.physical.strength,Leaf.K.per.dry.mass,Leaf.respiration.per.dry.mass,SLA,Photosynthesis.per.leaf.dry.mass,RGR,Root.N.per.dry.mass,Rooting.depth,Seed.mass,Seed.number.per.reproduction.unit,Seed.protein.content.per.mass,SSD,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass
Fawn Lake Inv,204.1155556,17.695,9.298571429,0.234,15.12,14.46,327.333,1.07,17.43,25.5,486.1436364,166.3633333,0.197142857,1.816666667,12.25,15456.135,53168.99273,26.032,17.32857143,120.0866667,52.8125
Fishkill Creek Inv,NA,NA,NA,NA,9.54,6.68,2560,NA,NA,NA,34.485,NA,NA,NA,18,910.872,4081.835,NA,320.33,NA,NA
Four Mile Brook Inv,333.54,15.87,11.285,0.19,13.46666667,NA,0.83,2.62,NA,NA,394.46,NA,0.215,NA,16,2666.88,71551.12667,19.4,119.41,NA,50.67
Green River Inv,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,10.29,NA,80.43666667,NA,NA,NA,NA,3.2425,3480.05,NA,NA,NA,12.72
Hans Creek Inv,43.57,15.75,0.53,NA,5.01,8.33,1309.98,NA,NA,NA,1781.77,NA,0.23,1.52,24,0.38,47961.165,NA,59.78,113.86,NA
Hudson River Inv,497,NA,21.86,0.19,22.3,NA,NA,2.62,NA,NA,77.09,NA,0.21,NA,NA,0.14,163298.86,19.4,NA,NA,50.67
Indian Brook Inv,44.3,37.69,40.84,0.21,1.22,NA,NA,0.94,NA,NA,53.485,NA,NA,NA,16,5129.88,1430.5,NA,NA,NA,36.25
Indian Kill Inv,40.66,21.66666667,13.35,0.283333333,11.35,12.95333333,768.3725,1.266666667,7.14,25.5,69.985,135.0533333,0.163333333,2.34,4,21024.865,128979.33,17.7,118.67,235.96,38.135
Jassup River Inv,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,NA,1068.27,NA,NA,NA,24,0.12,49581.33,NA,119.41,NA,NA
Kayaderosseras Creek Inv,105.544,21.266,18.726,0.25,11.424,13.95333333,33.2925,1.19,10.29,25.5,510.9783333,180.04,0.2,1.61,10,17603.745,79930.612,21.9125,0.29,111.0433333,43.515
Kennyetto Creek Inv,197.79,16.49,12.385,0.21,22.775,15.18,65.66,1.645,NA,25.5,66.61333333,260.78,0.155,2.225,8,17928.626,27322.22333,29.82666667,0.23,91.565,40.745
Keyser Kill Inv,337.5266667,12.85833333,21.20375,0.208571429,19.898,14.654,437.7688889,5.997142857,13.86,NA,113.295,456.17,0.167142857,1.8675,12.4,3141.900769,31592.219,30.23857143,0.252,127.6275,45.926
Kinderhook Creek Inv,266.68,14.3825,15.024,0.1925,19.86166667,13.95333333,33.425,2.575,NA,25.5,481.63,358.475,0.178,1.75,9.333333333,12880.69375,46752.885,25.166,80.275,107.5433333,44.9275
Landsman Kill Inv,196.8525,16.555,10.22,0.22,14.688,13.7475,646.1116667,28.27,8.5,NA,323.9566667,82.1,0.195,1.55,11.39666667,2081.004444,74022.10571,26.08833333,0.2925,109.435,58.93
Lansing Kill Inv,36.905,18.345,49.78,0.325,11.585,13.315,1100.095,0.935,NA,25.5,68.92333333,260.78,0.18,2.34,4,21019.54,2312724.667,19.1,NA,117.88,16.335
Mill Brook Inv,202.22,12.62,6.585,0.14,13.95,12.795,65.74,2.11,NA,NA,1325.17,NA,0.195,1.245,15,2520.4325,9008.87,28.49333333,0.29,65.25,61.54
Mill Creek Inv,42.81,15.63,0.53,NA,7.46,8.33,2619.71,NA,NA,NA,2495.27,NA,0.23,1.52,NA,1.59,46341,NA,0.15,113.86,NA
Minots Corner Road Inv,42.81,15.63,0.53,NA,4.585,7.505,2589.855,NA,NA,NA,1263.065,NA,0.23,1.52,NA,1.3,27248.835,NA,0.15,113.86,NA
Mohawk River Inv,42.81,15.63,0.53,NA,4.585,7.505,2589.855,NA,NA,NA,854.7466667,NA,0.23,1.52,NA,2.925,18168.22333,NA,0.15,113.86,NA
New Pond Brook Inv,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,NA,1068.27,NA,NA,NA,24,1.715,49581.33,33.23,119.41,NA,NA
North Branch West Stony Creek Inv,43.57,15.75,0.53,NA,5.01,8.33,1309.98,NA,NA,NA,1781.77,NA,0.23,1.52,24,0.38,47961.165,NA,59.78,113.86,NA
Paragon Brook Inv,356.0266667,19.78,13.26333333,0.165,18.95,10.65,899.465,2.365,NA,NA,76.44666667,139.01,0.18,1.55,11,8387.45,62257.82,25.73333333,0.325,65.25,63.34666667
Plotter Kill Inv,137.675,16.91,38.43333333,0.296666667,11.102,14.72333333,745.6575,0.83,NA,NA,476.7866667,99.3,0.186666667,0.38,16,1392.295,103530.555,23.11,0.32,283,34.52
Potic Creek Inv,39.71,29.655,26.56,0.245,10.925,16.27,0.19,1.06,NA,25.5,60.10666667,260.78,0.18,2.34,9,33356.83667,28202.90667,19.1,NA,117.88,28.1
Quacken Kill Inv,70.445,25.00166667,14.71333333,0.23,9.478333333,11.93,959.976,1.403333333,7.14,25.5,453.855,148.29,0.142,1.616666667,9.5,14606.652,65842.7375,20.45,59.51,223.9133333,46.125
Robbs Creek Inv,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,NA,1068.27,NA,NA,NA,24,1.33,49581.33,NA,119.41,NA,NA
Roeliff Jansen Kill Inv,265.25,21.78,13.97,0.315,16.77,NA,2.44,14.97,NA,NA,55.526,99.3,0.195,1.07,12,375003.8483,73504.88,15.33333333,0.29,181.69,56.32
Saw Kill Inv,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,48.475,NA,NA,NA,NA,4.055,3480.05,NA,NA,NA,12.72
Sherriff Lake Outlet Inv,44.155,14.875,0.68,NA,2.77,11.5,0.3,NA,NA,NA,1818.78,NA,0.26,0.38,24,1.9125,33691.31,24.165,59.88,NA,NA
Snook Kill Inv,41.4425,18.2275,10.2075,0.325,8.03,10.695,1036.35,0.855,NA,25.5,1059.546,180.04,0.225,1.413333333,4,14013.46833,90216.056,16.83333333,0.263333333,127.2466667,38.135
Sprout Creek Inv,41.09333333,27.03,26.82,0.286666667,9.74,16.27,0.845,0.883333333,NA,25.5,77.32,180.04,0.205,2.34,9,25017.7175,95410.58,17.7,0.29,133.94,37.50666667
Steele Creek Inv,40.75,15.35,43.905,0.37,5,9.345,2409.855,0.69,10.29,NA,684.145,NA,0.23,1.52,NA,2.722,17767.03333,NA,0.15,113.86,12.72
Sterling Creek Inv,211.4642857,14.75,19.39142857,0.222,14.5325,11.67333333,782.0685714,1.628,17.43,25.5,415.2288889,260.78,0.203333333,1.49,8,8967.114,794400.75,22.6875,0.26,91.565,36.22
Stewart Creek Inv,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.31,6953.1,NA,NA,NA,12.72
Stony Creek Inv,146.6266667,23.55666667,21.87,0.21,15.59,15.18,65.66,1.41,NA,25.5,67.19,260.78,0.155,2.225,10,17604.88833,1386859.67,28.125,0.23,91.565,39.24666667
Timmerman Creek Inv,122.1375,13.415,33.42333333,0.213333333,11.77833333,13.926,615.6266667,1.446666667,17.43,NA,332.825,NA,0.18,2.11,17.33333333,2322.44,17538.065,31.06,39.94333333,65.25,37.13
Trout Brook Inv,43.98,13.88,0.68,NA,2.98,11.5,0.35,NA,NA,NA,2569.29,NA,0.26,0.38,NA,1.68,17801.29,15.1,0.35,NA,NA
Valatie Kill Inv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.64333333,NA,NA,NA,14,3706.624,3424740.09,21,NA,NA,NA
Wappinger Creek Inv,43.86,21.78,27.34,0.37,4.54,6.68,1280.75,0.53,NA,NA,65.97666667,99.3,0.23,NA,NA,2.813333333,101732.4233,16.3,0.29,150,56.32
Wharton Hollow Creek Inv,249.0214286,13.65,24.546,0.211666667,14.57222222,12.916,782.53375,6.208333333,17.43,NA,221.182,NA,0.1825,1.59,15,4607.905,36564.384,26.795,30.0425,139.315,41.64333333
Alplaus Kill Nat,45.036,24.18333333,24.62285714,95.42,6.797272727,8.79,2110.336667,3.48,2.343333333,11.3625,122.2023529,119.76,0.16,12.875,21.90909091,127040.3365,470224.7383,21.1,87.198,268.1666667,55.034
Ballston Creek Nat,84.64,23.13833333,19.45222222,95.42,5.951875,9.755833333,1724.778462,3.48,2.00625,7.611666667,140.5552632,110.3383333,0.156666667,9.59,22.38888889,116140.3712,798.105,17.12857143,43.867,251.06,50.87
Battenkill Nat,44.90166667,26.46666667,27.57333333,0.09,4.654545455,9.99875,1734.683333,3.48,0.88,8.57,118.7835714,45.32,0.195,NA,21.54545455,60775.96444,241245.0125,21.75,0.53,365.8,60.30333333
Beaver Kill Nat,139.5266667,29.4025,13.09142857,63.65333333,6.547777778,8.66,1326.5,5.455,0.76,6.48,167.68,105.565,0.158,5.26,15,39088.79533,197316.582,14.8,433.56,76.75,63.9525
Big Brook Nat,185.9016667,27.58666667,15.255,0.14,5.802222222,8.297777778,2149.2,3.3,2.854,8.01,103.1209091,63.945,0.16,0.59,21.25,17608.75067,5755.6,22.14714286,0.4825,259.4,50.64
Boreas River Nat,129.878,21.45333333,16.145,0.14,4.316,14.55375,1276.6325,3.3,0.875,NA,414.05,135.7733333,0.1675,0.59,16.625,110044.2606,196738.31,17.665,64.1125,151.5,68.01
Bullhead Pond Brook Nat,46.21,25.7375,0.67,182.565,7.905,10.91,1847.246667,NA,0.7075,9.03,96.945,91.972,0.07,7.216666667,27.33333333,4378.942727,NA,28.5,177.5375,162.41,NA
Cadman Creek Nat,46.72,23.82090909,6.192857143,197,6.513157895,11.02333333,1762.457333,NA,1.742222222,10.05714286,1247.16381,91.58636364,0.116666667,8.601666667,19.27777778,196438.533,689257.49,21.325,110.2375,193.64625,69.205
Cedar River Nat,197.2028571,23.755,18.96,0.115,6.49375,8.19,1302.325714,3.39,0.72,NA,123.4208333,114.91,0.185,0.59,12.85714286,91732.59556,14787.94833,22.67666667,0.27,153,57.8875
Chester Creek Nat,48.35,22.06,17.74,0.09,2.57,20.08,739.6125,3.48,0.72,NA,74.851,147.25,0.19,NA,15.65384615,232711.0818,282882.37,16.2,127.85,NA,61.59
Cobleskill Creek Nat,45.6075,20.13,15.33,0.15,4.88,9.25,1778.2325,3.84,1.19,10.1,433.9722222,129.29,0.23,NA,14.66666667,27255.059,229564.16,20.75,0.385,248.5033333,72.105
Daly Creek Nat,114.9083333,22.14,8.406,95.445,8.26,10.37166667,1727.996667,3.3,5.45,6.48,1968.867692,97.9,0.115,3.683333333,14.59375,176718.1535,548918.124,19.855,172.36,99.125,69.205
Evas Kill Nat,113.8083333,22.056,6.404,121.7566667,4.426153846,9.585384615,1349.435714,3.3,0.945,7.265,2054.638333,66.684,0.198333333,3.44,20.92307692,10066.05083,387621.734,18.17166667,118.4083333,180.5533333,47.92
Fawn Lake Nat,45.25714286,23.39,13.46,182.565,4.035833333,10.102,1597.109,NA,0.7325,13.285,457.7318182,72.72,0.155,11.13,18.85714286,19955.11611,457929.67,23.32,142.096,142.024,67.2425
Fishkill Creek Nat,43.75,22.35,30.07,NA,6.814,9.588,1603.74,NA,1.1925,10.03333333,126.33375,63.2,NA,NA,31.16666667,6923.727778,32642.975,20.4,0.51,480.4,57.73
Four Mile Brook Nat,187.6733333,25.665,8.446666667,0.37,8.868888889,12.63333333,1226.522857,5.92,0.966666667,NA,104.7407143,133.1525,0.166,0.59,14.70833333,117061.5845,245565.972,17.646,64.05,136.5,63.66
Green River Nat,44.755,24.865,27.175,NA,5.4,9.685,2041.615,NA,1.213333333,9.69,80.26,NA,0.18,NA,25.4,133661.9175,8499.43,25.1,0.46,NA,57.15
Hans Creek Nat,187.8116667,25.80428571,14.64375,95.445,6.414,11.67916667,1648.124167,3.3,1.838888889,9.923333333,131.9873684,84.96444444,0.128333333,9.696666667,26.7,178289.5692,26545.67333,22.186,69.34,156.55,53.86666667
Hudson River Nat,186.9733333,27.34,0.605,87.26,8.732222222,10.61875,1559.86,3.3,0.616666667,8.695,77.69,87.23833333,0.1275,7.693333333,19.45,187121.8942,6692.71,22.37666667,304.7425,137.68,NA
Indian Brook Nat,44.088,23.262,20.222,190.75,4.44,9.905,1481.09,NA,0.95,11.285,2510.32,111.12,0.125,5.23,16.90909091,45202.292,25063.63,26.3,144.8066667,165.25,61.695
Indian Kill Nat,103.7614286,21.244,21.3425,87.26,8.071538462,9.661111111,1556.424,3.3,2.405,15.1025,1573.19375,94.4875,0.16,7,18.05882353,134513.4093,2125.2575,21.78714286,39.75285714,226.38,51.935
Jassup River Nat,97.795,22.92333333,22.738,0.09,8.145,13.7475,1588.41,3.48,4.046666667,NA,114.494,221.235,0.172,NA,18.75,364710.3136,7206.67,11.8,127.895,0.3,54.42333333
Kayaderosseras Creek Nat,148.2425,23.14,10.14833333,87.26,13.66625,9.858333333,1231.742857,3.3,0.923333333,14.25666667,156.5245455,135.852,0.2075,7.84,21.2,79342.08857,18063.635,20.3325,69.1575,247.2733333,55.89
Kennyetto Creek Nat,46.31,19.43,17.74,0.09,6.04875,12.29833333,1647.944286,3.48,1.01,7.7,184.8433333,169.66,0.1625,16.7,24.38888889,78117.41467,249.1,23.86,72.974,NA,61.59
Keyser Kill Nat,146.8983333,24.49333333,13.9875,63.68,7.715,10.37714286,1466.7075,3.57,4.03,8.29,394.9738462,134.2685714,0.171666667,5.09,14,160150.7317,31491.92429,15.18,144.7766667,175.3566667,59.2275
Kinderhook Creek Nat,147.5775,25.43666667,16.792,63.66,5.424166667,10.902,1477.756,3.39,2.261428571,8.135,129.1627778,101.878,0.13,5.09,21.13333333,48244.61292,385664.052,17.53285714,89.49571429,184.1,60.30333333
Landsman Kill Nat,46.05,15.535,19.62666667,0.09,4.423333333,9.711666667,1804.998333,3.48,1.06,6.06,306.77625,58.45,0.2025,16.7,23.33333333,20539.75,32724.55,30.2,270.6433333,81.05,58.625
Lansing Kill Nat,189.2166667,27.654,0.635,208.31,5.5625,10.72636364,1882.180909,NA,1.45,11.904,137.1608333,87.484,0.105,14.655,22.38461538,29090.13222,2610.42,20.4,68.66222222,203.1733333,NA
Mill Brook Nat,47.6725,22.2575,22.87,NA,4.45125,9.216666667,2038.813333,NA,0.72,NA,166.632,147.25,0.156,NA,12.54166667,462285.5012,36849.715,20.15,127.85,45.24,54.9875
Mill Creek Nat,152.425,24.40714286,19.29333333,87.26,6.128461538,10.95909091,1578.877273,3.3,2.955,6.4325,75.72066667,96.776,0.098,4.505,16.56666667,308932.2125,469757.2375,24.87571429,141.274,170.8166667,51.50333333
