Species,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Metamorphoses and morphological adaptations: seed or dispersal unit,Mycorrhizal type,Nitrogen fixation capacity,Phenology: reproductive,Phenology: vegetative,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant age of maturity (first flowering),Plant growth form,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per ramet,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
Boehmeria.cylindrica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,33.5,NA,NA,42.5,NA,6.05,NA,NA,NA,14,NA,65000.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassica.nigra,NA,NA,NA,NA,NA,NA,7031.153333,NA,NA,NA,NA,261.0466667,NA,NA,128.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.26,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,11.01,54.02571429,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.36,1.291904762,NA,3593.3,32.63333333,1.16,1.21,3,NA,NA,NA,NA,NA,NA,NA
Bromus.ciliatus,NA,NA,NA,NA,NA,NA,6.077,NA,43.73,NA,NA,0.035555556,NA,NA,0.27,NA,NA,NA,NA,0.81,1.305,8.45,0.1,550.1,NA,NA,NA,NA,NA,74.237,NA,NA,NA,NA,NA,182.5,NA,NA,NA,9.48,160.25,NA,NA,NA,23.75,NA,NA,NA,86,NA,NA,26,NA,6.5,NA,NA,NA,16,NA,59003.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calystegia.sepium,NA,NA,NA,NA,NA,NA,3208,NA,46.01,14.71,NA,90.885,NA,NA,184,NA,0.17,NA,NA,NA,3.16,NA,NA,0.19,1.34,19,NA,NA,NA,4646.356429,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,2,1.138333333,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5.05,28.13545455,NA,531.9166667,NA,2.75,3.54,4,NA,NA,NA,0.15,NA,NA,NA
Carex.bullata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caulophyllum.thalictroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,31.0125,5.9,NA,3100,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,139.41,NA,5.94,127.125,NA,NA,NA,2.25,NA,NA,NA,43.5,NA,7900,47.5,NA,5.75,NA,NA,NA,16,NA,198.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA
Chamaesyce.maculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.07,NA,NA,NA,0.58,0.59,NA,NA,NA,NA,NA,NA,NA,NA
Chelone.glabra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cicuta.maculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,7.12,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0125,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinna.arundinacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,48.5,NA,15000,39,NA,6.25,NA,NA,NA,16,NA,0.503333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
