Species,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Metamorphoses and morphological adaptations: seed or dispersal unit,Mycorrhizal type,Nitrogen fixation capacity,Phenology: reproductive,Phenology: vegetative,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant age of maturity (first flowering),Plant growth form,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per ramet,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
Mollugo.verticillata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muhlenbergia.mexicana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,33.5,NA,NA,35,NA,6.5,NA,NA,NA,8,NA,150000.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muhlenbergia.schreberi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,38.5,NA,27236,40.5,NA,6,NA,NA,NA,2,NA,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muhlenbergia.sobolifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis.laxa,0.24,1.53,NA,1.3,NA,NA,264.425,NA,NA,NA,NA,5.49,NA,0.61,120.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.158,NA,NA,NA,NA,NA,6,NA,NA,0,NA,NA,NA,NA,0.283333333,0.194,NA,0.23,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1825,NA,275.875,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
Myosoton.aquaticum,NA,NA,NA,NA,NA,NA,1014.335,NA,NA,NA,NA,19.54857143,NA,NA,109.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.22,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,0.68,0.333333333,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.201818182,NA,692356.75,NA,0.48,0.81,2,NA,NA,NA,NA,NA,NA,NA
Oenothera.biennis,NA,NA,NA,NA,NA,NA,2224.563077,NA,41.89,22.076,NA,3.441428571,2.582,10.18428571,21.524,1.972,NA,NA,NA,NA,9.631111111,NA,NA,NA,NA,NA,NA,NA,NA,149.6725581,NA,126.2333333,NA,NA,NA,NA,NA,314.07,0,7.3825,92.375,NA,NA,0.983333333,64.572,NA,0.205555556,NA,46,NA,NA,37.5,NA,6,NA,1.472,NA,10,1.7,62545.85545,NA,126922.245,16.65,1.16,1.25,NA,5.29,NA,NA,NA,0.6425,56.452,NA
Onoclea.sensibilis,NA,NA,NA,NA,NA,NA,71.65891892,NA,43.188,24.958,NA,0.235135135,1.106,24.406,0.212162162,1.184594595,NA,NA,NA,NA,1.802,NA,NA,NA,NA,NA,NA,NA,NA,68.14236842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.362,NA,NA,NA,NA,63.656,NA
Oxalis.grandis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis.stricta,NA,NA,NA,NA,NA,NA,7.432857143,NA,NA,NA,NA,0.362857143,0.1,30.074,0.323333333,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.578,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,14.53307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,NA,NA,NA,0.224,NA,65200,NA,NA,NA,NA,0.16,NA,NA,NA,NA,57.726,NA
Panicum.capillare,0.43,1.833333333,0.55,0.86,87,NA,45.673,NA,41.476,25.698,NA,0.196,0.606,18.56071429,22.79,0.604,NA,NA,NA,32.13,1.675833333,NA,NA,NA,NA,NA,NA,NA,NA,211.175,NA,133.75,NA,NA,NA,7.5,NA,136.7266667,0,11.625,179.595,NA,NA,NA,33.585,NA,0.2175,NA,NA,2,NA,NA,NA,NA,NA,0.899,NA,NA,NA,1.876666667,NA,NA,NA,NA,NA,3,1.042,NA,NA,NA,204,42.685,NA
Panicum.dichotomiflorum,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,28.5,2,NA,42.5,NA,5.9,NA,NA,NA,6,NA,78400.412,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Parthenocissus.quinquefolia,NA,NA,NA,NA,NA,NA,57.0644,NA,43.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10.5,NA,NA,NA,51,NA,10850,46,NA,6.25,NA,NA,NA,16,NA,2063.774444,NA,85.95,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalum.setaceum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pastinaca.sativa,3.02,6.09,0.53,4.32,NA,NA,14914.5,NA,NA,NA,NA,382.975,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.93333333,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,0.65,0.6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.492857143,NA,71375,19.1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Peltandra.virginica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,10.715,NA,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,43.5,NA,14956,47.5,NA,7.35,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penthorum.sedoides,NA,NA,NA,NA,82,NA,5.3725,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.775,NA,0.105,NA,NA,NA,NA,NA,315.7325,NA,5.6925,NA,NA,NA,NA,2.6,NA,0.3,NA,46,NA,NA,40,NA,6,NA,NA,NA,14,NA,9000000.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,NA,NA
Petasites.frigidus,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,NA,1.27,2.313333333,11.44,NA,0.27,NA,NA,NA,NA,NA,40.63833333,NA,NA,2,2,0,NA,NA,132.26,NA,11.8,156,NA,NA,NA,10.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1.3825,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,178.42,NA,0
Phytolacca.americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,159.23,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,33.5,3,NA,47.5,NA,6.35,NA,NA,NA,16,2.95,7255.62875,NA,NA,11.7,1.25,2.6,2,NA,NA,NA,NA,NA,NA,NA
Pilea.pumila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.146666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantago.major,NA,NA,NA,NA,NA,NA,2250.62,NA,35.12375,21.616,NA,63.75714286,1.68,12.2825,52.5096875,4.531666667,0.28,NA,NA,63.82,20.63181818,16.27,NA,0.19,1.18,NA,NA,NA,25.49692308,73.34719101,NA,221.042,NA,NA,NA,113.25,NA,273.5275,1.996666667,11.8555,260.7757143,NA,NA,0.176666667,10.3973913,NA,0.18,NA,23.5,2,14500,38,NA,6.05,NA,1.306,2.3375,4,1.5,84074.87074,NA,81747.7225,19.1,0.41,0.81,4,0.726,NA,2.3,NA,117.8770588,19.952,NA
Polygonum.arifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygonum.cespitosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygonum.hydropiper,NA,NA,NA,NA,NA,NA,544.3375,NA,45.322,19.888,NA,10.4,2.436,14.804,96.11909091,0.28,NA,NA,NA,NA,2.352,NA,NA,NA,NA,NA,NA,NA,NA,199.1263636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476666667,79.425,NA,NA,NA,86,NA,NA,42,NA,6.25,NA,1.646,NA,6,NA,11460.365,NA,13362.38,NA,NA,NA,NA,12.264,NA,NA,NA,NA,75.886,NA
Polygonum.hydropiperoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,NA,NA,31,NA,6.25,NA,NA,NA,10,NA,20847.24833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygonum.lapathifolium,NA,NA,NA,NA,11,NA,4686.972,NA,NA,NA,NA,185.505,NA,0.394,175.9166667,NA,NA,NA,NA,130,9.622,NA,NA,NA,NA,NA,NA,8.76,NA,68.06096774,NA,264.5,NA,NA,NA,NA,NA,303,0.002,11.81,86.2,NA,NA,0.566666667,33.82666667,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.999411765,NA,10171,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA
Polygonum.persicaria,NA,NA,NA,NA,NA,NA,538.3722222,NA,44.298,37.688,NA,25.57888889,0.524,40.842,81.568,0.398,0.21,NA,NA,NA,1.222,NA,NA,NA,0.94,NA,NA,NA,NA,68.86478261,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483333333,32.01071429,NA,NA,NA,71,NA,NA,37,NA,6.25,NA,0.308,NA,14,NA,15987.84125,NA,2854,NA,NA,NA,NA,0.486,NA,NA,NA,NA,36.254,NA
Polygonum.sagittatum,NA,NA,NA,NA,NA,NA,10.004,NA,44.986,22.336,0.406,0.023333333,0.476,16.018,0.637333333,0.186,NA,NA,NA,NA,2.13,NA,NA,NA,NA,NA,NA,NA,NA,578.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.19090909,NA,NA,NA,48.5,NA,NA,50,NA,6.25,NA,0.274,NA,6,NA,13891.04,NA,NA,NA,NA,NA,NA,2.186,NA,NA,NA,NA,74.748,NA
Polygonum.virginianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.313333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polystichum.acrostichoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potentilla.simplex,NA,NA,NA,NA,NA,NA,5.95,NA,NA,NA,NA,9.485,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunella.vulgaris,0.67,1.77,0.73,1.03,NA,NA,218.224,NA,460.2383333,NA,NA,8.684,NA,0.574,132.17,0.0475,0.14,NA,NA,NA,16.87636364,7.83,NA,577.555,3.3,NA,NA,NA,NA,91.05814815,NA,166.832,NA,NA,NA,137.6972727,NA,254,0,5.025,82.56666667,NA,NA,7.206363636,52.69333333,NA,0.138,NA,38.5,2,NA,35.5,NA,6.7,NA,NA,0.59,10,NA,14847.93089,NA,6692.710435,19.13333333,NA,NA,4,NA,NA,0.51,NA,153,NA,NA
Ranunculus.recurvatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamnus.cathartica,15.09,6.085,5.1,5.165,NA,NA,568.902973,22,43,21.6,NA,47.894,NA,0.43,3.148709677,NA,0.2,6.8,6.575,1.924,15.693,15.91,0.1,511.8,2.09,NA,0.56,7.136666667,NA,46.76952381,NA,130.92,NA,NA,NA,5.5,NA,118.8825,0,10.84666667,45.08333333,NA,NA,NA,6.033333333,NA,0.076,3.46,NA,2,NA,NA,1.93,NA,2.25,NA,NA,NA,NA,23.954,NA,NA,NA,NA,NA,3,18.27,51.5,NA,237.0533333,440,NA,NA
Rubus.allegheniensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,8.38,NA,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.416666667,NA,NA,4,46,NA,3000,39,2.5,6.05,2,NA,NA,12,NA,37430.61429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus.hispidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.015,NA,1.4,1.965,15.7775,0.09,615.1975,NA,NA,0.8,1.15,NA,144.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.505,151.75,NA,NA,NA,2,NA,NA,NA,51,NA,2598,50,NA,5.75,NA,NA,NA,12,NA,2.8975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus.occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,6.54,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,50.5,NA,3000,34.5,NA,6.35,NA,NA,NA,12,NA,67001.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus.odoratus,0.99,1.66,0.64,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,20,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1.5,3.833333333,NA,NA,NA,26,2,950,45,NA,5.5,NA,NA,NA,16,NA,98600.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus.pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.935,5.155,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rumex.obtusifolius,1.25,2.29,1.27,1.4,NA,NA,21959.21625,NA,285.545,NA,NA,924.2216667,NA,0.6,146.6166667,NA,0.26,NA,18.08,1.34,13.87714286,NA,NA,4.14,29.41333333,NA,NA,NA,NA,48.77483871,0.315,NA,NA,NA,NA,88.2,NA,258.875,0,5.9875,NA,NA,NA,0.825,24.4875,NA,0.16,NA,NA,2,NA,NA,NA,NA,NA,NA,1.07,NA,NA,1.5085,NA,17415.28154,12.7,NA,NA,3,NA,NA,1.33,NA,213.375,NA,NA
Rumex.triangulivalvis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanicula.odorata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scirpus.polyphyllus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scutellaria.lateriflora,NA,NA,NA,NA,NA,NA,5.2825,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.1625,NA,0.1175,NA,NA,NA,NA,NA,257.7575,NA,3.715,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0975,NA,NA
Sinapis.arvensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smilax.glauca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum.dulcamara,NA,10,NA,10,NA,NA,1414.892542,NA,45.07,11.36,0.14,65.95444444,NA,0.5,38.85953846,NA,0.13,NA,1.44,1.02,18.868,11.14,0.08,581.3706667,1.535,14,0.6,17.43,NA,748.933,0.1,89.64666667,0,NA,NA,5.875,4,NA,0,NA,NA,NA,1,1.15,31.578,NA,0.23,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2.13,33.59578947,2,18705.82333,NA,0.4,2.08,4,57.98,119.06,NA,0.19,NA,NA,1.5
Solanum.ptycanthum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solidago.altissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.13666667,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solidago.canadensis,0.06,1.18,0.35,0.35,NA,NA,11.2918109,NA,46.318,24.77,0.566,0.139262821,5.018,29.94,1.007291667,0.214206219,NA,NA,NA,NA,1.68,4.41,NA,2550,NA,NA,NA,NA,NA,20.98364501,NA,0.12,NA,NA,NA,9,NA,NA,0,NA,NA,NA,NA,1.5,80.66469256,NA,0.18,NA,18.5,3,7400,38,NA,6.15,NA,2.1,NA,12,NA,200000.0804,NA,8499.428571,25.1,NA,NA,4,7.254,NA,NA,NA,NA,50.642,NA
Solidago.flexicaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,61,NA,2200,37.5,NA,6.15,NA,NA,NA,8,NA,233333.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solidago.gigantea,0.06,1.983333333,0.25,0.33,NA,NA,509.1866667,NA,48.465,NA,NA,83.71,NA,NA,308,NA,NA,NA,NA,NA,1.1975,6.475,NA,2000,NA,NA,NA,NA,NA,20.25,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,1.5,4.79,NA,NA,NA,38.5,3,NA,32,NA,6,NA,NA,NA,16,NA,100000.1086,NA,899445,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
Stellaria.pubera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
