Trait,Abies balsamea,Acer negundo,Acer pensylvanicum,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Achillea millefolium,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Alliaria petiolata,Alnus incana,Ambrosia artemisiifolia,Ambrosia trifida,Amphicarpaea bracteata,Anemone virginiana,Apocynum cannabinum,Arctium lappa,Arisaema triphyllum,Artemisia vulgaris,Asclepias syriaca,Athyrium filix-femina,Barbarea vulgaris,Berberis thunbergii,Betula alleghaniensis,Betula papyrifera,Bidens connata,Bidens frondosa,Blephilia hirsuta,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Bromus inermis,Bromus pubescens,Calystegia sepium,Carex crinita,Carex scoparia,Carpinus caroliniana,Carya cordiformis,Carya ovata,Centaurea jacea,Centaurea nigrescens,Centaurea stoebe,Cephalanthus occidentalis,Chelidonium majus,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Clinopodium vulgare,Collinsonia canadensis,Commelina communis,Cornus amomum,Cornus canadensis,Cornus rugosa,Cornus sericea,Corylus cornuta,Cryptotaenia canadensis,Cyperus strigosus,Dactylis glomerata,Daucus carota,Dianthus armeria,Dichanthelium clandestinum,Digitaria sanguinalis,Dioscorea villosa,Dryopteris carthusiana,Dryopteris cristata,Echinocystis lobata,Eleocharis intermedia,Elymus hystrix,Elymus repens,Elymus trachycaulus,Elymus virginicus,Epilobium ciliatum,Epipactis helleborine,Equisetum fluviatile,Equisetum hyemale,Equisetum palustre,Equisetum pratense,Erigeron annuus,Euonymus alatus,Eupatorium perfoliatum,Euphorbia maculata,Euthamia graminifolia,Fagus grandifolia,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Fraxinus pennsylvanica,Galium aparine,Galium asprellum,Galium boreale,Galium mollugo,Galium palustre,Galium triflorum,Geum canadense,Glechoma hederacea,Glyceria striata,Hamamelis virginiana,Helianthus strumosus,Helianthus tuberosus,Hemerocallis fulva,Hypericum mutilum,Hypericum perforatum,Hypericum punctatum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Juglans nigra,Juncus articulatus,Juncus filiformis,Laportea canadensis,Leonurus cardiaca,Leucanthemum vulgare,Linaria vulgaris,Lindera benzoin,Liparis loeselii,Lithospermum officinale,Lobelia cardinalis,Lobelia inflata,Lobelia siphilitica,Lonicera japonica,Lonicera morrowii,Lotus corniculatus,Ludwigia palustris,Lycopus americanus,Lycopus rubellus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia quadrifolia,Lysimachia terrestris,Lythrum salicaria,Maianthemum racemosum,Malus pumila,Matteuccia struthiopteris,Melilotus officinalis,Mimulus ringens,Mitchella repens,Monotropa uniflora,Muhlenbergia mexicana,Myosotis laxa,Myosotis scorpioides,Myrica gale,Oenothera biennis,Onoclea sensibilis,Osmunda cinnamomea,Osmunda regalis,Ostrya virginiana,Oxalis stricta,Panicum dichotomiflorum,Parthenocissus quinquefolia,Peltandra virginica,Phalaris arundinacea,Phegopteris connectilis,Phegopteris hexagonoptera,Phleum pratense,Pilea pumila,Pinus strobus,Plantago lanceolata,Plantago major,Platanus occidentalis,Polygonum amphibium,Polygonum cuspidatum,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum persicaria,Polygonum punctatum,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Potentilla recta,Potentilla simplex,Prenanthes alba,Prunella vulgaris,Prunus americana,Prunus serotina,Prunus virginiana,Pteridium aquilinum,Quercus alba,Quercus velutina,Ranunculus pensylvanicus,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Rhus typhina,Robinia pseudoacacia,Rosa multiflora,Rosa palustris,Rubus allegheniensis,Rubus hispidus,Rubus idaeus,Rubus occidentalis,Rubus odoratus,Rubus phoenicolasius,Rubus pubescens,Rudbeckia hirta,Rudbeckia laciniata,Rumex crispus,Rumex obtusifolius,Sagittaria latifolia,Salix alba,Salix nigra,Salix pentandra,Sambucus nigra,Saponaria officinalis,Schoenoplectus pungens,Scirpus atrocinctus,Scirpus microcarpus,Scutellaria lateriflora,Securigera varia,Silene vulgaris,Solanum dulcamara,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Sonchus oleraceus,Spiraea alba,Symphyotrichum lanceolatum,Symphyotrichum prenanthoides,Symplocarpus foetidus,Tanacetum vulgare,Taraxacum officinale,Thalictrum dioicum,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Thuja occidentalis,Tilia americana,Toxicodendron radicans,Trifolium aureum,Trifolium pratense,Trifolium repens,Trillium erectum,Tsuga canadensis,Tussilago farfara,Ulmus americana,Ulmus rubra,Urtica dioica,Veratrum viride,Verbascum thapsus,Verbena hastata,Verbena urticifolia,Veronica americana,Veronica anagallis-aquatica,Veronica scutellata,Viburnum acerifolium,Viburnum dentatum,Viburnum lantanoides,Vinca minor,Vitis riparia,Xanthium strumarium
Leaf nitrogen/phosphorus (N/P) ratio,9.888125,13.97833333,9.22875,12.617,7.1,13.14913043,8.196,7.34,NA,NA,NA,8.8,15.25625,NA,NA,NA,NA,NA,NA,7.0975,NA,5.18,NA,NA,NA,14.315,9.369583333,NA,NA,NA,NA,NA,8.45,37.11,NA,NA,NA,NA,12.244,9.98,9.172857143,NA,NA,NA,NA,NA,NA,7.12,NA,10.51,NA,NA,3.65,12.63,NA,5.94,8.465,NA,7.64,NA,NA,10.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,13.83,5.105,10.76666667,14.724,8.944545455,11.16333333,NA,9.06,NA,NA,9.526666667,7.24,8.326363636,NA,NA,NA,NA,NA,NA,NA,NA,8,4.81,7.496666667,10.745,NA,NA,7.08,NA,NA,15.32,8.04,NA,NA,NA,NA,NA,NA,NA,15.365,NA,NA,NA,5.95,6.68,NA,11.6,NA,NA,NA,NA,22.31,NA,11.03333333,6.57,NA,NA,NA,28.5,NA,NA,NA,NA,9.406666667,NA,NA,NA,10.715,13.83,NA,NA,7.2075,NA,10.95,9.32,16.27,12.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.07911111,NA,NA,7.985,7.83,NA,13.26538462,15.10285714,NA,12.88814815,12.28666667,NA,NA,NA,15.91,8.236666667,17.71166667,NA,NA,8.38,15.7775,12.75857143,6.54,20,NA,5.155,NA,NA,11.5,NA,NA,NA,15.34,NA,12.635,NA,NA,NA,NA,NA,NA,11.73,11.14,NA,4.41,NA,6.475,10.09,16.48,NA,NA,NA,NA,NA,6.31,NA,NA,NA,9.528,8.4975,NA,NA,14.09,NA,16.47,9.366666667,10.36,9.995454545,10.49333333,9.821111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.61,NA
Leaf phosphorus (P) content per area,NA,0.06,0.05,0.11,NA,0.1,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.15,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0.1,0.14,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,NA,0.23,0.09,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,0.08,0.1,NA,0.125,0.13,NA,NA,NA,0.1,0.26,0.08,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.13,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,0.12,0.11,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf phosphorus (P) content per dry mass,1211.970938,1274.88375,1786.00125,1416.5605,0.33,1530.148696,2840.04,337.7942857,NA,NA,NA,2750.595,1770.058889,NA,NA,NA,NA,NA,NA,3025,NA,3400,NA,NA,NA,1463.47,2323.722083,NA,0.26,NA,NA,NA,550.1,285.285,NA,0.19,NA,NA,1179.81,1649.886667,1753.81,1.435,NA,NA,NA,NA,NA,1700,NA,865.205,NA,1.64,0.2,855.855,NA,2800,2225.0275,NA,2575,NA,NA,343.20375,2.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974285714,0.18,NA,NA,NA,0.44,NA,0.606666667,NA,NA,0.35,2100,NA,NA,1170.242308,3600.105714,1841.533333,1199.924,1857.195455,1140.2,NA,1000.712,2.598,NA,2166.666667,1700,2619.708667,NA,NA,NA,0.376666667,NA,NA,NA,NA,2600,2700,2766.635,2055.08,1.492,NA,2500,NA,1.41,730.73,0.23,NA,NA,NA,NA,NA,NA,NA,236.4623529,NA,NA,NA,2100,2560,NA,0.25,1.5,NA,NA,NA,780.78,NA,1100.03,3000,NA,NA,NA,500.04,NA,NA,NA,NA,1588.972222,NA,NA,NA,2700,419.1327273,NA,NA,1667.8,NA,1181.281333,101.5768182,0.19,900.03,NA,NA,NA,NA,NA,0.3,NA,NA,NA,1893.797778,NA,NA,2100,577.555,NA,1681.381429,2057.088571,1.215,1542.872222,1091.631667,NA,NA,NA,511.8,2233.331667,1140.948333,NA,NA,2600,615.1975,1912.58125,2400,0.14,NA,3750,NA,NA,0.353333333,4.14,0.53,0.25,1333.421667,1.68,682.5995455,NA,NA,NA,NA,NA,NA,0.23,581.3706667,NA,2550,NA,2000,1731.73,687.822,NA,NA,NA,0.38,2.642857143,2750,NA,NA,NA,771.796,2299.86,NA,NA,131.1276471,2.026153846,1500,1525,2200,1878.162727,1983.175,2359.534,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,0.23
Leaf physical strength,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,1.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6175,NA,NA,NA,NA,NA,8.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2225,NA,NA,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.593333333,1.18,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,3.1175,NA,NA,NA,NA,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.41333333,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,1.535,NA,NA,NA,NA,0.465,NA,NA,NA,NA,NA,0.7025,NA,NA,NA,NA,NA,NA,NA,NA,2.105,4.392857143,NA,NA,0.69,451.7,NA,0.7925,NA,NA,NA,NA,NA,3.835,NA,NA,NA,NA,NA,NA,NA
Leaf porosity,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,22.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,8,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
Leaf potassium (K) content per area,NA,0.39,0.22,0.4,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.38,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355,NA,0.64,0.76,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA,0.28,0.52,NA,0.6,0.88,NA,NA,NA,0.56,0.83,0.56,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,0.86,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,0.535,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf potassium (K) content per dry mass,NA,1.06,1.1,0.545,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.86,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.74,NA,NA,NA,8.5,NA,NA,NA,0.55,NA,0.97,1.06,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,10.29333333,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA,NA,NA,NA,0.47,0.62,9.82875,0.89,0.84,NA,NA,NA,7.136666667,1.26,1.14,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,13.522,NA,NA,NA,NA,NA,NA,NA,17.43,10.13666667,NA,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,1.33,NA,NA,NA,NA,NA,NA,NA,0.805,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf respiration per dry mass,4.204251497,NA,NA,10.29758242,NA,6.478369565,NA,20.0734375,NA,NA,NA,NA,NA,20.7825,NA,NA,NA,NA,NA,NA,NA,22.37375,NA,NA,NA,26.04555556,18.76090226,NA,NA,NA,NA,NA,NA,18.52428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31,NA,13.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51865942,24.13692308,25.49692308,6.05875,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.10444444,NA,NA,NA,NA,NA,17.055,5.711276596,NA,10.97247934,8.805,NA,NA,NA,NA,NA,16.08882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.11333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0925,9.689137931,NA,NA,NA,NA,NA,2.181111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf specific area (SLA),67.29,1290.076154,194.11,56.18,44.68571429,125.9269811,27.2,62.84468085,NA,206,NA,41.94666667,56.66222222,53.8925,41.88222222,NA,NA,97.88,17.33111111,152,46.13692308,56.73527778,15.66666667,26.65,NA,290.7447619,163.3479412,54.67333333,5972.148333,NA,NA,26.26,74.237,38.52570248,NA,4646.356429,319.1571429,NA,109.6,63.89428571,68.635,23.07365079,NA,22.26222222,NA,43.41555556,NA,NA,NA,23706.81889,NA,27.84,NA,NA,NA,NA,NA,250.42,302.32,NA,NA,52.17337838,28.13317647,15.348,NA,46.908,NA,26.86166667,NA,NA,NA,408,3085.376486,316.6666667,404.5,38.47555556,74.57533333,12.0775,2.91,8.981428571,NA,109.3838462,62,184.5311111,NA,15.67735849,107.902,42.18555556,197.0996429,54.34857143,87.734,59.39918919,NA,30.23166667,34.49169231,129.1442308,NA,NA,2495.267143,NA,65.06666667,NA,18601.20111,NA,NA,77.0872093,NA,426.4333333,807.947,164,76.41428571,22.89636364,9.923333333,NA,NA,38.015,57.92230769,32.79,38.02833333,21.85,263.3,373.036,NA,120.24,NA,35.45587786,31.76166667,160.5642857,NA,NA,30.86333333,NA,NA,128.9616129,45.35666667,NA,96.354,19.375,311.3685714,NA,NA,NA,66.158,44.1365,29.698,149.6725581,68.14236842,32.9,16.16857143,402.25,396.578,NA,117.28,NA,3383.434848,36.29285714,18.2,71.20378378,NA,59.44842105,51.06269231,73.34719101,113.866,25.44538462,144.36,199.1263636,NA,68.86478261,NA,578.088,NA,54.8,83.5475,16.40916667,314,NA,91.05814815,NA,44.74526316,48.33428571,40.06526316,57.22125,66.5975,NA,NA,NA,46.76952381,163.38,102.799375,38.11,NA,NA,144.47,132.2406977,NA,NA,NA,NA,173.7370833,NA,2569.289412,48.77483871,NA,1068.273333,179,39.94,1648.706697,23.35,NA,115.754,NA,394.1625,NA,20.48181818,748.933,NA,20.98364501,NA,20.25,71.00789474,67.7125,NA,NA,NA,813.9280645,81.67454545,NA,NA,21.1,30.694,76.65111111,64.23916667,38.29,37.06307692,81.04977528,50.88778846,NA,83.95111111,58.84214286,80.502,68.94142857,6989.201111,NA,64.79333333,196.1046154,NA,NA,28.02222222,83.12666667,NA,NA,NA,45.43571429,32.77666667,3136.861818
Leaf texture (sclerophylly),NA,0.36,0.28,0.24,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.37,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.285,0.31,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,0.35,0.29,NA,0.32,NA,NA,NA,NA,NA,0.42,0.05,0.03,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,0.315,NA,NA,0.41,NA,0.2,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206666667,0.1,NA,NA,NA,NA,NA,NA,0.21,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf thickness,NA,139.3975,NA,120.8535714,113.7,126.605,118.8666667,294.5,NA,0.13,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,138.5,160.5,NA,NA,NA,NA,NA,NA,159.25,NA,NA,123.5,NA,94,86.17333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,0.205,NA,NA,111.77,NA,131.9775,124.77,150.1714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,0.08,NA,0.09,NA,NA,108.595,NA,NA,NA,NA,NA,NA,126.9157143,NA,NA,NA,0.15,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,0.15,NA,NA,0.2,NA,0.16,NA,NA,NA,NA,NA,NA,126.2333333,NA,NA,NA,55,0.08,NA,NA,NA,NA,NA,NA,77.55125,NA,NA,346.75,221.042,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,231.362,NA,0.11,NA,166.832,NA,147.8033333,89,NA,138,138.74,NA,NA,NA,130.92,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,152.4172727,NA,NA,NA,NA,0.1175,NA,NA,89.64666667,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.932,NA,NA,0.14,NA,NA,NA,NA,126.48,151.8433333,NA,NA,NA,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metamorphoses and morphological adaptations: seed or dispersal unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
