Species,Trait,Value
Glyceria striata,Dispersal unit length,0.99
Glyceria striata,Dispersal unit length,1.82
Leersia oryzoides,Dispersal unit length,3
Leersia oryzoides,Dispersal unit length,4.5
Leersia oryzoides,Dispersal unit length,4.5
Leonurus cardiaca,Dispersal unit length,2.39
Leonurus cardiaca,Dispersal unit length,2.39
Leucanthemum vulgare,Dispersal unit length,2.4
Leucanthemum vulgare,Dispersal unit length,2.4
Leucanthemum vulgare,Dispersal unit length,2.5
Leucanthemum vulgare,Dispersal unit length,2.5
Lithospermum officinale,Dispersal unit length,3.13
Lithospermum officinale,Dispersal unit length,3.13
Marrubium vulgare,Dispersal unit length,2.19
Marrubium vulgare,Dispersal unit length,2.19
Melilotus officinalis,Dispersal unit length,3.69
Melilotus officinalis,Dispersal unit length,3.69
Myosotis laxa,Dispersal unit length,1.53
Myosotis laxa,Dispersal unit length,1.53
Myosotis scorpioides,Dispersal unit length,1.6
Myosotis scorpioides,Dispersal unit length,1.6
Myrica gale,Dispersal unit length,2.1
Myrica gale,Dispersal unit length,2.23
Myrica gale,Dispersal unit length,2.23
Oenanthe silaifolia,Dispersal unit length,3.45
Oenanthe silaifolia,Dispersal unit length,6.3
Oenanthe silaifolia,Dispersal unit length,6.3
Panicum capillare,Dispersal unit length,1.47
Panicum capillare,Dispersal unit length,1.47
Panicum capillare,Dispersal unit length,2.56
Panicum dichotomiflorum,Dispersal unit length,2.52
Pastinaca sativa,Dispersal unit length,6.09
Pastinaca sativa,Dispersal unit length,6.09
Phalaris arundinacea,Dispersal unit length,1.88
Phalaris arundinacea,Dispersal unit length,3.65
Phalaris arundinacea,Dispersal unit length,3.65
Phleum pratense,Dispersal unit length,1.48
Phleum pratense,Dispersal unit length,1.48
Phleum pratense,Dispersal unit length,1.96
Phleum pratense,Dispersal unit length,1.96
Phleum pratense,Dispersal unit length,4.25
Potentilla recta,Dispersal unit length,1.31
Potentilla recta,Dispersal unit length,1.31
Prenanthes purpurea,Dispersal unit length,4.58
Prunella vulgaris,Dispersal unit length,1.77
Prunella vulgaris,Dispersal unit length,1.77
Prunus serotina,Dispersal unit length,6.15
Prunus serotina,Dispersal unit length,9
Prunus virginiana,Dispersal unit length,6.5
Prunus virginiana,Dispersal unit length,8
Quercus rubra,Dispersal unit length,26.5
Quercus rubra,Dispersal unit length,26.5
Rhamnus cathartica,Dispersal unit length,4.67
Rhamnus cathartica,Dispersal unit length,7.5
Ribes rubrum,Dispersal unit length,8.6
Rubus idaeus,Dispersal unit length,2.69
Rubus idaeus,Dispersal unit length,12.25
Rubus odoratus,Dispersal unit length,1.66
Rudbeckia hirta,Dispersal unit length,1.9
Rudbeckia hirta,Dispersal unit length,1.9
Rudbeckia laciniata,Dispersal unit length,4.77
Rudbeckia laciniata,Dispersal unit length,4.77
Rumex crispus,Dispersal unit length,2.51
Rumex crispus,Dispersal unit length,4.13
Rumex crispus,Dispersal unit length,4.13
Rumex obtusifolius,Dispersal unit length,2.29
Sagittaria latifolia,Dispersal unit length,3.75
Sagittaria latifolia,Dispersal unit length,3.75
Sambucus nigra,Dispersal unit length,3.65
Sambucus nigra,Dispersal unit length,6.25
Schoenoplectus pungens,Dispersal unit length,2.75
Schoenoplectus pungens,Dispersal unit length,2.75
Schoenoplectus pungens,Dispersal unit length,2.75
Schoenoplectus pungens,Dispersal unit length,2.75
Securigera varia,Dispersal unit length,6
Securigera varia,Dispersal unit length,6
Solanum dulcamara,Dispersal unit length,10
Solidago canadensis,Dispersal unit length,1.18
Solidago gigantea,Dispersal unit length,1.15
Solidago gigantea,Dispersal unit length,2.4
Solidago gigantea,Dispersal unit length,2.4
Sonchus oleraceus,Dispersal unit length,2.86
Sonchus oleraceus,Dispersal unit length,2.86
Sonchus oleraceus,Dispersal unit length,6.5
Tanacetum vulgare,Dispersal unit length,1.9
Tanacetum vulgare,Dispersal unit length,1.9
Trifolium aureum,Dispersal unit length,2
Trifolium aureum,Dispersal unit length,7.5
Trifolium aureum,Dispersal unit length,7.5
Trifolium pratense,Dispersal unit length,3.75
Trifolium pratense,Dispersal unit length,3.75
Trifolium repens,Dispersal unit length,4.38
Tussilago farfara,Dispersal unit length,3.38
Tussilago farfara,Dispersal unit length,16.4
Tussilago farfara,Dispersal unit length,16.4
Urtica dioica,Dispersal unit length,1.19
Urtica dioica,Dispersal unit length,2
Urtica dioica,Dispersal unit length,2
Xanthium strumarium,Dispersal unit length,13
Xanthium strumarium,Dispersal unit length,13
Acer negundo,Dispersal unit thickness,2.3
Acer negundo,Dispersal unit thickness,2.3
Acer platanoides,Dispersal unit thickness,2.63
Acer platanoides,Dispersal unit thickness,2.63
Acer platanoides,Dispersal unit thickness,2.63
Achillea millefolium,Dispersal unit thickness,0.34
Achillea millefolium,Dispersal unit thickness,0.34
Alnus incana,Dispersal unit thickness,0.35
Alnus incana,Dispersal unit thickness,0.35
Ambrosia artemisiifolia,Dispersal unit thickness,1.9
Ambrosia artemisiifolia,Dispersal unit thickness,1.9
Ambrosia trifida,Dispersal unit thickness,3.55
Ambrosia trifida,Dispersal unit thickness,3.55
Arctium lappa,Dispersal unit thickness,1.53
Artemisia vulgaris,Dispersal unit thickness,0.35
Artemisia vulgaris,Dispersal unit thickness,0.35
Bidens frondosa,Dispersal unit thickness,1.08
Bidens frondosa,Dispersal unit thickness,1.08
Bidens frondosa,Dispersal unit thickness,1.08
Bromus inermis,Dispersal unit thickness,0.57
Bromus inermis,Dispersal unit thickness,0.97
Bromus inermis,Dispersal unit thickness,0.97
Centaurea jacea,Dispersal unit thickness,1
Centaurea jacea,Dispersal unit thickness,1
Centaurea nigrescens,Dispersal unit thickness,0.86
Centaurea stoebe,Dispersal unit thickness,0.9
Centaurea stoebe,Dispersal unit thickness,0.9
Centaurea stoebe,Dispersal unit thickness,0.9
Circaea lutetiana,Dispersal unit thickness,1.08
Circaea lutetiana,Dispersal unit thickness,1.08
Circaea lutetiana,Dispersal unit thickness,1.08
Clinopodium vulgare,Dispersal unit thickness,0.75
Clinopodium vulgare,Dispersal unit thickness,0.75
Dactylis glomerata,Dispersal unit thickness,0.83
Dactylis glomerata,Dispersal unit thickness,0.93
Dactylis glomerata,Dispersal unit thickness,0.93
Daucus carota,Dispersal unit thickness,0.52
Daucus carota,Dispersal unit thickness,1.39
Daucus carota,Dispersal unit thickness,1.39
Digitaria sanguinalis,Dispersal unit thickness,0.41
Digitaria sanguinalis,Dispersal unit thickness,0.71
Digitaria sanguinalis,Dispersal unit thickness,0.71
Echinochloa muricata,Dispersal unit thickness,1
Echinochloa muricata,Dispersal unit thickness,1.21
Echinocystis lobata,Dispersal unit thickness,35
Fragaria vesca,Dispersal unit thickness,0.61
Galium aparine,Dispersal unit thickness,2.28
Galium aparine,Dispersal unit thickness,2.28
Galium boreale,Dispersal unit thickness,0.88
Galium boreale,Dispersal unit thickness,0.88
Galium mollugo,Dispersal unit thickness,1
Galium mollugo,Dispersal unit thickness,1
Glyceria striata,Dispersal unit thickness,0.44
Glyceria striata,Dispersal unit thickness,0.44
Glyceria striata,Dispersal unit thickness,0.71
Leonurus cardiaca,Dispersal unit thickness,0.84
Leonurus cardiaca,Dispersal unit thickness,0.84
Lithospermum officinale,Dispersal unit thickness,2
Lithospermum officinale,Dispersal unit thickness,2
Marrubium vulgare,Dispersal unit thickness,0.73
Marrubium vulgare,Dispersal unit thickness,0.73
Melilotus officinalis,Dispersal unit thickness,1.5
Melilotus officinalis,Dispersal unit thickness,1.5
Myosotis scorpioides,Dispersal unit thickness,0.5
Myosotis scorpioides,Dispersal unit thickness,0.5
Myrica gale,Dispersal unit thickness,1.1
Myrica gale,Dispersal unit thickness,1.5
Myrica gale,Dispersal unit thickness,1.5
Oenanthe silaifolia,Dispersal unit thickness,0.98
Oenanthe silaifolia,Dispersal unit thickness,0.98
Oenanthe silaifolia,Dispersal unit thickness,0.98
Panicum capillare,Dispersal unit thickness,0.55
Panicum capillare,Dispersal unit thickness,0.55
Pastinaca sativa,Dispersal unit thickness,0.53
Pastinaca sativa,Dispersal unit thickness,0.53
Phalaris arundinacea,Dispersal unit thickness,0.64
Phalaris arundinacea,Dispersal unit thickness,0.64
Phalaris arundinacea,Dispersal unit thickness,0.7
Phleum pratense,Dispersal unit thickness,0.86
Phleum pratense,Dispersal unit thickness,0.86
Phleum pratense,Dispersal unit thickness,0.86
Phleum pratense,Dispersal unit thickness,0.86
Phleum pratense,Dispersal unit thickness,0.96
Potentilla recta,Dispersal unit thickness,0.57
Potentilla recta,Dispersal unit thickness,0.57
Prenanthes purpurea,Dispersal unit thickness,0.79
Prunella vulgaris,Dispersal unit thickness,0.73
Prunella vulgaris,Dispersal unit thickness,0.73
Prunus serotina,Dispersal unit thickness,5.85
Prunus serotina,Dispersal unit thickness,9
Prunus virginiana,Dispersal unit thickness,4.25
Prunus virginiana,Dispersal unit thickness,8
Quercus rubra,Dispersal unit thickness,18.5
Quercus rubra,Dispersal unit thickness,18.5
Rhamnus cathartica,Dispersal unit thickness,2.7
Rhamnus cathartica,Dispersal unit thickness,7.5
Ribes rubrum,Dispersal unit thickness,7.9
Rubus idaeus,Dispersal unit thickness,1.07
Rubus odoratus,Dispersal unit thickness,0.64
Rudbeckia hirta,Dispersal unit thickness,0.6
Rudbeckia hirta,Dispersal unit thickness,0.6
Rudbeckia laciniata,Dispersal unit thickness,1
Rudbeckia laciniata,Dispersal unit thickness,1
Rumex crispus,Dispersal unit thickness,1.49
Rumex crispus,Dispersal unit thickness,4.04
Rumex crispus,Dispersal unit thickness,4.04
Rumex obtusifolius,Dispersal unit thickness,1.27
Sambucus nigra,Dispersal unit thickness,1.1
Securigera varia,Dispersal unit thickness,2
Securigera varia,Dispersal unit thickness,2
Solidago canadensis,Dispersal unit thickness,0.35
Solidago gigantea,Dispersal unit thickness,0.25
Solidago gigantea,Dispersal unit thickness,0.25
Solidago gigantea,Dispersal unit thickness,0.25
Sonchus oleraceus,Dispersal unit thickness,0.25
Sonchus oleraceus,Dispersal unit thickness,0.25
Sonchus oleraceus,Dispersal unit thickness,0.25
Tussilago farfara,Dispersal unit thickness,0.29
Tussilago farfara,Dispersal unit thickness,0.29
Tussilago farfara,Dispersal unit thickness,0.29
Urtica dioica,Dispersal unit thickness,0.33
Xanthium strumarium,Dispersal unit thickness,7.5
Xanthium strumarium,Dispersal unit thickness,7.5
Acer negundo,Dispersal unit width,12.2
Acer negundo,Dispersal unit width,12.2
Acer platanoides,Dispersal unit width,8.5
Acer platanoides,Dispersal unit width,11.25
Acer platanoides,Dispersal unit width,11.25
Achillea millefolium,Dispersal unit width,0.86
Achillea millefolium,Dispersal unit width,0.86
Alnus incana,Dispersal unit width,2.45
Alnus incana,Dispersal unit width,2.45
Ambrosia artemisiifolia,Dispersal unit width,1.9
Ambrosia artemisiifolia,Dispersal unit width,1.9
Ambrosia trifida,Dispersal unit width,4.79
Ambrosia trifida,Dispersal unit width,4.79
Arctium lappa,Dispersal unit width,2.6
Arctium lappa,Dispersal unit width,32.5
Artemisia vulgaris,Dispersal unit width,0.44
Artemisia vulgaris,Dispersal unit width,0.44
Bidens frondosa,Dispersal unit width,2.41
Bidens frondosa,Dispersal unit width,2.41
Bidens frondosa,Dispersal unit width,2.41
Bromus inermis,Dispersal unit width,1.65
Bromus inermis,Dispersal unit width,2.33
Bromus inermis,Dispersal unit width,2.33
Centaurea jacea,Dispersal unit width,1.45
Centaurea jacea,Dispersal unit width,1.45
Centaurea nigrescens,Dispersal unit width,1.5
Centaurea stoebe,Dispersal unit width,1.22
Centaurea stoebe,Dispersal unit width,1.22
Centaurea stoebe,Dispersal unit width,1.22
Circaea lutetiana,Dispersal unit width,2.27
Circaea lutetiana,Dispersal unit width,2.27
Circaea lutetiana,Dispersal unit width,2.27
Clinopodium vulgare,Dispersal unit width,1
Clinopodium vulgare,Dispersal unit width,1
Dactylis glomerata,Dispersal unit width,0.99
Dactylis glomerata,Dispersal unit width,1.2
Dactylis glomerata,Dispersal unit width,1.2
Daucus carota,Dispersal unit width,1.75
Daucus carota,Dispersal unit width,3.18
Daucus carota,Dispersal unit width,3.18
Digitaria sanguinalis,Dispersal unit width,0.94
Digitaria sanguinalis,Dispersal unit width,1
Digitaria sanguinalis,Dispersal unit width,1
Echinochloa muricata,Dispersal unit width,1.44
Echinochloa muricata,Dispersal unit width,1.67
Echinocystis lobata,Dispersal unit width,35
Fallopia japonica,Dispersal unit width,2
Fragaria vesca,Dispersal unit width,0.88
Fragaria vesca,Dispersal unit width,8.9
Fraxinus pennsylvanica,Dispersal unit width,5.75
Fraxinus pennsylvanica,Dispersal unit width,5.75
Galium aparine,Dispersal unit width,2.63
Galium aparine,Dispersal unit width,2.63
Galium boreale,Dispersal unit width,0.98
Galium boreale,Dispersal unit width,0.98
Galium mollugo,Dispersal unit width,1.13
Galium mollugo,Dispersal unit width,1.13
Galium palustre,Dispersal unit width,1.5
Galium palustre,Dispersal unit width,1.5
Glyceria striata,Dispersal unit width,0.72
Glyceria striata,Dispersal unit width,0.72
Glyceria striata,Dispersal unit width,0.81
Leersia oryzoides,Dispersal unit width,1
Leersia oryzoides,Dispersal unit width,1.75
Leersia oryzoides,Dispersal unit width,1.75
Leonurus cardiaca,Dispersal unit width,1.2
Leonurus cardiaca,Dispersal unit width,1.2
Leucanthemum vulgare,Dispersal unit width,0.82
Leucanthemum vulgare,Dispersal unit width,0.82
