Species,Trait,Value
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.244
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.3
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.328
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.51
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.704
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.748
Pinus strobus,Leaf nitrogen (N) content per dry mass,13.8
Pinus strobus,Leaf nitrogen (N) content per dry mass,14
Pinus strobus,Leaf nitrogen (N) content per dry mass,14.14
Pinus strobus,Leaf nitrogen (N) content per dry mass,14.28
Pinus strobus,Leaf nitrogen (N) content per dry mass,14.413
Pinus strobus,Leaf nitrogen (N) content per dry mass,14.84
Pinus strobus,Leaf nitrogen (N) content per dry mass,15.4
Pinus strobus,Leaf nitrogen (N) content per dry mass,15.4
Pinus strobus,Leaf nitrogen (N) content per dry mass,15.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,15.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,15.7
Pinus strobus,Leaf nitrogen (N) content per dry mass,17
Pinus strobus,Leaf nitrogen (N) content per dry mass,17
Pinus strobus,Leaf nitrogen (N) content per dry mass,18
Pinus strobus,Leaf nitrogen (N) content per dry mass,18
Pinus strobus,Leaf nitrogen (N) content per dry mass,18
Pinus strobus,Leaf nitrogen (N) content per dry mass,18
Pinus strobus,Leaf nitrogen (N) content per dry mass,18.4
Pinus strobus,Leaf nitrogen (N) content per dry mass,18.4
Pinus strobus,Leaf nitrogen (N) content per dry mass,18.4
Pinus strobus,Leaf nitrogen (N) content per dry mass,20
Pinus strobus,Leaf nitrogen (N) content per dry mass,20
Pinus strobus,Leaf nitrogen (N) content per dry mass,20
Pinus strobus,Leaf nitrogen (N) content per dry mass,20
Pinus strobus,Leaf nitrogen (N) content per dry mass,22.7
Pinus strobus,Leaf nitrogen (N) content per dry mass,24.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,24.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,24.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,24.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,24.8
Pinus strobus,Leaf nitrogen (N) content per dry mass,26.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,26.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,26.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,26.5
Pinus strobus,Leaf nitrogen (N) content per dry mass,26.6
Pinus strobus,Leaf nitrogen (N) content per dry mass,26.6
Pinus strobus,Leaf nitrogen (N) content per dry mass,26.6
Pinus strobus,Leaf nitrogen (N) content per dry mass,26.6
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,17.9328
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,20.3145
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,20.5
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,20.5
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,20.5
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,20.5
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,20.5
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,23.1
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,23.9571
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,27.67368
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,11.53
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,12.45
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,13.37
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,17.13
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,17.24444444
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,17.68
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,17.82
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,18.3
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,18.3
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,18.3
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,18.3
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,18.58888889
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,18.68
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,19.04
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,19.11111111
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,24.96666667
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,25.48888889
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,26.52222222
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,25
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,7.8
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,10.2
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,11.4
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,18.14321343
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,20.6625692
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,22.4
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,22.67511594
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,71.53421787
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,92.49424392
Plantago lanceolata,Leaf nitrogen (N) content per dry mass,96.27443716
Plantago major,Leaf nitrogen (N) content per dry mass,12.40540862
Plantago major,Leaf nitrogen (N) content per dry mass,15.90245008
Plantago major,Leaf nitrogen (N) content per dry mass,16.85899734
Plantago major,Leaf nitrogen (N) content per dry mass,17.7000916
Plantago major,Leaf nitrogen (N) content per dry mass,24.06710386
Plantago major,Leaf nitrogen (N) content per dry mass,31.24036
Plantago major,Leaf nitrogen (N) content per dry mass,28.63331468
Plantago major,Leaf nitrogen (N) content per dry mass,30.91636252
Plantago major,Leaf nitrogen (N) content per dry mass,41.3806654
Plantago major,Leaf nitrogen (N) content per dry mass,46.40111487
Plantago major,Leaf nitrogen (N) content per dry mass,46.65346118
Plantago major,Leaf nitrogen (N) content per dry mass,49.42988927
Plantago major,Leaf nitrogen (N) content per dry mass,56.0016313
Plantago major,Leaf nitrogen (N) content per dry mass,59.7890888
Plantago major,Leaf nitrogen (N) content per dry mass,7.3
Plantago major,Leaf nitrogen (N) content per dry mass,9
Plantago major,Leaf nitrogen (N) content per dry mass,10.6
Plantago major,Leaf nitrogen (N) content per dry mass,46.6
Plantago major,Leaf nitrogen (N) content per dry mass,25.492194
Plantago major,Leaf nitrogen (N) content per dry mass,73.535175
Plantago major,Leaf nitrogen (N) content per dry mass,75.68620392
Plantago major,Leaf nitrogen (N) content per dry mass,87.99452653
Platanus occidentalis,Leaf nitrogen (N) content per dry mass,13.22
Platanus occidentalis,Leaf nitrogen (N) content per dry mass,13.23
Platanus occidentalis,Leaf nitrogen (N) content per dry mass,13.47
Platanus occidentalis,Leaf nitrogen (N) content per dry mass,14.616
Platanus occidentalis,Leaf nitrogen (N) content per dry mass,20.05594
Platanus occidentalis,Leaf nitrogen (N) content per dry mass,20.7
Platanus occidentalis,Leaf nitrogen (N) content per dry mass,22.4
Platanus occidentalis,Leaf nitrogen (N) content per dry mass,20.7
Polygonum hydropiper,Leaf nitrogen (N) content per dry mass,18.81684065
Polygonum hydropiper,Leaf nitrogen (N) content per dry mass,20.53587437
Polygonum hydropiper,Leaf nitrogen (N) content per dry mass,20.99010229
Polygonum hydropiper,Leaf nitrogen (N) content per dry mass,28.15244436
Polygonum hydropiper,Leaf nitrogen (N) content per dry mass,29.08920765
Polygonum lapathifolium,Leaf nitrogen (N) content per dry mass,7.4
Polygonum lapathifolium,Leaf nitrogen (N) content per dry mass,9.5
Polygonum lapathifolium,Leaf nitrogen (N) content per dry mass,13.3
Polygonum lapathifolium,Leaf nitrogen (N) content per dry mass,16.8
Polygonum lapathifolium,Leaf nitrogen (N) content per dry mass,31.094874
Polygonum persicaria,Leaf nitrogen (N) content per dry mass,9.07858193
Polygonum persicaria,Leaf nitrogen (N) content per dry mass,9.83176768
Polygonum persicaria,Leaf nitrogen (N) content per dry mass,13.35103512
Polygonum persicaria,Leaf nitrogen (N) content per dry mass,14.14572001
Polygonum persicaria,Leaf nitrogen (N) content per dry mass,14.71700311
Polygonum sagittatum,Leaf nitrogen (N) content per dry mass,14.98363018
Polygonum sagittatum,Leaf nitrogen (N) content per dry mass,16.57568574
Polygonum sagittatum,Leaf nitrogen (N) content per dry mass,21.31619692
Polygonum sagittatum,Leaf nitrogen (N) content per dry mass,24.04148579
Polygonum sagittatum,Leaf nitrogen (N) content per dry mass,29.637959
Populus deltoides,Leaf nitrogen (N) content per dry mass,14.1
Populus deltoides,Leaf nitrogen (N) content per dry mass,14.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,16.4
Populus deltoides,Leaf nitrogen (N) content per dry mass,16.4
Populus deltoides,Leaf nitrogen (N) content per dry mass,16.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,17.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,18.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,19
Populus deltoides,Leaf nitrogen (N) content per dry mass,19.2
Populus deltoides,Leaf nitrogen (N) content per dry mass,19.5
Populus deltoides,Leaf nitrogen (N) content per dry mass,19.7
Populus deltoides,Leaf nitrogen (N) content per dry mass,19.9
Populus deltoides,Leaf nitrogen (N) content per dry mass,20.1
Populus deltoides,Leaf nitrogen (N) content per dry mass,20.2
Populus deltoides,Leaf nitrogen (N) content per dry mass,20.2
Populus deltoides,Leaf nitrogen (N) content per dry mass,20.8
Populus deltoides,Leaf nitrogen (N) content per dry mass,21
Populus deltoides,Leaf nitrogen (N) content per dry mass,21
Populus deltoides,Leaf nitrogen (N) content per dry mass,21
Populus deltoides,Leaf nitrogen (N) content per dry mass,21.2
Populus deltoides,Leaf nitrogen (N) content per dry mass,21.3
Populus deltoides,Leaf nitrogen (N) content per dry mass,21.5
Populus deltoides,Leaf nitrogen (N) content per dry mass,21.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,21.9
Populus deltoides,Leaf nitrogen (N) content per dry mass,22
Populus deltoides,Leaf nitrogen (N) content per dry mass,23
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.2
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.3
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.5
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.9
Populus deltoides,Leaf nitrogen (N) content per dry mass,24
Populus deltoides,Leaf nitrogen (N) content per dry mass,24
Populus deltoides,Leaf nitrogen (N) content per dry mass,24
Populus deltoides,Leaf nitrogen (N) content per dry mass,24.1
Populus deltoides,Leaf nitrogen (N) content per dry mass,24.1
Populus deltoides,Leaf nitrogen (N) content per dry mass,24.4
Populus deltoides,Leaf nitrogen (N) content per dry mass,26
Populus deltoides,Leaf nitrogen (N) content per dry mass,26
Populus deltoides,Leaf nitrogen (N) content per dry mass,26.3
Populus deltoides,Leaf nitrogen (N) content per dry mass,27.7
Populus deltoides,Leaf nitrogen (N) content per dry mass,28.5
Populus deltoides,Leaf nitrogen (N) content per dry mass,28.9
Populus deltoides,Leaf nitrogen (N) content per dry mass,29.5
Populus deltoides,Leaf nitrogen (N) content per dry mass,31.1
Populus deltoides,Leaf nitrogen (N) content per dry mass,33.3
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.6
Populus deltoides,Leaf nitrogen (N) content per dry mass,23.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,6.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,7.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,8.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,9.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,10.3
Populus tremuloides,Leaf nitrogen (N) content per dry mass,11
Populus tremuloides,Leaf nitrogen (N) content per dry mass,13.8
Populus tremuloides,Leaf nitrogen (N) content per dry mass,14.5
Populus tremuloides,Leaf nitrogen (N) content per dry mass,15.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,15.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,15.5
Populus tremuloides,Leaf nitrogen (N) content per dry mass,15.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,15.8
Populus tremuloides,Leaf nitrogen (N) content per dry mass,16.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,16.3
Populus tremuloides,Leaf nitrogen (N) content per dry mass,16.3
Populus tremuloides,Leaf nitrogen (N) content per dry mass,16.5
Populus tremuloides,Leaf nitrogen (N) content per dry mass,16.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,16.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,17.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,17.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,18.63972
Populus tremuloides,Leaf nitrogen (N) content per dry mass,19.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,19.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,19.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,19.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,20.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,20.3
Populus tremuloides,Leaf nitrogen (N) content per dry mass,20.3
Populus tremuloides,Leaf nitrogen (N) content per dry mass,20.3
Populus tremuloides,Leaf nitrogen (N) content per dry mass,20.5
Populus tremuloides,Leaf nitrogen (N) content per dry mass,20.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,21
Populus tremuloides,Leaf nitrogen (N) content per dry mass,21
Populus tremuloides,Leaf nitrogen (N) content per dry mass,21
Populus tremuloides,Leaf nitrogen (N) content per dry mass,21.3
Populus tremuloides,Leaf nitrogen (N) content per dry mass,21.3
Populus tremuloides,Leaf nitrogen (N) content per dry mass,21.8
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.5
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,23.14587
Populus tremuloides,Leaf nitrogen (N) content per dry mass,23.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,23.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,23.8
Populus tremuloides,Leaf nitrogen (N) content per dry mass,23.8
Populus tremuloides,Leaf nitrogen (N) content per dry mass,23.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,26
Populus tremuloides,Leaf nitrogen (N) content per dry mass,26
Populus tremuloides,Leaf nitrogen (N) content per dry mass,26
Populus tremuloides,Leaf nitrogen (N) content per dry mass,26
Populus tremuloides,Leaf nitrogen (N) content per dry mass,26.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,26.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,26.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,27.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,29.10658252
Populus tremuloides,Leaf nitrogen (N) content per dry mass,29.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,30.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,38.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,39.8
Populus tremuloides,Leaf nitrogen (N) content per dry mass,41.8
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,31
Populus tremuloides,Leaf nitrogen (N) content per dry mass,45
Populus tremuloides,Leaf nitrogen (N) content per dry mass,18.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,18.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,18.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,18.7
Populus tremuloides,Leaf nitrogen (N) content per dry mass,22.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,24.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,25.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,31.88
Populus tremuloides,Leaf nitrogen (N) content per dry mass,31.88
Populus tremuloides,Leaf nitrogen (N) content per dry mass,35.12333333
Populus tremuloides,Leaf nitrogen (N) content per dry mass,35.12333333
Populus tremuloides,Leaf nitrogen (N) content per dry mass,36.92
Populus tremuloides,Leaf nitrogen (N) content per dry mass,41.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,41.1
Populus tremuloides,Leaf nitrogen (N) content per dry mass,41.255
Populus tremuloides,Leaf nitrogen (N) content per dry mass,50.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,50.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,50.4
Populus tremuloides,Leaf nitrogen (N) content per dry mass,51.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,51.9
Populus tremuloides,Leaf nitrogen (N) content per dry mass,53.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,53.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,53.2
Populus tremuloides,Leaf nitrogen (N) content per dry mass,54.765
Populus tremuloides,Leaf nitrogen (N) content per dry mass,54.765
Populus tremuloides,Leaf nitrogen (N) content per dry mass,55.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,55.6
Populus tremuloides,Leaf nitrogen (N) content per dry mass,55.6
Prenanthes alba,Leaf nitrogen (N) content per dry mass,16.2
Prenanthes alba,Leaf nitrogen (N) content per dry mass,16.6
Prenanthes purpurea,Leaf nitrogen (N) content per dry mass,30
Prenanthes purpurea,Leaf nitrogen (N) content per dry mass,30
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,15.62311
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,18
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,17.83
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,20.77
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,21.68
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,22
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,22
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,22
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,10.8
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,12.3
Prunella vulgaris,Leaf nitrogen (N) content per dry mass,32.9
Prunus serotina,Leaf nitrogen (N) content per dry mass,18
Prunus serotina,Leaf nitrogen (N) content per dry mass,20.5
Prunus serotina,Leaf nitrogen (N) content per dry mass,20.5
Prunus serotina,Leaf nitrogen (N) content per dry mass,20.7
Prunus serotina,Leaf nitrogen (N) content per dry mass,21.2
Prunus serotina,Leaf nitrogen (N) content per dry mass,21.3
Prunus serotina,Leaf nitrogen (N) content per dry mass,22.4
Prunus serotina,Leaf nitrogen (N) content per dry mass,24
Prunus serotina,Leaf nitrogen (N) content per dry mass,24
Prunus serotina,Leaf nitrogen (N) content per dry mass,24.16
Prunus serotina,Leaf nitrogen (N) content per dry mass,24.3
Prunus serotina,Leaf nitrogen (N) content per dry mass,25.7
Prunus serotina,Leaf nitrogen (N) content per dry mass,26.1
Prunus serotina,Leaf nitrogen (N) content per dry mass,26.786
Prunus serotina,Leaf nitrogen (N) content per dry mass,27
Prunus serotina,Leaf nitrogen (N) content per dry mass,27
Prunus serotina,Leaf nitrogen (N) content per dry mass,27
Prunus serotina,Leaf nitrogen (N) content per dry mass,28
Prunus serotina,Leaf nitrogen (N) content per dry mass,28.8
Prunus serotina,Leaf nitrogen (N) content per dry mass,29.1
Prunus serotina,Leaf nitrogen (N) content per dry mass,29.54
Prunus serotina,Leaf nitrogen (N) content per dry mass,34.4
Prunus serotina,Leaf nitrogen (N) content per dry mass,20.7
Prunus serotina,Leaf nitrogen (N) content per dry mass,20.7
Prunus serotina,Leaf nitrogen (N) content per dry mass,20.7
Prunus serotina,Leaf nitrogen (N) content per dry mass,26.4
Prunus serotina,Leaf nitrogen (N) content per dry mass,27.49
Prunus serotina,Leaf nitrogen (N) content per dry mass,17.24435522
Prunus virginiana,Leaf nitrogen (N) content per dry mass,16.9
Prunus virginiana,Leaf nitrogen (N) content per dry mass,18.4
Prunus virginiana,Leaf nitrogen (N) content per dry mass,28
Prunus virginiana,Leaf nitrogen (N) content per dry mass,28
Prunus virginiana,Leaf nitrogen (N) content per dry mass,28
Prunus virginiana,Leaf nitrogen (N) content per dry mass,29
Prunus virginiana,Leaf nitrogen (N) content per dry mass,29
Prunus virginiana,Leaf nitrogen (N) content per dry mass,14.5
Prunus virginiana,Leaf nitrogen (N) content per dry mass,17.5
Prunus virginiana,Leaf nitrogen (N) content per dry mass,13.2
Prunus virginiana,Leaf nitrogen (N) content per dry mass,13.3
Prunus virginiana,Leaf nitrogen (N) content per dry mass,13.4
Prunus virginiana,Leaf nitrogen (N) content per dry mass,13.6
Prunus virginiana,Leaf nitrogen (N) content per dry mass,13.9
Prunus virginiana,Leaf nitrogen (N) content per dry mass,14.2
Prunus virginiana,Leaf nitrogen (N) content per dry mass,14.4
Prunus virginiana,Leaf nitrogen (N) content per dry mass,14.5
Prunus virginiana,Leaf nitrogen (N) content per dry mass,15
Prunus virginiana,Leaf nitrogen (N) content per dry mass,15.6
Prunus virginiana,Leaf nitrogen (N) content per dry mass,15.7
Prunus virginiana,Leaf nitrogen (N) content per dry mass,16.4
Prunus virginiana,Leaf nitrogen (N) content per dry mass,18.8
Prunus virginiana,Leaf nitrogen (N) content per dry mass,19.2
Prunus virginiana,Leaf nitrogen (N) content per dry mass,20.1
Pteridium aquilinum,Leaf nitrogen (N) content per dry mass,21.5
Pteridium aquilinum,Leaf nitrogen (N) content per dry mass,23.1
Pteridium aquilinum,Leaf nitrogen (N) content per dry mass,23.1
Pteridium aquilinum,Leaf nitrogen (N) content per dry mass,23.1
Pteridium aquilinum,Leaf nitrogen (N) content per dry mass,23.1
Pteridium aquilinum,Leaf nitrogen (N) content per dry mass,12.8
Pteridium aquilinum,Leaf nitrogen (N) content per dry mass,19.7
Pteridium aquilinum,Leaf nitrogen (N) content per dry mass,28.3
Quercus alba,Leaf nitrogen (N) content per dry mass,10
Quercus alba,Leaf nitrogen (N) content per dry mass,16.83333
Quercus alba,Leaf nitrogen (N) content per dry mass,17.1
Quercus alba,Leaf nitrogen (N) content per dry mass,17.3
Quercus alba,Leaf nitrogen (N) content per dry mass,17.8
Quercus alba,Leaf nitrogen (N) content per dry mass,17.9
Quercus alba,Leaf nitrogen (N) content per dry mass,17.9
Quercus alba,Leaf nitrogen (N) content per dry mass,18
Quercus alba,Leaf nitrogen (N) content per dry mass,18.9
Quercus alba,Leaf nitrogen (N) content per dry mass,19
Quercus alba,Leaf nitrogen (N) content per dry mass,19.2
Quercus alba,Leaf nitrogen (N) content per dry mass,20
Quercus alba,Leaf nitrogen (N) content per dry mass,20
Quercus alba,Leaf nitrogen (N) content per dry mass,21.9
Quercus alba,Leaf nitrogen (N) content per dry mass,22
Quercus alba,Leaf nitrogen (N) content per dry mass,22
Quercus alba,Leaf nitrogen (N) content per dry mass,22
Quercus alba,Leaf nitrogen (N) content per dry mass,22
Quercus alba,Leaf nitrogen (N) content per dry mass,22.4
Quercus alba,Leaf nitrogen (N) content per dry mass,23.1
Quercus alba,Leaf nitrogen (N) content per dry mass,23.5
Quercus alba,Leaf nitrogen (N) content per dry mass,23.7
Quercus alba,Leaf nitrogen (N) content per dry mass,24
Quercus alba,Leaf nitrogen (N) content per dry mass,26.7
Quercus alba,Leaf nitrogen (N) content per dry mass,29.7
Quercus alba,Leaf nitrogen (N) content per dry mass,30.3
Quercus alba,Leaf nitrogen (N) content per dry mass,31
Quercus alba,Leaf nitrogen (N) content per dry mass,31
Quercus alba,Leaf nitrogen (N) content per dry mass,33.66
Quercus alba,Leaf nitrogen (N) content per dry mass,17.28
Quercus alba,Leaf nitrogen (N) content per dry mass,19.2
Quercus alba,Leaf nitrogen (N) content per dry mass,19.9
Quercus alba,Leaf nitrogen (N) content per dry mass,20.9
Quercus alba,Leaf nitrogen (N) content per dry mass,21.4
Quercus alba,Leaf nitrogen (N) content per dry mass,21.8
Quercus alba,Leaf nitrogen (N) content per dry mass,32.94
Quercus alba,Leaf nitrogen (N) content per dry mass,13.93
Quercus alba,Leaf nitrogen (N) content per dry mass,14.47
Quercus alba,Leaf nitrogen (N) content per dry mass,16.53
Quercus alba,Leaf nitrogen (N) content per dry mass,16.76
Quercus alba,Leaf nitrogen (N) content per dry mass,17.43
Quercus alba,Leaf nitrogen (N) content per dry mass,17.44
Quercus alba,Leaf nitrogen (N) content per dry mass,17.6
Quercus alba,Leaf nitrogen (N) content per dry mass,17.64666667
Quercus alba,Leaf nitrogen (N) content per dry mass,17.8
Quercus alba,Leaf nitrogen (N) content per dry mass,17.84333333
Quercus alba,Leaf nitrogen (N) content per dry mass,17.89
Quercus alba,Leaf nitrogen (N) content per dry mass,17.92
Quercus alba,Leaf nitrogen (N) content per dry mass,18.49
Quercus alba,Leaf nitrogen (N) content per dry mass,18.55
Quercus alba,Leaf nitrogen (N) content per dry mass,18.67
Quercus alba,Leaf nitrogen (N) content per dry mass,18.75
Quercus alba,Leaf nitrogen (N) content per dry mass,18.75
Quercus alba,Leaf nitrogen (N) content per dry mass,19.6
Quercus alba,Leaf nitrogen (N) content per dry mass,19.85
Quercus alba,Leaf nitrogen (N) content per dry mass,19.95
Quercus alba,Leaf nitrogen (N) content per dry mass,20.11
Quercus alba,Leaf nitrogen (N) content per dry mass,20.13
Quercus alba,Leaf nitrogen (N) content per dry mass,20.51
Quercus alba,Leaf nitrogen (N) content per dry mass,20.82
Quercus alba,Leaf nitrogen (N) content per dry mass,20.86
Quercus alba,Leaf nitrogen (N) content per dry mass,21.08666667
Quercus alba,Leaf nitrogen (N) content per dry mass,21.59
