River,Site,Latitude,Longitude,MeanTempDriestQ,MeanTempWettestQ,TempAnnRange,MinTempColdestM,MaxTempWarmestM,TempSeasonality,Isothermality,MeanDiurnalTempRange,PrecipColdestQ,PrecipWarmestQ,PrecipDriestQ,PrecipWettestQ,PrecipSeasonality,PrecipDriestM,PrecipWettestM,AnnPrecip,MeanTempColdestQ,MeanTempWarmestQ,AnnMeanTemp,StreamOrder,DrainageArea,PCEmergentHerbWetlands100mBuff,PCWoodyWetlands100mBuff,PCCultivatedCrops100mBuff,PCPasture100mBuff,PCGrassland100mBuff,PCScrub100mBuff,PCMixedFor100mBuff,PCEvergreenFor100mBuff,PCDecidFor100mBuff,PCBarren100mBuff,PCDevHi100mBuff,PCDevMed100mBuff,PCDevLo100mBuff,PCDevOpen100mBuff,PCWater100mBuff,PCEmergentHerbWetlands1kmBuff,PCWoodyWetlands1kmBuff,PCCultivatedCrops1kmBuff,PCPasture1kmBuff,PCGrassland1kmBuff,PCScrub1kmBuff,PCMixedFor1kmBuff,PCEvergreenFor1kmBuff,PCDecidFor1kmBuff,PCBarren1kmBuff,PCDevHi1kmBuff,PCDevMed1kmBuff,PCDevLo1kmBuff,PCDevOpen1kmBuff,PCWater1kmBuff,PCEmergentHerbWetlands10kmBuff,PCWoodyWetlands10kmBuff,PCCultivatedCrops10kmBuff,PCPasture10kmBuff,PCGrassland10kmBuff,PCScrub10kmBuff,PCMixedFor10kmBuff,PCEvergreenFor10kmBuff,PCDecidFor10kmBuff,PCBarren10kmBuff,PCDevHi10kmBuff,PCDevMed10kmBuff,PCDevLo10kmBuff,PCDevOpen10kmBuff,PCWater10kmBuff
Saw Kill,1202,42.037053,-74.123401,-26,180,382,-104,278,9258,30,118,248,298,243,315,10,75,112,1126,-38,201,86,2,58.761,0.000,0.148,0.000,0.000,0.000,0.037,0.370,0.037,0.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.179,0.036,0.020,0.003,0.038,0.234,0.037,0.168,0.000,0.005,0.021,0.051,0.208,0.000,0.000,0.123,0.007,0.006,0.002,0.003,0.198,0.085,0.465,0.006,0.000,0.001,0.006,0.045,0.051
Batten Kill,382,43.097365,-73.141413,-42,195,411,-130,281,9624,31,130,216,297,211,297,14,63,109,1048,-55,195,75,3,246.4812,0.000,0.464,0.000,0.036,0.000,0.036,0.000,0.000,0.107,0.000,0.000,0.000,0.214,0.143,0.000,0.005,0.172,0.000,0.073,0.000,0.010,0.049,0.224,0.382,0.000,0.000,0.007,0.031,0.046,0.000,0.003,0.032,0.004,0.052,0.001,0.007,0.084,0.139,0.638,0.000,0.000,0.003,0.010,0.025,0.002
Stewart Creek,367,43.530026,-74.144775,-59,166,393,-142,251,9486,30,121,247,302,244,307,11,73,110,1136,-71,173,57,2,42.0165,0.000,0.037,0.000,0.000,0.000,0.000,0.222,0.407,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.001,0.061,0.000,0.000,0.002,0.003,0.211,0.171,0.522,0.000,0.000,0.000,0.000,0.024,0.005,0.006,0.066,0.000,0.000,0.000,0.000,0.136,0.175,0.601,0.000,0.000,0.000,0.000,0.003,0.012
Boreas River,15,43.891673,-74.01499,-68,158,397,-152,245,9553,30,122,216,305,211,311,15,64,115,1064,-79,166,49,2,134.9415,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.433,0.000,0.000,0.000,0.000,0.000,0.367,0.167,0.004,0.199,0.000,0.000,0.000,0.000,0.049,0.599,0.103,0.000,0.000,0.000,0.000,0.027,0.019,0.010,0.115,0.000,0.000,0.000,0.002,0.132,0.240,0.475,0.000,0.000,0.000,0.000,0.006,0.019
Ballston Creek,0,42.95915,-73.819983,-48,182,401,-117,284,9655,29,120,207,274,207,274,12,61,95,988,-48,203,82,1,46.5669,0.000,0.000,0.000,0.069,0.000,0.000,0.000,0.172,0.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.102,0.273,0.000,0.000,0.066,0.013,0.267,0.000,0.000,0.000,0.027,0.040,0.000,0.005,0.342,0.061,0.074,0.002,0.005,0.074,0.032,0.134,0.001,0.008,0.022,0.071,0.111,0.058
Roeliff Jansen Kill,1159,42.006207,-73.715742,-23,181,388,-105,283,9182,32,126,231,297,226,302,11,69,103,1074,-36,202,87,3,408.6324,0.000,0.000,0.000,0.179,0.000,0.071,0.000,0.036,0.500,0.000,0.000,0.000,0.036,0.179,0.000,0.000,0.010,0.085,0.143,0.000,0.032,0.009,0.071,0.564,0.003,0.000,0.000,0.014,0.068,0.000,0.005,0.027,0.030,0.185,0.001,0.049,0.012,0.042,0.578,0.000,0.000,0.002,0.014,0.046,0.009
Fawn Lake,1117,42.568064,-74.176195,-63,155,375,-127,248,9231,29,111,221,300,221,307,13,66,106,1083,-63,176,61,2,5.4333,0.000,0.000,0.000,0.000,0.000,0.000,0.296,0.185,0.370,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.080,0.000,0.015,0.010,0.000,0.248,0.184,0.388,0.000,0.000,0.000,0.001,0.030,0.045,0.003,0.070,0.023,0.140,0.010,0.001,0.215,0.116,0.374,0.000,0.000,0.000,0.003,0.036,0.008
Kinderhook Creek,1173,42.492657,-73.451472,-35,173,390,-114,276,9303,31,123,214,295,212,295,13,64,100,1032,-47,194,78,3,185.2722,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.387,0.355,0.000,0.000,0.112,0.031,0.123,0.000,0.048,0.129,0.172,0.225,0.000,0.000,0.004,0.050,0.107,0.000,0.002,0.029,0.007,0.101,0.002,0.025,0.140,0.153,0.480,0.000,0.001,0.003,0.010,0.041,0.005
Cedar River,37,43.792586,-74.289163,-68,156,391,-151,240,9434,31,122,228,303,225,312,13,67,111,1085,-79,163,49,3,241.0776,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.464,0.034,0.316,0.000,0.005,0.002,0.010,0.030,0.236,0.294,0.000,0.000,0.000,0.000,0.025,0.049,0.011,0.201,0.000,0.000,0.001,0.016,0.031,0.187,0.466,0.000,0.000,0.000,0.002,0.018,0.068
Sprout Creek,1444,41.581503,-73.852583,-11,189,376,-87,289,9030,31,120,237,298,237,300,10,72,102,1100,-23,211,97,3,142.2666,0.000,0.107,0.000,0.286,0.000,0.000,0.000,0.000,0.571,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.022,0.000,0.186,0.023,0.026,0.006,0.000,0.197,0.000,0.000,0.079,0.268,0.193,0.000,0.005,0.055,0.009,0.175,0.004,0.035,0.013,0.023,0.497,0.004,0.003,0.015,0.062,0.084,0.015
Evas Kill,1052,42.928424,-74.127628,-38,130,393,-116,277,9561,30,118,215,276,215,280,12,63,97,1016,-50,198,78,2,29.6865,0.000,0.000,0.000,0.167,0.000,0.000,0.133,0.267,0.267,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.084,0.152,0.191,0.000,0.000,0.091,0.072,0.379,0.000,0.000,0.000,0.000,0.031,0.000,0.001,0.099,0.217,0.242,0.004,0.012,0.053,0.038,0.144,0.001,0.010,0.030,0.052,0.080,0.019
Hudson River,20,44.01607,-74.054193,-70,156,397,-154,243,9562,30,122,211,307,204,313,16,62,115,1049,-82,165,47,4,166.4775,0.000,0.207,0.000,0.000,0.000,0.000,0.000,0.207,0.172,0.000,0.000,0.000,0.000,0.345,0.069,0.028,0.177,0.000,0.000,0.000,0.000,0.030,0.261,0.431,0.000,0.000,0.000,0.000,0.024,0.049,0.010,0.094,0.000,0.000,0.001,0.021,0.171,0.267,0.387,0.001,0.000,0.000,0.001,0.005,0.042
Beaver Kill,1211,42.068748,-74.204728,-34,171,374,-109,265,9200,30,113,252,304,248,319,10,76,113,1153,-46,192,77,2,64.5147,0.000,0.607,0.000,0.000,0.000,0.000,0.036,0.000,0.250,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.339,0.020,0.055,0.011,0.000,0.018,0.055,0.458,0.000,0.000,0.000,0.001,0.043,0.000,0.000,0.123,0.007,0.006,0.002,0.003,0.198,0.085,0.465,0.006,0.000,0.001,0.006,0.045,0.051
Steele Creek,1048,42.994894,-75.060868,-43,192,392,-119,273,9563,30,118,211,304,208,304,15,62,106,1071,-54,192,73,3,49.7637,0.000,0.379,0.000,0.000,0.000,0.172,0.000,0.000,0.414,0.000,0.000,0.000,0.000,0.034,0.000,0.001,0.143,0.020,0.074,0.034,0.111,0.124,0.017,0.344,0.000,0.000,0.000,0.023,0.100,0.009,0.004,0.081,0.168,0.226,0.045,0.068,0.064,0.021,0.252,0.000,0.001,0.005,0.015,0.040,0.009
Minots Corner,899,43.091945,-75.064318,-45,193,394,-121,273,9627,29,118,223,312,218,312,14,65,108,1108,-56,193,73,2,5.4765,0.000,0.231,0.000,0.000,0.000,0.269,0.308,0.000,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.134,0.188,0.012,0.049,0.162,0.004,0.389,0.000,0.000,0.000,0.000,0.009,0.000,0.005,0.055,0.104,0.252,0.037,0.101,0.066,0.042,0.266,0.000,0.001,0.004,0.022,0.031,0.014
Robbs Creek,269,43.509772,-74.286186,-63,162,391,-145,246,9470,30,120,262,312,257,319,10,76,113,1183,-73,170,54,2,35.1243,0.000,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.179,0.000,0.006,0.127,0.000,0.000,0.002,0.001,0.026,0.047,0.722,0.000,0.000,0.000,0.000,0.068,0.001,0.008,0.055,0.000,0.000,0.000,0.011,0.079,0.072,0.713,0.000,0.000,0.000,0.001,0.013,0.047
