"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Sprout Creek",113.813333333333,22.9,11.5033333333333,0.14,5.20125,9.18571428571429,1219.79714285714,3.3,0.97,8.185,410.689,101.796666666667,0.17,0.59,20.4,24347.3676923077,230659.5,16.505,47.9375,222.933333333333,73.15
"Steele Creek",46.11,23.5,NA,NA,4.45888888888889,9.8375,1507.29625,NA,1.21,10,107.176666666667,45.32,NA,NA,24.5555555555556,37364.1808333333,449765.475,21.5333333333333,0.508333333333333,365.8,NA
"Sterling Creek",165.981428571429,28.285,8.416,0.14,7.97928571428571,7.91,2010.80583333333,3.3,2.764,12.2225,128.514666666667,68.0766666666667,0.2,11.12,16.7333333333333,20483.7691666667,158045.875714286,18.91,0.515714285714286,98.2133333333333,57.09
"Stewart Creek",260.985,31.17,0.5925,190.75,3.985,10.7227272727273,2086.52545454545,NA,0.838,10.105,112.325,68.682,0.1125,9.77333333333333,22.1538461538462,263261.549583333,7744.31,29.7,72.6483333333333,87.25,NA
"Stony Creek",183.84,23.735,12.012,63.66,6.56875,10.055,1567.14125,3.39,0.7675,9.25333333333333,2132.8325,75.525,0.14,4.57,23.5555555555556,8100.176875,194615.654,18.0575,87.158,184.1,58.625
"Timmerman Creek",187.115,25.9466666666667,8.895,0.37,7.899,8.86666666666667,1432.9575,5.92,5.19,6.91,102.669090909091,87.475,0.1225,0.59,12.5909090909091,225452.721875,338581.005,19.656,64.105,76.82,60.055
"Trout Brook",47.21,24.034,6.54,182.565,5.24,12.4714285714286,1605.77428571429,NA,0.725,6.996,110.14,76.95,0.105,7.24,20.9642857142857,306977.421,880228,27.2,160.935,175.16,63.66
"Valatie Kill",44.05,25.675,0.665,190.75,6.18142857142857,10.5571428571429,1903.70285714286,NA,0.854,6.318,113.367777777778,76.0875,0.14,9.59,25.3333333333333,4656.61333333333,1856092.5,22.375,87.166,180.1,NA
"Wappinger Creek",233.843333333333,NA,0.57,0.14,11.7266666666667,8.445,789.135,3.3,NA,NA,104.193333333333,82.57,0.14,0.59,12,20446.86375,2289.88666666667,21.8766666666667,0.48,153,NA
"Wharton Hollow Creek",140.826666666667,22,16.68,63.66,5.80727272727273,10.735,1365.285,3.39,2.608,8.395,2251.53818181818,83.8075,0.153333333333333,3.68333333333333,19.1666666666667,84314.1586666667,2131.0675,20.1766666666667,138.064,138.195,57.0333333333333
