,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
matteuccia_struthiopteris,47,16.67,59.79,NA,2.87,NA,NA,NA,9.85,NA,96.35,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,40.21
mimulus_ringens,NA,NA,0.71,NA,31.54,NA,NA,NA,NA,NA,311.37,NA,0.28,NA,NA,1.28,NA,NA,NA,0.3,NA
mitchella_repens,NA,NA,NA,NA,1.38,11.03,1100.03,NA,NA,NA,NA,NA,NA,NA,NA,3.52,NA,NA,NA,NA,NA
monotropa_uniflora,NA,NA,NA,NA,1.97,6.57,3000,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
muhlenbergia_mexicana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,150000.33,NA,NA,NA,NA,NA
myosotis_laxa,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,66.16,NA,0.23,NA,NA,0.18,275.88,NA,NA,NA,NA
myrica_gale,NA,NA,NA,NA,2.55,28.5,500.04,NA,NA,NA,29.7,NA,NA,NA,14,1.3,15156.5,NA,NA,NA,NA
oenothera_biennis,41.89,22.08,10.18,NA,9.63,NA,NA,NA,NA,NA,149.67,92.38,0.21,NA,10,62545.86,126922.25,16.65,NA,0.64,56.45
onoclea_sensibilis,43.19,24.96,24.41,NA,1.8,NA,NA,NA,NA,NA,68.14,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,63.66
osmunda_cinnamomea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,NA,NA,NA,12,1863.99,NA,NA,NA,NA,NA
osmunda_regalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.17,NA,NA,NA,15,1863.99,880228,NA,NA,NA,NA
ostrya_virginiana,NA,NA,NA,NA,13.39,9.41,1588.97,NA,0.64,6.91,402.25,NA,NA,NA,16,6013.29,NA,NA,0.63,NA,NA
oxalis_stricta,NA,NA,30.07,NA,NA,NA,NA,NA,NA,NA,396.58,NA,NA,NA,NA,0.22,65200,NA,NA,NA,57.73
parthenocissus_quinquefolia,43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.28,NA,NA,NA,16,2063.77,85.95,15.6,NA,NA,NA
peltandra_virginica,NA,NA,NA,NA,2.15,10.72,2700,NA,NA,NA,NA,NA,NA,NA,16,1863.99,NA,NA,NA,NA,NA
phalaris_arundinacea,44.1,20.24,9.53,NA,7.01,13.83,419.13,NA,NA,NA,3383.43,177.5,0.2,NA,14,22415.25,16414.34,NA,0.34,150,82.64
phegopteris_connectilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.29,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
phegopteris_hexagonoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
pinus_strobus,NA,26.1,0.63,NA,12.23,10.95,1181.28,NA,4.84,5.52,59.45,21.91,0.03,9.37,40,1947.06,NA,NA,175.19,199.11,NA
platanus_occidentalis,NA,NA,NA,NA,4.06,12.68,900.03,NA,NA,6.06,113.87,NA,NA,NA,30,21335.99,NA,11.6,190.26,NA,NA
polygonum_amphibium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.45,NA,NA,NA,6,25001.25,40.5,NA,NA,NA,NA
polygonum_hydropiperoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20847.25,NA,NA,NA,NA,NA
polygonum_punctatum,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,14,25001.29,NA,8.1,NA,NA,NA
polygonum_sagittatum,44.99,22.34,16.02,NA,2.13,NA,NA,NA,NA,NA,578.09,NA,NA,NA,6,13891.04,NA,NA,NA,NA,74.75
polygonum_virginianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,NA,NA,NA,NA,NA
polystichum_acrostichoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
populus_deltoides,NA,21.2,NA,NA,3.94,11.08,1893.8,NA,1.19,10.1,83.55,81.08,NA,NA,24,50000.92,NA,NA,0.43,595,NA
potentilla_simplex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
prenanthes_alba,NA,NA,NA,NA,1.64,7.99,2100,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
prunella_vulgaris,460.24,NA,0.57,0.14,16.88,7.83,577.56,3.3,NA,NA,91.06,82.57,0.14,0.59,10,14847.93,6692.71,19.13,NA,153,NA
prunus_americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,782.44,NA,NA,NA,NA,NA
prunus_serotina,46.9,23.73,NA,NA,6.72,13.27,1681.38,NA,0.47,17.06,44.75,113.35,NA,NA,24,700.64,1,NA,180.41,210.22,NA
prunus_virginiana,44.97,NA,NA,NA,11.71,15.1,2057.09,NA,0.62,5.71,48.33,NA,NA,NA,22,617.89,NA,35.6,NA,NA,NA
pteridium_aquilinum,496,NA,NA,0.38,19.42,NA,1.22,3.12,9.83,NA,40.07,115.21,NA,NA,10,1863.99,300000000,NA,NA,135,NA
quercus_alba,NA,27.2,NA,NA,13.08,12.89,1542.87,NA,0.89,10.97,57.22,114.12,NA,7.23,48,1863.99,NA,NA,0.69,NA,NA
quercus_velutina,NA,34,NA,NA,3.43,12.29,1091.63,NA,0.84,8.81,66.6,79.18,NA,NA,40,1584.4,NA,NA,0.67,126,NA
ranunculus_pensylvanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5000.57,NA,NA,NA,NA,NA
ranunculus_recurvatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA
rhamnus_alnifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13109.58,NA,NA,NA,NA,NA
rhus_typhina,NA,NA,NA,NA,2.58,8.24,2233.33,NA,1.26,NA,163.38,NA,NA,NA,NA,10.81,NA,NA,0.45,NA,NA
robinia_pseudoacacia,NA,NA,NA,NA,15.71,17.71,1140.95,NA,1.14,16.09,102.8,162.15,NA,NA,36,1863.99,NA,43.2,0.68,297,NA
rosa_palustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4.18,NA,NA,NA,NA,NA
rubus_allegheniensis,NA,NA,NA,NA,2.18,8.38,2600,NA,NA,NA,NA,NA,NA,NA,12,37430.61,NA,NA,NA,NA,NA
rubus_hispidus,NA,NA,NA,NA,1.97,15.78,615.2,NA,1.15,NA,144.47,151.75,NA,NA,12,2.9,NA,NA,NA,NA,NA
rubus_idaeus,246.13,24.65,59.91,NA,7.06,12.76,1912.58,NA,NA,NA,132.24,295.22,NA,NA,12,18711.61,2581.49,7.4,NA,NA,40.09
rubus_occidentalis,NA,NA,NA,NA,1.57,6.54,2400,NA,NA,NA,NA,NA,NA,NA,12,67001.1,NA,NA,NA,NA,NA
rubus_odoratus,NA,NA,NA,NA,2.8,20,0.14,NA,NA,NA,NA,NA,NA,NA,16,98600.73,NA,NA,NA,NA,NA
rubus_pubescens,NA,NA,NA,NA,1.94,5.16,3750,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
rudbeckia_hirta,NA,NA,0.6,NA,31.13,NA,NA,NA,NA,30.11,173.74,NA,0.18,21.65,10,157577.03,230.91,27.68,NA,NA,NA
rudbeckia_laciniata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,31529.91,NA,37.8,NA,NA,NA
sagittaria_latifolia,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,18,67000,NA,NA,NA,NA,NA
salix_nigra,NA,NA,NA,NA,2.48,15.34,1333.42,NA,1.03,NA,179,NA,NA,NA,32,625000.05,NA,NA,0.41,NA,NA
schoenoplectus_pungens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,52081.71,NA,NA,NA,NA,NA
scirpus_atrocinctus,44.72,42.46,21.46,NA,1.06,NA,NA,NA,NA,NA,115.75,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,57.88
scirpus_microcarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.12,NA,NA,NA,NA,NA
scutellaria_lateriflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.16,NA,0.23,NA,NA,0.33,NA,NA,NA,0.1,NA
solidago_altissima,NA,NA,NA,NA,NA,NA,NA,NA,10.14,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
solidago_canadensis,46.32,24.77,29.94,NA,1.68,4.41,2550,NA,NA,NA,20.98,NA,0.18,NA,12,200000.08,8499.43,25.1,NA,NA,50.64
