,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
lysimachia_quadrifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA
lysimachia_terrestris,NA,NA,NA,NA,2.9,11.6,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA
maianthemum_racemosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.36,169.66,NA,NA,NA,29.14,NA,NA,NA,NA,NA
matteuccia_struthiopteris,47,16.67,59.79,NA,2.87,NA,NA,NA,9.85,NA,96.35,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,40.21
mimulus_ringens,NA,NA,0.71,NA,31.54,NA,NA,NA,NA,NA,311.37,NA,0.28,NA,NA,1.28,NA,NA,NA,0.3,NA
mitchella_repens,NA,NA,NA,NA,1.38,11.03,1100.03,NA,NA,NA,NA,NA,NA,NA,NA,3.52,NA,NA,NA,NA,NA
monotropa_uniflora,NA,NA,NA,NA,1.97,6.57,3000,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
muhlenbergia_mexicana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,150000.33,NA,NA,NA,NA,NA
myosotis_laxa,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,66.16,NA,0.23,NA,NA,0.18,275.88,NA,NA,NA,NA
onoclea_sensibilis,43.19,24.96,24.41,NA,1.8,NA,NA,NA,NA,NA,68.14,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,63.66
osmunda_cinnamomea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,NA,NA,NA,12,1863.99,NA,NA,NA,NA,NA
osmunda_regalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.17,NA,NA,NA,15,1863.99,880228,NA,NA,NA,NA
oxalis_stricta,NA,NA,30.07,NA,NA,NA,NA,NA,NA,NA,396.58,NA,NA,NA,NA,0.22,65200,NA,NA,NA,57.73
panicum_dichotomiflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,78400.41,NA,NA,NA,NA,NA
parthenocissus_quinquefolia,43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.28,NA,NA,NA,16,2063.77,85.95,15.6,NA,NA,NA
peltandra_virginica,NA,NA,NA,NA,2.15,10.72,2700,NA,NA,NA,NA,NA,NA,NA,16,1863.99,NA,NA,NA,NA,NA
phalaris_arundinacea,44.1,20.24,9.53,NA,7.01,13.83,419.13,NA,NA,NA,3383.43,177.5,0.2,NA,14,22415.25,16414.34,NA,0.34,150,82.64
phegopteris_connectilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.29,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
phegopteris_hexagonoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
pilea_pumila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA
polygonum_amphibium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.45,NA,NA,NA,6,25001.25,40.5,NA,NA,NA,NA
polygonum_hydropiperoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20847.25,NA,NA,NA,NA,NA
polygonum_punctatum,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,14,25001.29,NA,8.1,NA,NA,NA
polygonum_sagittatum,44.99,22.34,16.02,NA,2.13,NA,NA,NA,NA,NA,578.09,NA,NA,NA,6,13891.04,NA,NA,NA,NA,74.75
polygonum_virginianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,NA,NA,NA,NA,NA
polystichum_acrostichoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
potentilla_simplex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
prenanthes_alba,NA,NA,NA,NA,1.64,7.99,2100,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
prunella_vulgaris,460.24,NA,0.57,0.14,16.88,7.83,577.56,3.3,NA,NA,91.06,82.57,0.14,0.59,10,14847.93,6692.71,19.13,NA,153,NA
pteridium_aquilinum,496,NA,NA,0.38,19.42,NA,1.22,3.12,9.83,NA,40.07,115.21,NA,NA,10,1863.99,300000000,NA,NA,135,NA
ranunculus_pensylvanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5000.57,NA,NA,NA,NA,NA
ranunculus_recurvatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA
rubus_pubescens,NA,NA,NA,NA,1.94,5.16,3750,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
rudbeckia_hirta,NA,NA,0.6,NA,31.13,NA,NA,NA,NA,30.11,173.74,NA,0.18,21.65,10,157577.03,230.91,27.68,NA,NA,NA
rudbeckia_laciniata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,31529.91,NA,37.8,NA,NA,NA
sagittaria_latifolia,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,18,67000,NA,NA,NA,NA,NA
schoenoplectus_pungens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,52081.71,NA,NA,NA,NA,NA
scirpus_atrocinctus,44.72,42.46,21.46,NA,1.06,NA,NA,NA,NA,NA,115.75,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,57.88
scirpus_microcarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.12,NA,NA,NA,NA,NA
scutellaria_lateriflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.16,NA,0.23,NA,NA,0.33,NA,NA,NA,0.1,NA
solidago_altissima,NA,NA,NA,NA,NA,NA,NA,NA,10.14,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
solidago_canadensis,46.32,24.77,29.94,NA,1.68,4.41,2550,NA,NA,NA,20.98,NA,0.18,NA,12,200000.08,8499.43,25.1,NA,NA,50.64
solidago_flexicaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,233333.62,NA,NA,NA,NA,NA
solidago_gigantea,48.47,NA,NA,NA,1.2,6.48,2000,NA,NA,NA,20.25,NA,NA,NA,16,100000.11,899445,NA,NA,NA,NA
symphyotrichum_lanceolatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,700000,NA,NA,NA,NA,NA
symphyotrichum_prenanthoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,700000,NA,NA,NA,NA,NA
symplocarpus_foetidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21955.83,NA,NA,NA,NA,NA
thalictrum_dioicum,NA,NA,NA,NA,1.63,6.31,2750,NA,NA,NA,NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA,NA
thalictrum_pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
thelypteris_noveboracensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,NA,NA,NA,6,1325000,NA,NA,NA,NA,NA
thelypteris_palustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.69,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
toxicodendron_radicans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.29,NA,NA,NA,NA,16.65,NA,NA,NA,NA,NA
trillium_erectum,NA,NA,NA,NA,2.47,16.47,1500,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
veratrum_viride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NA
verbena_hastata,46.73,18.95,21.13,NA,10.68,NA,NA,NA,NA,NA,196.1,NA,0.26,NA,NA,2.21,NA,NA,NA,0.51,61.57
verbena_urticifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA
veronica_americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,75000.05,NA,NA,NA,NA,NA
veronica_anagallis_aquatica,NA,NA,NA,0.15,NA,NA,NA,3.84,NA,NA,28.02,NA,NA,NA,NA,0.05,2356.8,NA,NA,NA,NA
veronica_scutellata,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,83.13,NA,0.25,NA,NA,0.42,499988.83,NA,NA,NA,NA
vitis_riparia,43.13,NA,NA,NA,1.57,5.61,2800,NA,NA,NA,32.78,NA,NA,NA,16,3684.25,NA,10.6,NA,NA,NA
xanthium_strumarium,39.17,13.86,NA,NA,2.27,NA,0.23,NA,NA,NA,3136.86,55.5,0.16,NA,NA,181.18,19,45.15,0.19,130,NA
