Trait,ageratina_altissima,agrimonia_gryposepala,agrostis_perennans,ambrosia_trifida,amphicarpaea_bracteata,anemone_virginiana,apocynum_cannabinum,arisaema_triphyllum,asclepias_syriaca,athyrium_filix-femina,bidens_connata,bidens_frondosa,blephilia_hirsuta,boehmeria_cylindrica,bromus_ciliatus,bromus_pubescens,carex_crinita,carex_scoparia,chelone_glabra,cicuta_maculata,cinna_arundinacea,circaea_lutetiana,clematis_virginiana,clinopodium_vulgare,collinsonia_canadensis,cryptotaenia_canadensis,cyperus_strigosus,dichanthelium_clandestinum,dioscorea_villosa,dryopteris_carthusiana,dryopteris_cristata,echinocystis_lobata,elymus_hystrix,elymus_trachycaulus,elymus_virginicus,epilobium_ciliatum,equisetum_fluviatile,equisetum_hyemale,equisetum_palustre,equisetum_pratense,erigeron_annuus,eupatorium_perfoliatum,euphorbia_maculata,euthamia_graminifolia,fragaria_vesca,galium_aparine,galium_asprellum,galium_boreale,galium_palustre,galium_triflorum,geum_canadense,glyceria_striata,helianthus_strumosus,helianthus_tuberosus,hypericum_mutilum,hypericum_punctatum,impatiens_capensis,impatiens_pallida,juncus_articulatus,juncus_filiformis,laportea_canadensis,liparis_loeselii,lobelia_cardinalis,lobelia_inflata,lobelia_siphilitica,ludwigia_palustris,lycopus_americanus,lycopus_rubellus,lysimachia_ciliata,lysimachia_quadrifolia,lysimachia_terrestris,maianthemum_racemosum,matteuccia_struthiopteris,mimulus_ringens,mitchella_repens,monotropa_uniflora,muhlenbergia_mexicana,myosotis_laxa,onoclea_sensibilis,osmunda_cinnamomea,osmunda_regalis,oxalis_stricta,panicum_dichotomiflorum,parthenocissus_quinquefolia,peltandra_virginica,phalaris_arundinacea,phegopteris_connectilis,phegopteris_hexagonoptera,pilea_pumila,polygonum_amphibium,polygonum_hydropiperoides,polygonum_punctatum,polygonum_sagittatum,polygonum_virginianum,polystichum_acrostichoides,potentilla_simplex,prenanthes_alba,prunella_vulgaris,pteridium_aquilinum,ranunculus_pensylvanicus,ranunculus_recurvatus,rubus_pubescens,rudbeckia_hirta,rudbeckia_laciniata,sagittaria_latifolia,schoenoplectus_pungens,scirpus_atrocinctus,scirpus_microcarpus,scutellaria_lateriflora,solidago_altissima,solidago_canadensis,solidago_flexicaulis,solidago_gigantea,symphyotrichum_lanceolatum,symphyotrichum_prenanthoides,symplocarpus_foetidus,thalictrum_dioicum,thalictrum_pubescens,thelypteris_noveboracensis,thelypteris_palustris,toxicodendron_radicans,trillium_erectum,veratrum_viride,verbena_hastata,verbena_urticifolia,veronica_americana,veronica_anagallis-aquatica,veronica_scutellata,vitis_riparia,xanthium_strumarium
Plant tolerance to drought,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant tolerance to frost,NA,38.5,43.5,NA,NA,NA,28.5,78.5,NA,21,81,63.5,NA,33.5,86,NA,55.5,23.5,NA,NA,48.5,NA,23.5,NA,NA,NA,33.5,48.5,NA,NA,43.5,NA,NA,24.75,53.5,NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,56,43.5,26,NA,NA,53.5,32.5,NA,28.5,58.5,31,63.5,71,33.5,NA,NA,NA,48,NA,NA,48,41,71,NA,NA,NA,NA,NA,NA,NA,NA,33.5,NA,NA,33.5,37.25,NA,28.5,51,43.5,41,NA,NA,NA,43.5,63.5,71,48.5,NA,NA,NA,NA,38.5,23.5,46,NA,NA,63.5,31,31,41,NA,21,NA,NA,18.5,61,38.5,19.75,31,58.5,NA,NA,36,NA,NA,NA,NA,NA,NA,31,NA,NA,68.5,NA
Plant tolerance to human impact,NA,NA,NA,2,NA,NA,NA,NA,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,4,NA,NA,NA,4,2,2,2,2,2,NA,NA,NA,2,5,NA,2,2,NA,NA,2,NA,2,NA,NA,4,NA,4,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,2,NA,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA
Plant tolerance to planting density,NA,6850,NA,NA,NA,NA,7050,7900,NA,2200,NA,NA,NA,NA,NA,NA,6406,3750,NA,NA,15000,NA,1950,NA,NA,NA,4125,NA,NA,NA,NA,NA,NA,NA,NA,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7181,5665.5,NA,7856,5900,5900,NA,NA,7900,NA,NA,NA,6820,NA,NA,7400,6350,6350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3075,2662.5,NA,NA,10850,14956,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6820,7181,NA,NA,NA,6820,NA,4125,NA,3250,NA,NA,7400,2200,NA,1450,6850,3250,NA,NA,7181,NA,NA,NA,NA,NA,NA,7900,NA,NA,235,NA
Plant tolerance to precipitation,NA,35,44,NA,NA,NA,37.5,42,NA,45,43.5,42,NA,42.5,26,NA,50.5,37.5,NA,NA,39,NA,43.5,NA,NA,NA,38,48.5,NA,NA,35,NA,NA,16.5,45.5,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,34.5,40,37.5,NA,NA,37.5,35,NA,35,42.5,43.5,32,39,29,NA,NA,NA,44,NA,NA,42.5,36,45,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,50,45.5,NA,42.5,46,47.5,47.5,NA,NA,NA,37,31,36,50,NA,NA,NA,NA,35.5,38,30,NA,NA,46.5,35,32,36,NA,25,NA,NA,38,37.5,32,17,40,50,NA,NA,45,NA,NA,NA,NA,NA,NA,38,NA,NA,43.5,NA
Plant tolerance to shade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant tolerance to soil pH,NA,5.75,6.5,NA,NA,NA,5.75,5.9,NA,5.75,6.15,6.2,NA,6.05,6.5,NA,5.75,5.75,NA,NA,6.25,NA,5.9,NA,NA,NA,6.7,5.75,NA,NA,5,NA,NA,7.3,6,NA,5.25,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6,6.1,NA,NA,6,6,NA,5.5,6,5.6,6.9,7.1,6.15,NA,NA,NA,6.8,NA,NA,6.75,6.5,6.2,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,5.75,4.875,NA,5.9,6.25,7.35,6.75,NA,NA,NA,5.5,6.25,7.35,6.25,NA,NA,NA,NA,6.7,5.75,6.25,NA,NA,6.5,5.75,6.65,5.6,NA,6.4,NA,NA,6.15,6.15,6,6.85,6.35,5.5,NA,NA,5.5,NA,NA,NA,NA,NA,NA,6.6,NA,NA,7.3,NA
Plant tolerance to waterlogging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reproductive dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,3.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,2.996,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606,NA,NA,0.042,NA,NA,NA,0.024,NA,NA,NA,NA,NA,NA,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.042,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.202,NA,NA,NA,NA,NA,NA
Root nitrogen (N) content per dry mass,NA,NA,NA,NA,NA,NA,NA,NA,18.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,0.93,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA,NA,21.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rooting depth,NA,6,8,NA,NA,NA,12,8,NA,12,8,8,NA,14,16,NA,18,8,NA,NA,16,NA,14,NA,NA,NA,16,16,NA,NA,12,NA,NA,16,16,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,14,6,NA,NA,4,4,NA,6,8,10,14,14,8,NA,NA,NA,12,NA,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,12,15,NA,6,16,16,14,NA,NA,NA,6,10,14,6,NA,NA,NA,NA,10,10,4,NA,NA,10,12,18,14,NA,12,NA,NA,12,8,16,10,10,12,NA,NA,6,NA,NA,NA,NA,NA,NA,6,NA,NA,16,NA
Seed length,NA,NA,NA,NA,NA,NA,NA,NA,7.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0.5,NA,0.35,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1.78,NA,NA
Seed mass,0.16,62510.975,2666666.727,11.526,29.72666667,1.13,71429.47,27523.35,6.065,11.05,21668.905,7645.549412,0.11,65000.16,59003.67,4.62,11.05,11.05,0.5,2.0125,0.503333333,2.190555556,32002.44833,0.409473684,11.05,2.223333333,0.3675,350000,10.7,11.05,11.05,237.45,11.05,45002.86,12504.37875,0.356,11.05,11.05,11.05,11.05,0.035,1.086,0.2725,11.05,7.893548387,21747.77739,5.00E+05,48384.66667,0.939090909,0.76,80004.238,0.172,5.27,18918.9,11.05,0.04,116671.3667,7.00E+05,0.02,0.221,2.233333333,0,2823189.53,0.01,0.0325,0.04,432383.0929,11.05,1.25,4.4,0.58,29.1425,11.05,1.275,3.52,11.05,150000.332,0.1825,11.05,11.05,11.05,0.224,78400.412,2063.774444,11.05,22415.25083,11.05,11.05,1.146666667,25001.248,20847.24833,25001.29,13891.04,5.313333333,11.05,11.05,11.05,14847.93089,11.05,5000.568,0.63,11.05,157577.033,31529.905,67000,52081.708,11.05,0.12,0.33,0.088,200000.0804,233333.62,100000.1086,7.00E+05,7.00E+05,21955.83333,2.153333333,1.67,1325000,11.05,16.652,11.05,1.33,2.210833333,0.425,75000.05,0.04875,0.416666667,3684.25,181.184
Seed number per ramet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seed number per reproducton unit,NA,NA,NA,409.055,NA,NA,NA,NA,NA,1856092.5,1076.91,22084.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491.4575,NA,86757.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929562.668,NA,NA,NA,NA,7071.2,NA,NA,NA,7744.30875,2992.466316,NA,91,249.1,NA,NA,NA,NA,77.9,NA,NA,4,NA,1212964.75,342.1388889,NA,NA,NA,NA,NA,18789.41667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.875,NA,NA,880228,65200,NA,85.95,NA,16414.335,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA,6692.710435,3.00E+08,NA,NA,NA,230.91,NA,NA,NA,NA,NA,NA,NA,8499.428571,NA,899445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2356.8,499988.8325,NA,19
Seed protein content per mass,NA,16.8,NA,18.4,NA,NA,30.9,NA,NA,NA,NA,33.8,NA,NA,NA,NA,14.8,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA,22.5,NA,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,19.13333333,NA,NA,NA,NA,27.675,37.8,NA,NA,NA,NA,NA,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,45.15
Seed thickness,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seed width,NA,NA,NA,NA,NA,NA,NA,NA,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.18,NA,NA
Seedbank lifespan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Species distribution: number of floristic zones,NA,NA,NA,3,NA,NA,NA,NA,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,7,3,3,NA,NA,NA,4,3,4,4,3,4,NA,NA,NA,4,3,NA,3,4,NA,NA,3,NA,2,NA,NA,3,NA,4,3,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,3,NA,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA,2,3,4,4,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,5,3,NA,NA
Stem dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,12.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.816,6.314,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,7.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.016,NA,NA,NA,NA,NA,3.362,NA,NA,0.16,NA,NA,NA,3.51,NA,NA,NA,NA,NA,NA,2.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.916,NA,NA,NA,7.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.966,NA,NA,NA,NA,NA,NA
Stem length (height),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem nitrogen (N) content per dry mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem specific density (SSD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,NA,NA,NA,NA,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19
Stomata conductance per leaf area,NA,NA,NA,NA,NA,NA,NA,90,455,NA,NA,120,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,NA,NA,NA,113.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4175,NA,NA,50.05666667,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,NA,NA,NA,NA,NA,130
Wood dry mass per plant dry mass,NA,NA,NA,NA,NA,NA,NA,NA,54.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.452,47.916,NA,NA,NA,NA,NA,NA,59.522,NA,NA,NA,NA,NA,NA,NA,86.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.206,NA,NA,NA,NA,NA,63.656,NA,NA,57.726,NA,NA,NA,82.638,NA,NA,NA,NA,NA,NA,74.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.884,NA,NA,NA,50.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.568,NA,NA,NA,NA,NA,NA
Woodiness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
